actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
88,PT04M56.00S,2023-04-21T23:28:50.3Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612737,14,18,2023-04-21T23:29:15Z,860000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Hunter 2 FT),"[1629684, 1629631]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,2003.0,1.0,0.0,Hunter,1629631.0,,,,,
90,PT04M56.00S,2023-04-21T23:29:16.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629631,,,1610612737,15,18,2023-04-21T23:29:32Z,880000,False,,,0,,D. Hunter Free Throw 1 of 2 (1 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
91,PT04M56.00S,2023-04-21T23:29:16.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629631,,,1610612737,15,18,2023-04-21T23:29:32Z,890000,False,,,0,,MISS D. Hunter Free Throw 2 of 2,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
92,PT04M54.00S,2023-04-21T23:29:18.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,15,18,2023-04-21T23:29:32Z,900000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,91.0,,,,,1.0,1.0,0.0,,,,,,,,,,
93,PT04M43.00S,2023-04-21T23:29:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,7.046649145860711,54.166666666666664,1610612738,15,20,2023-04-21T23:31:09Z,910000,False,-21.0,14.0,1,left,M. Brogdon driving finger roll Layup (5 PTS) (G. Williams 1 AST),"[1627763, 1629684]",1610612738.0,BOS,driving finger roll,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.49,Made,,5.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,
95,PT04M43.00S,2023-04-21T23:29:51.0Z,1,REGULAR,foul,personal,['1freethrow'],1629631,,,1610612738,15,20,2023-04-21T23:30:18Z,930000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Brogdon 1 FT),"[1629631, 1627763]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2003.0,1.0,0.0,Brogdon,1627763.0,,,,,
97,PT04M43.00S,2023-04-21T23:29:59.8Z,1,REGULAR,substitution,out,[],203991,,,1610612738,15,20,2023-04-21T23:30:10Z,950000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M43.00S,2023-04-21T23:29:59.8Z,1,REGULAR,substitution,out,[],1628381,,,1610612738,15,20,2023-04-21T23:30:10Z,960000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M43.00S,2023-04-21T23:29:59.8Z,1,REGULAR,substitution,in,[],1630180,,,1610612738,15,20,2023-04-21T23:30:10Z,970000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M43.00S,2023-04-21T23:29:59.8Z,1,REGULAR,substitution,in,[],1630168,,,1610612738,15,20,2023-04-21T23:30:10Z,980000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M43.00S,2023-04-21T23:30:23.9Z,1,REGULAR,freethrow,1 of 1,[],1627763,,,1610612738,15,20,2023-04-21T23:30:25Z,990000,False,,,0,,MISS M. Brogdon Free Throw 1 of 1,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT04M41.00S,2023-04-21T23:30:25.9Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,15,20,2023-04-21T23:30:25Z,1000000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,101.0,,,,,1.0,1.0,0.0,,,,,,,,,,
103,PT04M35.00S,2023-04-21T23:30:30.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,70.64717477003943,71.32352941176471,1610612737,15,20,2023-04-21T23:30:35Z,1010000,False,107.0,223.0,1,right,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,24.75,Missed,,,,,,,,,,,,,,,,,,
104,PT04M32.00S,2023-04-21T23:30:33.3Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,15,20,2023-04-21T23:30:35Z,1020000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,103.0,,,,,1.0,1.0,0.0,,,,,,,,,,
105,PT04M28.00S,2023-04-21T23:30:37.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,24.26084099868594,88.97058823529412,1610612738,15,20,2023-04-21T23:30:43Z,1030000,False,-195.0,176.0,1,left,MISS S. Hauser 26' running pullup 3PT,[1630573],1610612738.0,BOS,running pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,26.23,Missed,,,,,,,,,,,,,,,,,,
106,PT04M24.00S,2023-04-21T23:30:41.8Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,15,20,2023-04-21T23:30:43Z,1040000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,105.0,,,,,1.0,1.0,0.0,,,,,,,,,,
107,PT04M16.00S,2023-04-21T23:30:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.65637319316689,52.69607843137255,1610612737,15,20,2023-04-21T23:30:55Z,1050000,False,13.0,101.0,1,right,MISS D. Murray 10' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.2,Missed,,,,,,,,,,,,,,,,,,
108,PT04M13.00S,2023-04-21T23:30:52.5Z,1,REGULAR,rebound,offensive,[],1627749,,,1610612737,15,20,2023-04-21T23:30:52Z,1060000,False,,,0,,D. Murray REBOUND (Off:2 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,107.0,,,,,3.0,1.0,2.0,,,,,,,,,,
109,PT04M06.00S,2023-04-21T23:30:59.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203992,83.26215505913272,57.84313725490197,1610612737,17,20,2023-04-21T23:35:12Z,1070000,False,39.0,105.0,1,right,B. Bogdanovic 11' turnaround fadeaway Jump Shot (2 PTS),[203992],1610612737.0,ATL,turnaround fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,11.19,Made,,2.0,,,,,,,,,,,,,,,,
110,PT03M54.00S,2023-04-21T23:31:11.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,28.991458607095925,75.73529411764706,1610612738,17,20,2023-04-21T23:31:16Z,1080000,False,-129.0,220.0,1,left,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
111,PT03M52.00S,2023-04-21T23:31:13.8Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,17,20,2023-04-21T23:31:16Z,1090000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,110.0,,,,,2.0,2.0,0.0,,,,,,,,,,
112,PT03M42.00S,2023-04-21T23:31:24.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,84.44480946123521,49.50980392156863,1610612737,19,20,2023-04-21T23:35:48Z,1100000,False,-2.0,94.0,1,right,D. Hunter 9' driving floating Jump Shot (3 PTS) (D. Murray 2 AST),"[1629631, 1627749]",1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,9.37,Made,,3.0,D. Murray,1627749.0,2.0,,,,,,,,,,,,,
114,PT03M26.00S,2023-04-21T23:31:39.1Z,1,REGULAR,3pt,Jump Shot,[],1627763,31.882391590013142,65.44117647058823,1610612738,19,23,2023-04-21T23:31:43Z,1120000,False,-77.0,247.0,1,left,M. Brogdon 25' 3PT pullup (8 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,25.9,Made,,8.0,,,,,,,,,,,,,,,,
115,PT03M08.00S,2023-04-21T23:31:57.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,67.62483574244416,58.57843137254902,1610612737,19,23,2023-04-21T23:32:03Z,1130000,False,43.0,252.0,1,right,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.54,Missed,,,,,,,,,,,,,,,,,,
116,PT03M05.00S,2023-04-21T23:32:00.5Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,19,23,2023-04-21T23:32:03Z,1140000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,115.0,,,,,1.0,0.0,1.0,,,,,,,,,,
117,PT03M04.00S,2023-04-21T23:32:01.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,94.30026281208936,49.50980392156863,1610612737,21,23,2023-04-21T23:32:07Z,1150000,False,-2.0,1.0,1,right,S. Bey driving Layup (2 PTS),[1630180],1610612737.0,ATL,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,0.27,Made,,2.0,,,,,,,,,,,,,,,,
118,PT02M50.00S,2023-04-21T23:32:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.1268068331143235,49.50980392156863,1610612738,21,25,2023-04-21T23:32:22Z,1160000,False,2.0,5.0,1,left,J. Brown cutting Layup (6 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.57,Made,,6.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,
120,PT02M39.00S,2023-04-21T23:32:29.0Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612737,21,25,2023-04-21T23:36:16Z,1180000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Bey 2 FT),"[1627759, 1630180]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203591.0,1.0,0.0,Bey,1630180.0,,,,,
122,PT02M39.00S,2023-04-21T23:32:40.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,21,25,2023-04-21T23:32:40Z,1200000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,21,25,2023-04-21T23:35:39Z,1210000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,21,25,2023-04-21T23:35:39Z,1220000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612737,21,25,2023-04-21T23:35:39Z,1230000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,out,[],1630573,,,1610612737,21,25,2023-04-21T23:35:39Z,1240000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,21,25,2023-04-21T23:35:39Z,1250000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,in,[],1629027,,,1610612737,21,25,2023-04-21T23:35:39Z,1260000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,in,[],1628369,,,1610612737,21,25,2023-04-21T23:35:39Z,1270000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M39.00S,2023-04-21T23:35:02.4Z,1,REGULAR,substitution,in,[],203935,,,1610612737,21,25,2023-04-21T23:35:39Z,1280000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M39.00S,2023-04-21T23:36:19.3Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612737,22,25,2023-04-21T23:36:19Z,1290000,False,,,0,,S. Bey Free Throw 1 of 2 (3 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
132,PT02M39.00S,2023-04-21T23:36:34.7Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612737,23,25,2023-04-21T23:36:34Z,1300000,False,,,0,,S. Bey Free Throw 2 of 2 (4 PTS),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
133,PT02M23.00S,2023-04-21T23:36:51.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.6484888304862,73.52941176470588,1610612738,23,28,2023-04-21T23:36:56Z,1310000,False,-118.0,226.0,1,left,J. Tatum 25' 3PT  (8 PTS) (M. Smart 3 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.49,Made,,8.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,
135,PT02M05.00S,2023-04-21T23:37:09.5Z,1,REGULAR,2pt,Jump Shot,[],1630180,85.89027595269383,65.93137254901961,1610612737,25,28,2023-04-21T23:37:14Z,1330000,False,80.0,80.0,1,right,S. Bey 11' pullup Jump Shot (6 PTS) (J. Johnson 1 AST),"[1630180, 1630552]",1610612737.0,ATL,pullup,,,Bey,S. Bey,,,,,Mid-Range,8-16 Right,11.3,Made,,6.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,,,
136,PT01M50.00S,2023-04-21T23:37:23.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.750985545335087,69.85294117647058,1610612738,25,31,2023-04-21T23:37:28Z,1340000,False,-99.0,246.0,1,left,J. Tatum 26' 3PT pullup (11 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.53,Made,,11.0,,,,,,,,,,,,,,,,
138,PT01M33.00S,2023-04-21T23:37:41.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,76.95466491458606,87.99019607843137,1610612737,28,31,2023-04-21T23:37:45Z,1350000,False,190.0,164.0,1,right,S. Bey 25' 3PT  (9 PTS) (T. Young 4 AST),"[1630180, 1629027]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,25.11,Made,,9.0,T. Young,1629027.0,4.0,,,,,,,,,,,,,
140,PT01M16.00S,2023-04-21T23:37:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,10.85742444152431,96.07843137254902,1610612738,28,34,2023-04-21T23:38:02Z,1370000,False,-230.0,50.0,1,left,G. Williams 3PT  (6 PTS) (M. Smart 4 AST),"[1629684, 203935]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.57,Made,,6.0,M. Smart,203935.0,4.0,,,,,,,,,,,,,
142,PT01M10.00S,2023-04-21T23:38:04.5Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,28,34,2023-04-21T23:38:18Z,1390000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1629057]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,,
143,PT01M10.00S,2023-04-21T23:38:04.5Z,1,REGULAR,steal,,[],1629057,,,1610612738,28,34,2023-04-21T23:38:18Z,1400000,False,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
144,PT00M57.70S,2023-04-21T23:38:17.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,19.66162943495401,55.88235294117647,1610612738,28,34,2023-04-21T23:38:24Z,1410000,False,-29.0,132.0,1,left,MISS M. Smart 13' turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,13.55,Missed,,,,,,,,,,,,,,,,,,
145,PT00M54.20S,2023-04-21T23:38:21.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,28,34,2023-04-21T23:38:24Z,1420000,False,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,144.0,,,,,2.0,1.0,1.0,,,,,,,,,,
146,PT00M52.70S,2023-04-21T23:38:22.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203935,31.488173455978973,68.62745098039215,1610612738,28,37,2023-04-21T23:38:27Z,1430000,False,-93.0,243.0,1,left,M. Smart 26' 3PT  (6 PTS) (G. Williams 2 AST),"[203935, 1629684]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.07,Made,,6.0,G. Williams,1629684.0,2.0,,,,,,,,,,,,,
148,PT00M34.90S,2023-04-21T23:38:45.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,94.43166885676742,50.98039215686274,1610612737,30,37,2023-04-21T23:38:50Z,1450000,False,5.0,0.0,1,right,O. Okongwu cutting DUNK (2 PTS) (S. Bey 1 AST),"[1630168, 1630180]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.49,Made,,2.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,
150,PT00M29.20S,2023-04-21T23:38:53.7Z,1,REGULAR,2pt,Jump Shot,[],1627763,16.507884362680684,81.86274509803921,1610612738,30,37,2023-04-21T23:39:01Z,1470000,False,-159.0,103.0,1,left,MISS M. Brogdon 18' pullup Shot,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Left,18.95,Missed,,,,,,,,,,,,,,,,,,
151,PT00M26.40S,2023-04-21T23:38:56.5Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,30,37,2023-04-21T23:39:01Z,1480000,False,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left,,,150.0,,,,,2.0,2.0,0.0,,,,,,,,,,
152,PT00M07.20S,2023-04-21T23:39:15.8Z,1,REGULAR,3pt,Jump Shot,[],203992,97.7168199737188,4.411764705882353,1610612737,33,37,2023-04-21T23:39:20Z,1490000,False,-228.0,-31.0,1,right,B. Bogdanovic 3PT  (5 PTS) (J. Johnson 2 AST),"[203992, 1630552]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,23.0,Made,,5.0,J. Johnson,1630552.0,2.0,,,,,,,,,,,,,
154,PT00M00.00S,2023-04-21T23:39:29.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.25427069645204,73.52941176470588,1610612738,33,37,2023-04-21T23:39:33Z,1510000,False,-118.0,222.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2023-04-21T23:39:31.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,33,37,2023-04-21T23:39:31Z,1520000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,154.0,,,,,,,,,,,,,,,,,
156,PT00M00.00S,2023-04-21T23:39:32.5Z,1,REGULAR,period,end,[],0,,,1610612738,33,37,2023-04-21T23:39:32Z,1530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-04-21T23:42:34.3Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,33,37,2023-04-21T23:42:54Z,1540000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-04-21T23:42:34.3Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612738,33,37,2023-04-21T23:42:54Z,1550000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2023-04-21T23:42:34.3Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,33,37,2023-04-21T23:42:54Z,1560000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-04-21T23:42:34.3Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,33,37,2023-04-21T23:42:54Z,1570000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-04-21T23:43:11.4Z,2,REGULAR,period,start,[],0,,,1610612737,33,37,2023-04-21T23:43:11Z,1580000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT11M45.00S,2023-04-21T23:43:25.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,87.33574244415243,49.50980392156863,1610612737,35,37,2023-04-21T23:43:31Z,1590000,False,-2.0,67.0,1,right,B. Bogdanovic 6' driving floating Jump Shot (7 PTS) (J. Johnson 3 AST),"[203992, 1630552]",1610612737.0,ATL,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,6.65,Made,,7.0,J. Johnson,1630552.0,3.0,,,,,,,,,,,,,
164,PT11M33.00S,2023-04-21T23:43:37.1Z,2,REGULAR,2pt,Jump Shot,[],1627763,11.908672798948752,77.69607843137256,1610612738,35,37,2023-04-21T23:44:25Z,1610000,False,-138.0,59.0,1,left,MISS M. Brogdon 15' pullup Shot,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,15.07,Missed,,,,,,,,,,,,,,,,,,
165,PT11M31.00S,2023-04-21T23:43:39.1Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,35,37,2023-04-21T23:43:41Z,1620000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Left,,,164.0,,,,,1.0,1.0,0.0,,,,,,,,,,
166,PT11M24.00S,2023-04-21T23:43:47.2Z,2,REGULAR,3pt,Jump Shot,[],1630552,72.09264126149803,79.16666666666666,1610612737,38,37,2023-04-21T23:43:51Z,1630000,False,146.0,210.0,1,right,J. Johnson 25' 3PT  (3 PTS) (T. Young 5 AST),"[1630552, 1629027]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,25.55,Made,,3.0,T. Young,1629027.0,5.0,,,,,,,,,,,,,
168,PT11M06.00S,2023-04-21T23:44:04.2Z,2,REGULAR,3pt,Jump Shot,[],203935,29.122864651773984,25.245098039215684,1610612738,38,40,2023-04-21T23:44:08Z,1650000,False,124.0,221.0,1,left,M. Smart 25' 3PT  (9 PTS) (D. White 1 AST),"[203935, 1628401]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,25.36,Made,,9.0,D. White,1628401.0,1.0,,,,,,,,,,,,,
170,PT10M49.00S,2023-04-21T23:44:21.7Z,2,REGULAR,2pt,Jump Shot,[],203992,96.27135348226018,68.87254901960785,1610612737,40,40,2023-04-21T23:44:26Z,1670000,False,94.0,-17.0,1,right,B. Bogdanovic 9' fadeaway Jump Shot (9 PTS),[203992],1610612737.0,ATL,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,9.6,Made,,9.0,,,,,,,,,,,,,,,,
171,PT10M37.00S,2023-04-21T23:44:33.4Z,2,REGULAR,turnover,lost ball,[],1627763,,,1610612738,40,40,2023-04-21T23:44:38Z,1680000,False,,,0,,M. Brogdon lost ball TURNOVER (2 TO),"[1627763, 1629027]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2.0,Young,1629027.0,,
172,PT10M37.00S,2023-04-21T23:44:33.4Z,2,REGULAR,steal,,[],1629027,,,1610612737,40,40,2023-04-21T23:44:36Z,1690000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
