actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
82,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,out,[],203991,,,1610612737,11,19,2023-04-23T23:17:52Z,820000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,out,[],1628381,,,1610612737,11,19,2023-04-23T23:17:52Z,830000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,11,19,2023-04-23T23:17:52Z,840000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612737,11,19,2023-04-23T23:17:52Z,850000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,out,[],203935,,,1610612737,11,19,2023-04-23T23:17:52Z,860000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,in,[],203992,,,1610612737,11,19,2023-04-23T23:17:52Z,870000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,in,[],1630180,,,1610612737,11,19,2023-04-23T23:17:52Z,880000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,11,19,2023-04-23T23:17:52Z,890000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612737,11,19,2023-04-23T23:17:52Z,900000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M32.00S,2023-04-23T23:15:02.3Z,1,REGULAR,substitution,in,[],1627763,,,1610612737,11,19,2023-04-23T23:17:52Z,910000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M15.00S,2023-04-23T23:18:33.3Z,1,REGULAR,3pt,Jump Shot,[],203992,71.04139290407359,16.911764705882355,1610612737,11,19,2023-04-23T23:18:41Z,920000,False,-165.0,220.0,1,right,MISS B. Bogdanovic 27' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
93,PT05M10.00S,2023-04-23T23:18:38.3Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,11,19,2023-04-23T23:18:41Z,930000,False,,,0,,D. Hunter REBOUND (Off:1 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,92.0,2.0,1.0,1.0,,,,,,,,
95,PT05M08.00S,2023-04-23T23:18:56.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203992,94.03745072273325,79.41176470588235,1610612737,11,19,2023-04-23T23:19:02Z,950000,False,147.0,4.0,1,right,MISS B. Bogdanovic 14' Jump Shot,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,14.71,Missed,,,,,,,,,,,,,,,,,,
96,PT05M05.00S,2023-04-23T23:18:59.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,11,19,2023-04-23T23:19:02Z,960000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,,,,,,,95.0,1.0,1.0,0.0,,,,,,,,
97,PT04M58.00S,2023-04-23T23:19:08.2Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612738,11,19,2023-04-23T23:19:29Z,970000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630168, 1628369]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Tatum,1628369.0,,,
99,PT04M58.00S,2023-04-23T23:19:35.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,11,20,2023-04-23T23:19:35Z,990000,False,,,0,,J. Tatum Free Throw 1 of 2 (8 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
100,PT04M58.00S,2023-04-23T23:19:38.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,11,20,2023-04-23T23:19:44Z,1000000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M58.00S,2023-04-23T23:19:38.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,11,20,2023-04-23T23:19:44Z,1010000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M58.00S,2023-04-23T23:19:56.9Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,11,21,2023-04-23T23:19:56Z,1020000,False,,,0,,J. Tatum Free Throw 2 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
103,PT04M45.00S,2023-04-23T23:20:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,84.70762155059133,57.84313725490197,1610612737,13,21,2023-04-23T23:20:18Z,1030000,False,39.0,91.0,1,right,D. Hunter 9' driving floating Jump Shot (5 PTS),[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,9.93,Made,5.0,,,,,,,,,,,,,,,,,
104,PT04M34.00S,2023-04-23T23:20:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630573,8.360709592641262,95.34313725490196,1610612738,13,24,2023-04-23T23:20:26Z,1040000,False,-227.0,26.0,1,left,S. Hauser 3PT  (3 PTS) (M. Brogdon 1 AST),"[1630573, 1627763]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,22.82,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
106,PT04M20.00S,2023-04-23T23:20:35.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,93.77463863337714,50.0,1610612737,13,24,2023-04-23T23:20:42Z,1060000,False,0.0,6.0,1,right,MISS O. Okongwu driving Layup,[1630168],1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.6,Missed,,,,,,,,,,,,,,,,,,
107,PT04M17.00S,2023-04-23T23:20:38.7Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,13,24,2023-04-23T23:20:42Z,1070000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,,,,,,106.0,1.0,1.0,0.0,,,,,,,,
108,PT04M13.00S,2023-04-23T23:20:43.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,7.966491458607096,50.0,1610612738,13,24,2023-04-23T23:20:51Z,1080000,False,0.0,22.0,1,left,MISS D. White running reverse Layup,[1628401],1610612738.0,BOS,running reverse,,,White,D. White,,,,,Restricted Area,0-8 Center,2.24,Missed,,,,,,,,,,,,,,,,,,
109,PT04M08.00S,2023-04-23T23:20:48.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,13,24,2023-04-23T23:20:51Z,1090000,False,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,108.0,2.0,1.0,1.0,,,,,,,,
110,PT04M08.00S,2023-04-23T23:20:48.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,5.590000152587891,50.0,1610612738,13,24,2023-04-23T23:20:48Z,1100000,False,0.0,0.0,1,left,MISS R. Williams III putback Layup,[1629057],1610612738.0,BOS,putback,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
111,PT04M07.00S,2023-04-23T23:20:49.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,13,24,2023-04-23T23:20:49Z,1110000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,
112,PT04M03.00S,2023-04-23T23:20:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.26215505913272,52.69607843137255,1610612737,15,24,2023-04-23T23:20:59Z,1120000,False,13.0,105.0,1,right,D. Murray 10' pullup Jump Shot (8 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.57,Made,8.0,,,,,,,,,,,,,,,,,
113,PT04M03.00S,2023-04-23T23:20:58.4Z,1,REGULAR,foul,personal,['1freethrow'],1630573,,,1610612737,15,24,2023-04-23T23:21:07Z,1130000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Murray 1 FT),"[1630573, 1627749]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Murray,1627749.0,,,
115,PT04M03.00S,2023-04-23T23:21:20.4Z,1,REGULAR,freethrow,1 of 1,[],1627749,,,1610612737,16,24,2023-04-23T23:21:20Z,1150000,False,,,0,,D. Murray Free Throw 1 of 1 (9 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
116,PT03M51.00S,2023-04-23T23:21:34.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,30.436925098554536,71.07843137254902,1610612738,16,27,2023-04-23T23:21:40Z,1160000,False,-105.0,234.0,1,left,M. Brogdon 25' 3PT pullup (3 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,25.63,Made,3.0,,,,,,,,,,,,,,,,,
117,PT03M38.00S,2023-04-23T23:21:47.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,85.89027595269383,30.88235294117647,1610612737,18,27,2023-04-23T23:21:51Z,1170000,False,-96.0,80.0,1,right,D. Murray 12' pullup Jump Shot (11 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,12.47,Made,11.0,,,,,,,,,,,,,,,,,
118,PT03M26.00S,2023-04-23T23:22:01.7Z,1,REGULAR,foul,personal,['2freethrow'],203992,,,1610612738,18,27,2023-04-23T23:22:27Z,1180000,False,,,0,,B. Bogdanovic shooting personal FOUL (1 PF) (Williams III 2 FT),"[203992, 1629057]",1610612737.0,ATL,shooting,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,204058.0,1.0,0.0,Williams III,1629057.0,,,
120,PT03M26.00S,2023-04-23T23:22:29.4Z,1,REGULAR,freethrow,1 of 2,[],1629057,,,1610612738,18,28,2023-04-23T23:22:29Z,1200000,False,,,0,,R. Williams III Free Throw 1 of 2 (1 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
121,PT03M26.00S,2023-04-23T23:22:31.3Z,1,REGULAR,substitution,out,[],1629631,,,1610612738,18,28,2023-04-23T23:22:37Z,1210000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M26.00S,2023-04-23T23:22:31.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,18,28,2023-04-23T23:22:37Z,1220000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M26.00S,2023-04-23T23:22:31.3Z,1,REGULAR,substitution,in,[],1629027,,,1610612738,18,28,2023-04-23T23:22:37Z,1230000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M26.00S,2023-04-23T23:22:31.3Z,1,REGULAR,substitution,in,[],203935,,,1610612738,18,28,2023-04-23T23:22:37Z,1240000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M26.00S,2023-04-23T23:22:55.7Z,1,REGULAR,freethrow,2 of 2,[],1629057,,,1610612738,18,29,2023-04-23T23:22:55Z,1250000,False,,,0,,R. Williams III Free Throw 2 of 2 (2 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
126,PT03M12.00S,2023-04-23T23:23:11.3Z,1,REGULAR,3pt,Jump Shot,[],1627749,70.38436268068331,28.186274509803923,1610612737,18,29,2023-04-23T23:23:15Z,1260000,False,-109.0,226.0,1,right,MISS D. Murray 25' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
127,PT03M10.00S,2023-04-23T23:23:13.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,18,29,2023-04-23T23:23:15Z,1270000,False,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,,,,,,,126.0,3.0,2.0,1.0,,,,,,,,
129,PT02M54.00S,2023-04-23T23:23:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,6.915243101182654,48.77450980392157,1610612738,18,31,2023-04-23T23:23:49Z,1290000,False,6.0,13.0,1,left,J. Tatum driving Layup (11 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.39,Made,11.0,,,,,,,,,,,,,,,,,
130,PT02M45.00S,2023-04-23T23:23:54.2Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612737,18,31,2023-04-23T23:24:18Z,1300000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Young 2 FT),"[1629057, 1629027]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Young,1629027.0,,,
132,PT02M45.00S,2023-04-23T23:24:20.2Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,18,31,2023-04-23T23:24:20Z,1320000,False,,,0,,MISS T. Young Free Throw 1 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
133,PT02M45.00S,2023-04-23T23:24:20.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,18,31,2023-04-23T23:24:20Z,1330000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,
134,PT02M45.00S,2023-04-23T23:24:22.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,18,31,2023-04-23T23:24:26Z,1340000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M45.00S,2023-04-23T23:24:22.1Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,18,31,2023-04-23T23:24:26Z,1350000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M45.00S,2023-04-23T23:24:39.7Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,19,31,2023-04-23T23:24:39Z,1360000,False,,,0,,T. Young Free Throw 2 of 2 (3 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
137,PT02M28.00S,2023-04-23T23:24:58.2Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,19,31,2023-04-23T23:25:04Z,1370000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1630168]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Okongwu,1630168.0
138,PT02M28.00S,2023-04-23T23:24:58.2Z,1,REGULAR,steal,,[],1630168,,,1610612737,19,31,2023-04-23T23:25:00Z,1380000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
139,PT02M19.00S,2023-04-23T23:25:07.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630168,86.02168199737189,52.450980392156865,1610612737,19,31,2023-04-23T23:25:13Z,1390000,False,12.0,79.0,1,right,MISS O. Okongwu 7' turnaround Hook,[1630168],1610612737.0,ATL,turnaround,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,7.99,Missed,,,,,,,,,,,,,,,,,,
140,PT02M16.00S,2023-04-23T23:25:10.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,19,31,2023-04-23T23:25:13Z,1400000,False,,,0,,R. Williams III REBOUND (Off:1 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,139.0,4.0,3.0,1.0,,,,,,,,
141,PT02M09.00S,2023-04-23T23:25:16.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.35676741130092,31.61764705882353,1610612738,19,31,2023-04-23T23:25:22Z,1410000,False,92.0,242.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
142,PT02M04.00S,2023-04-23T23:25:21.9Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,19,31,2023-04-23T23:25:22Z,1420000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,
143,PT01M54.00S,2023-04-23T23:25:35.7Z,1,REGULAR,turnover,traveling,[],1630168,,,1610612737,19,31,2023-04-23T23:25:42Z,1430000,False,,,0,,O. Okongwu traveling TURNOVER (1 TO),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,204059.0,,,,,1.0,,
144,PT01M46.00S,2023-04-23T23:25:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627763,7.440867279894875,46.32352941176471,1610612738,19,33,2023-04-23T23:26:02Z,1440000,False,18.0,17.0,1,left,M. Brogdon driving Layup (5 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.53,Made,5.0,,,,,,,,,,,,,,,,,
145,PT01M36.00S,2023-04-23T23:26:05.6Z,1,REGULAR,3pt,Jump Shot,[],203992,88.38699080157687,4.6568627450980395,1610612737,22,33,2023-04-23T23:26:10Z,1450000,False,-227.0,57.0,1,right,B. Bogdanovic 3PT  (3 PTS) (T. Young 4 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,23.37,Made,3.0,T. Young,1629027.0,4.0,,,,,,,,,,,,,,
147,PT01M23.00S,2023-04-23T23:26:20.8Z,1,REGULAR,turnover,traveling,[],1627763,,,1610612738,22,33,2023-04-23T23:26:31Z,1470000,False,,,0,,M. Brogdon traveling TURNOVER (1 TO),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,204058.0,,,,,1.0,,
149,PT01M13.00S,2023-04-23T23:28:25.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,58.820630749014455,49.754901960784316,1610612737,22,33,2023-04-23T23:28:32Z,1490000,False,-1.0,335.0,1,right,MISS T. Young 33' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,33.46,Missed,,,,,,,,,,,,,,,,,,
150,PT01M11.00S,2023-04-23T23:28:27.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,22,33,2023-04-23T23:28:32Z,1500000,False,,,0,,M. Smart REBOUND (Off:2 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,149.0,3.0,1.0,2.0,,,,,,,,
151,PT01M00.00S,2023-04-23T23:28:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,5.995400788436268,49.01960784313725,1610612738,22,35,2023-04-23T23:28:44Z,1510000,False,5.0,4.0,1,left,M. Brogdon driving Layup (7 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,0.63,Made,7.0,,,,,,,,,,,,,,,,,
152,PT00M47.30S,2023-04-23T23:28:54.8Z,1,REGULAR,2pt,Jump Shot,[],1630180,86.28449408672799,67.8921568627451,1610612737,22,35,2023-04-23T23:28:59Z,1520000,False,89.0,76.0,1,right,MISS S. Bey 11' pullup Shot,[1630180],1610612737.0,ATL,pullup,,,Bey,S. Bey,,,,,Mid-Range,8-16 Right,11.77,Missed,,,,,,,,,,,,,,,,,,
153,PT00M45.20S,2023-04-23T23:28:56.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,22,35,2023-04-23T23:28:59Z,1530000,False,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,152.0,5.0,5.0,0.0,,,,,,,,
154,PT00M34.00S,2023-04-23T23:29:08.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.276609724047304,64.4607843137255,1610612738,22,35,2023-04-23T23:29:15Z,1540000,False,-72.0,251.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
155,PT00M32.50S,2023-04-23T23:29:10.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,22,35,2023-04-23T23:29:15Z,1550000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,154.0,,,,,,,,,,,
157,PT00M32.50S,2023-04-23T23:29:19.1Z,1,REGULAR,substitution,out,[],1630573,,,1610612737,22,35,2023-04-23T23:29:25Z,1570000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M32.50S,2023-04-23T23:29:19.1Z,1,REGULAR,substitution,in,[],1628401,,,1610612737,22,35,2023-04-23T23:29:25Z,1580000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M18.80S,2023-04-23T23:29:44.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,81.2910643889619,92.8921568627451,1610612737,25,35,2023-04-23T23:29:49Z,1590000,False,214.0,123.0,1,right,T. Young 24' 3PT step back (6 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,24.75,Made,6.0,,,,,,,,,,,,,,,,,
160,PT00M00.70S,2023-04-23T23:30:06.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,15.062417871222076,85.7843137254902,1610612738,25,35,2023-04-23T23:30:30Z,1600000,False,-179.0,89.0,1,left,MISS J. Tatum 19' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,19.99,Missed,,,,,,,,,,,,,,,,,,
161,PT00M00.10S,2023-04-23T23:30:07.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,25,35,2023-04-23T23:30:30Z,1610000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,160.0,,,,,,,,,,,
162,PT00M00.00S,2023-04-23T23:30:13.1Z,1,REGULAR,period,end,[],0,,,1610612738,25,35,2023-04-23T23:30:13Z,1620000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-04-23T23:32:07.7Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,25,35,2023-04-23T23:33:36Z,1630000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-04-23T23:32:07.7Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612738,25,35,2023-04-23T23:33:36Z,1640000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
