actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
87,PT05M48.00S,2023-05-06T00:08:24.3Z,1,REGULAR,3pt,Jump Shot,[],1629667,3.9914586070959217,96.32352941176471,1610612755,14,21,2023-05-06T00:08:30Z,870000,False,-232.0,-15.0,1,left,J. McDaniels 3PT  (3 PTS) (J. Harden 2 AST),"[1629667, 201935]",1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Left Corner 3,24+ Left,23.21,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
89,PT05M23.00S,2023-05-06T00:08:49.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,70.48291721419186,81.61764705882354,1610612738,14,24,2023-05-06T00:08:54Z,890000,False,158.0,225.0,1,right,D. White 27' 3PT pullup (6 PTS) (J. Brown 3 AST),"[1628401, 1627759]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.5,Made,6.0,J. Brown,1627759.0,3.0,,,,,,,,,,,,,,
91,PT05M10.00S,2023-05-06T00:09:02.4Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,14,24,2023-05-06T00:09:06Z,910000,False,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 201143]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,2.0,,,Horford,201143.0
92,PT05M10.00S,2023-05-06T00:09:02.4Z,1,REGULAR,steal,,[],201143,,,1610612738,14,24,2023-05-06T00:14:37Z,920000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
93,PT05M02.00S,2023-05-06T00:09:10.6Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,14,24,2023-05-06T00:09:14Z,930000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629001]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,,,Melton,1629001.0
94,PT05M02.00S,2023-05-06T00:09:10.6Z,1,REGULAR,steal,,[],1629001,,,1610612755,14,24,2023-05-06T00:09:12Z,940000,False,,,0,,D. Melton STEAL (1 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
95,PT04M49.00S,2023-05-06T00:09:23.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,34.74047306176085,52.69607843137255,1610612755,14,24,2023-05-06T00:09:27Z,950000,False,-13.0,274.0,1,left,MISS D. Melton 27' pullup 3PT,[1629001],1610612755.0,PHI,pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,27.44,Missed,,,,,,,,,,,,,,,,,,
96,PT04M46.00S,2023-05-06T00:09:26.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,14,24,2023-05-06T00:09:27Z,960000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,95.0,2.0,2.0,0.0,,,,,,,,,,
97,PT04M39.00S,2023-05-06T00:09:33.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,92.0335085413929,56.86274509803921,1610612738,14,24,2023-05-06T00:10:58Z,970000,False,34.0,22.0,1,right,MISS J. Tatum running Layup - blocked,"[1628369, 203954]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,Embiid,203954.0,,
98,PT04M39.00S,2023-05-06T00:09:33.2Z,1,REGULAR,block,,[],203954,,,1610612738,14,24,2023-05-06T00:09:35Z,980000,False,,,0,,J. Embiid BLOCK (2 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
99,PT04M39.00S,2023-05-06T00:09:33.2Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,14,24,2023-05-06T00:09:37Z,990000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,97.0,1.0,1.0,0.0,,,,,,,,,,
100,PT04M39.00S,2023-05-06T00:09:38.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612755,14,24,2023-05-06T00:09:45Z,1000000,False,,,0,,R. Williams III personal FOUL (1 PF) (Melton 2 FT),"[1629057, 1629001]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202049.0,1.0,0.0,Melton,1629001.0,,,,,
102,PT04M39.00S,2023-05-06T00:10:15.6Z,1,REGULAR,freethrow,1 of 2,[],1629001,,,1610612755,15,24,2023-05-06T00:10:15Z,1020000,False,,,0,,D. Melton Free Throw 1 of 2 (1 PTS),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
103,PT04M39.00S,2023-05-06T00:10:16.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612755,15,24,2023-05-06T00:10:22Z,1030000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M39.00S,2023-05-06T00:10:16.6Z,1,REGULAR,substitution,out,[],201143,,,1610612755,15,24,2023-05-06T00:10:22Z,1040000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M39.00S,2023-05-06T00:10:16.6Z,1,REGULAR,substitution,in,[],1629684,,,1610612755,15,24,2023-05-06T00:10:22Z,1050000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M39.00S,2023-05-06T00:10:16.6Z,1,REGULAR,substitution,in,[],1627763,,,1610612755,15,24,2023-05-06T00:10:22Z,1060000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M39.00S,2023-05-06T00:10:40.1Z,1,REGULAR,freethrow,2 of 2,[],1629001,,,1610612755,16,24,2023-05-06T00:10:40Z,1070000,False,,,0,,D. Melton Free Throw 2 of 2 (2 PTS),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
108,PT04M28.00S,2023-05-06T00:10:53.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.15571616294349,29.90196078431373,1610612738,16,24,2023-05-06T00:10:58Z,1080000,False,-100.0,143.0,1,right,MISS J. Brown 17' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,17.51,Missed,,,,,,,,,,,,,,,,,,
109,PT04M25.00S,2023-05-06T00:10:56.3Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612755,16,24,2023-05-06T00:10:58Z,1090000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,108.0,1.0,1.0,0.0,,,,,,,,,,
110,PT04M17.00S,2023-05-06T00:11:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,5.305519053876466,47.30392156862745,1610612755,16,24,2023-05-06T00:11:09Z,1100000,False,13.0,-3.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1629057]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
111,PT04M17.00S,2023-05-06T00:11:04.3Z,1,REGULAR,block,,[],1629057,,,1610612755,16,24,2023-05-06T00:11:06Z,1110000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
112,PT04M14.00S,2023-05-06T00:11:07.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,24,2023-05-06T00:11:09Z,1120000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,110.0,1.0,1.0,0.0,,,,,,,,,,
113,PT04M12.00S,2023-05-06T00:11:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.69053876478318,56.86274509803921,1610612738,16,24,2023-05-06T00:11:20Z,1130000,False,34.0,16.0,1,right,MISS J. Brown running Layup - blocked,"[1627759, 1629001]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,Melton,1629001.0,,
114,PT04M12.00S,2023-05-06T00:11:09.8Z,1,REGULAR,block,,[],1629001,,,1610612738,16,24,2023-05-06T00:11:12Z,1140000,False,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
115,PT04M09.00S,2023-05-06T00:11:12.8Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612755,16,24,2023-05-06T00:11:20Z,1150000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,113.0,2.0,2.0,0.0,,,,,,,,,,
116,PT04M07.00S,2023-05-06T00:11:22.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,16,24,2023-05-06T00:11:45Z,1160000,False,,,0,,G. Williams personal FOUL (1 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,1.0,0.0,Embiid,203954.0,,,,,
118,PT04M07.00S,2023-05-06T00:12:01.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,17,24,2023-05-06T00:12:01Z,1180000,False,,,0,,J. Embiid Free Throw 1 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
119,PT04M07.00S,2023-05-06T00:12:22.0Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,18,24,2023-05-06T00:12:22Z,1190000,False,,,0,,J. Embiid Free Throw 2 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
120,PT03M56.00S,2023-05-06T00:12:35.5Z,1,REGULAR,3pt,Jump Shot,[],1627763,65.75229960578187,42.892156862745104,1610612738,18,24,2023-05-06T00:12:40Z,1200000,False,-36.0,269.0,1,right,MISS M. Brogdon 27' pullup 3PT,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,27.17,Missed,,,,,,,,,,,,,,,,,,
121,PT03M53.00S,2023-05-06T00:12:38.3Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,18,24,2023-05-06T00:12:38Z,1210000,False,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,,
122,PT03M44.00S,2023-05-06T00:12:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,7.933639947437584,44.11764705882353,1610612755,18,24,2023-05-06T00:12:55Z,1220000,False,29.0,22.0,1,left,MISS D. Melton driving Layup - blocked,"[1629001, 1629057]",1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,
123,PT03M44.00S,2023-05-06T00:12:47.7Z,1,REGULAR,block,,[],1629057,,,1610612755,18,24,2023-05-06T00:13:39Z,1230000,False,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT03M39.00S,2023-05-06T00:12:52.7Z,1,REGULAR,rebound,offensive,[],1629667,,,1610612755,18,24,2023-05-06T00:12:55Z,1240000,False,,,0,,J. McDaniels REBOUND (Off:1 Def:2),[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,122.0,3.0,2.0,1.0,,,,,,,,,,
125,PT03M38.00S,2023-05-06T00:12:53.7Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,18,24,2023-05-06T00:12:58Z,1250000,False,,,0,,J. Harden bad pass TURNOVER (3 TO),"[201935, 1629057]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,3.0,,,Williams III,1629057.0
126,PT03M38.00S,2023-05-06T00:12:53.7Z,1,REGULAR,steal,,[],1629057,,,1610612738,18,24,2023-05-06T00:12:55Z,1260000,False,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
127,PT03M32.00S,2023-05-06T00:12:59.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,68.64323258869908,74.01960784313725,1610612738,18,24,2023-05-06T00:13:04Z,1270000,False,120.0,242.0,1,right,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.04,Missed,,,,,,,,,,,,,,,,,,
128,PT03M28.00S,2023-05-06T00:13:03.6Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,18,24,2023-05-06T00:13:04Z,1280000,False,,,0,,D. Melton REBOUND (Off:0 Def:3),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,127.0,3.0,3.0,0.0,,,,,,,,,,
129,PT03M23.00S,2023-05-06T00:13:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,5.831143232588701,49.01960784313726,1610612755,20,24,2023-05-06T00:13:18Z,1290000,False,5.0,2.0,1,left,T. Maxey running reverse Layup (2 PTS) (J. Harden 3 AST),"[1630178, 201935]",1610612755.0,PHI,running reverse,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.54,Made,2.0,J. Harden,201935.0,3.0,,,,,,,,,,,,,,
131,PT03M23.00S,2023-05-06T00:13:16.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,20,24,2023-05-06T00:13:16Z,1310000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M23.00S,2023-05-06T00:16:12.7Z,1,REGULAR,substitution,out,[],201935,,,1610612738,20,24,2023-05-06T00:16:30Z,1320000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M23.00S,2023-05-06T00:16:12.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,20,24,2023-05-06T00:16:30Z,1330000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M23.00S,2023-05-06T00:16:12.7Z,1,REGULAR,substitution,in,[],1627777,,,1610612738,20,24,2023-05-06T00:16:30Z,1340000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M23.00S,2023-05-06T00:16:12.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,20,24,2023-05-06T00:16:30Z,1350000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT03M08.00S,2023-05-06T00:17:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,88.48554533508542,49.754901960784316,1610612738,20,24,2023-05-06T00:17:11Z,1360000,False,-1.0,56.0,1,right,MISS D. White driving Layup - blocked,"[1628401, 1630178]",1610612738.0,BOS,driving,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,5.57,Missed,,,,,,,,,,,,,,,Maxey,1630178.0,,
137,PT03M08.00S,2023-05-06T00:17:05.6Z,1,REGULAR,block,,[],1630178,,,1610612738,20,24,2023-05-06T00:17:08Z,1370000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
138,PT03M04.00S,2023-05-06T00:17:09.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,20,24,2023-05-06T00:17:11Z,1380000,False,,,0,,T. Maxey REBOUND (Off:0 Def:4),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,136.0,4.0,4.0,0.0,,,,,,,,,,
139,PT02M50.00S,2023-05-06T00:17:23.8Z,1,REGULAR,3pt,Jump Shot,[],1629001,30.009855453350852,26.470588235294116,1610612755,23,24,2023-05-06T00:17:27Z,1390000,False,118.0,230.0,1,left,D. Melton 25' 3PT  (5 PTS) (T. Maxey 1 AST),"[1629001, 1630178]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,25.8,Made,5.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
141,PT02M39.00S,2023-05-06T00:17:37.7Z,1,REGULAR,foul,personal,[],1627777,,,1610612738,23,24,2023-05-06T00:17:44Z,1410000,False,,,0,,G. Niang personal FOUL (1 PF),"[1627777, 1628369]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,
143,PT02M39.00S,2023-05-06T00:17:48.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,23,24,2023-05-06T00:17:54Z,1430000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT02M39.00S,2023-05-06T00:17:48.7Z,1,REGULAR,substitution,in,[],203935,,,1610612738,23,24,2023-05-06T00:17:54Z,1440000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT02M27.00S,2023-05-06T00:18:06.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,86.38304862023654,97.05882352941177,1610612738,23,24,2023-05-06T00:18:10Z,1450000,False,235.0,75.0,1,right,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,24.71,Missed,,,,,,,,,,,,,,,,,,
146,PT02M24.00S,2023-05-06T00:18:09.4Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,23,24,2023-05-06T00:18:10Z,1460000,False,,,0,,D. Melton REBOUND (Off:0 Def:4),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,,,,,,,145.0,4.0,4.0,0.0,,,,,,,,,,
147,PT02M03.00S,2023-05-06T00:18:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.183311432325894,52.450980392156865,1610612755,25,24,2023-05-06T00:18:33Z,1470000,False,-12.0,118.0,1,left,J. Embiid 11' Jump Shot (10 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,11.9,Made,10.0,D. Melton,1629001.0,1.0,,,,,,,,,,,,,,
150,PT01M47.00S,2023-05-06T00:19:14.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,94.26741130091985,50.49019607843137,1610612738,25,26,2023-05-06T00:19:18Z,1500000,False,2.0,1.0,1,right,R. Williams III cutting DUNK (2 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.29,Made,2.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
152,PT01M26.00S,2023-05-06T00:19:40.7Z,1,REGULAR,foul,offensive,[],203954,,,1610612755,25,26,2023-05-06T00:19:47Z,1520000,False,,,0,,J. Embiid offensive FOUL (1 PF),"[203954, 203935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,,,,,,,,,202049.0,1.0,0.0,Smart,203935.0,,,,,
154,PT01M26.00S,2023-05-06T00:19:40.7Z,1,REGULAR,turnover,offensive foul,[],203954,,,1610612755,25,26,2023-05-06T00:19:40Z,1540000,False,,,0,,J. Embiid offensive foul TURNOVER (2 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,,,,,,,,,202049.0,,,,,2.0,,,,
155,PT01M17.00S,2023-05-06T00:20:06.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627763,82.44086727989487,63.48039215686275,1610612738,25,28,2023-05-06T00:20:11Z,1550000,False,67.0,113.0,1,right,M. Brogdon 13' driving floating Jump Shot (2 PTS),[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Right,13.12,Made,2.0,,,,,,,,,,,,,,,,,
156,PT00M56.40S,2023-05-06T00:20:32.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612755,25,28,2023-05-06T00:20:40Z,1560000,False,,,0,,R. Williams III shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629057, 203954]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200834.0,2.0,0.0,Embiid,203954.0,,,,,
158,PT00M56.40S,2023-05-06T00:20:58.8Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,26,28,2023-05-06T00:24:09Z,1580000,False,,,0,,J. Embiid Free Throw 1 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
161,PT00M56.40S,2023-05-06T00:20:58.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,27,28,2023-05-06T00:24:09Z,1585000,False,,,0,,J. Embiid Free Throw 2 of 2 (12 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
159,PT00M56.40S,2023-05-06T00:21:02.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,27,28,2023-05-06T00:24:09Z,1590000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M56.40S,2023-05-06T00:21:02.9Z,1,REGULAR,substitution,in,[],1627759,,,1610612738,27,28,2023-05-06T00:24:09Z,1600000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M40.50S,2023-05-06T00:22:15.9Z,1,REGULAR,jumpball,recovered,[],1627763,,,1610612738,27,28,2023-05-06T00:24:09Z,1605000,False,,,0,,Jump Ball J. Tatum vs. G. Niang: Tip to M. Brogdon,"[1627763, 1628369, 1627777]",1610612738.0,BOS,heldball,M. Brogdon,1627763.0,Brogdon,M. Brogdon,Tatum,1628369.0,Niang,1627777.0,,,,,,,,,,,,,,,,,,,,,,
165,PT00M30.70S,2023-05-06T00:22:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,84.4119579500657,59.31372549019608,1610612738,27,28,2023-05-06T00:22:30Z,1620000,False,47.0,94.0,1,right,MISS M. Brogdon 10' pullup bank Shot,[1627763],1610612738.0,BOS,pullup bank,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,10.49,Missed,,,,,,,,,,,,,,,,,,
166,PT00M28.80S,2023-05-06T00:22:25.4Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,27,28,2023-05-06T00:22:25Z,1630000,False,,,0,,D. Melton REBOUND (Off:0 Def:5),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,165.0,5.0,5.0,0.0,,,,,,,,,,
167,PT00M19.50S,2023-05-06T00:22:37.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612755,27,28,2023-05-06T00:22:42Z,1640000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Maxey 2 FT),"[203935, 1630178]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,200834.0,1.0,0.0,Maxey,1630178.0,,,,,
169,PT00M19.50S,2023-05-06T00:22:52.8Z,1,REGULAR,substitution,out,[],203954,,,1610612755,27,28,2023-05-06T00:22:56Z,1660000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M19.50S,2023-05-06T00:22:52.8Z,1,REGULAR,substitution,in,[],1630194,,,1610612755,27,28,2023-05-06T00:22:56Z,1670000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M19.50S,2023-05-06T00:23:24.0Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,28,28,2023-05-06T00:23:24Z,1680000,False,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
172,PT00M19.50S,2023-05-06T00:23:27.3Z,1,REGULAR,substitution,out,[],1627777,,,1610612755,28,28,2023-05-06T00:23:34Z,1690000,False,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
