actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
79,PT04M34.00S,2023-05-07T19:58:56.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203935,87.0400788436268,59.80392156862745,1610612738,15,14,2023-05-07T19:59:34Z,790000,False,49.0,69.0,1,right,MISS M. Smart 8' running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Right,8.49,Missed,,,,,,,,,,,,,,,,,,
80,PT04M34.00S,2023-05-07T19:58:56.6Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,15,14,2023-05-07T19:59:16Z,800000,False,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,79.0,1.0,0.0,1.0,,,,,,,,,,
81,PT04M33.00S,2023-05-07T19:59:00.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",201143,94.40999984741211,50.0,1610612738,15,14,2023-05-07T19:59:03Z,810000,False,0.0,0.0,1,right,MISS A. Horford tip Layup,[201143],1610612738.0,BOS,tip,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
82,PT04M33.00S,2023-05-07T19:59:00.8Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,15,14,2023-05-07T19:59:03Z,820000,False,,,0,,A. Horford REBOUND (Off:2 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,81.0,2.0,0.0,2.0,,,,,,,,,,
83,PT04M33.00S,2023-05-07T19:59:08.3Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612738,15,14,2023-05-07T19:59:38Z,830000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Horford 2 FT),"[200782, 201143]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Horford,201143.0,,
85,PT04M33.00S,2023-05-07T19:59:53.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",201143,,,1610612738,15,15,2023-05-07T19:59:53Z,850000,False,,,0,,A. Horford Free Throw 1 of 2 (1 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
86,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,out,[],200782,,,1610612738,15,15,2023-05-07T20:00:05Z,860000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,15,15,2023-05-07T20:00:05Z,870000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,out,[],203935,,,1610612738,15,15,2023-05-07T20:00:05Z,880000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,in,[],1629001,,,1610612738,15,15,2023-05-07T20:00:05Z,890000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,15,15,2023-05-07T20:00:05Z,900000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M33.00S,2023-05-07T19:59:55.5Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,15,15,2023-05-07T20:00:05Z,910000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M33.00S,2023-05-07T20:00:30.1Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",201143,,,1610612738,15,16,2023-05-07T20:00:30Z,920000,False,,,0,,A. Horford Free Throw 2 of 2 (2 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
93,PT04M20.00S,2023-05-07T20:00:45.0Z,1,REGULAR,3pt,Jump Shot,[],202699,30.929697766097235,75.73529411764706,1610612755,15,16,2023-05-07T20:00:49Z,930000,False,-129.0,238.0,1,left,MISS T. Harris 27' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,27.07,Missed,,,,,,,,,,,,,,,,,,
94,PT04M18.00S,2023-05-07T20:00:47.0Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,15,16,2023-05-07T20:00:49Z,940000,False,,,0,,T. Maxey REBOUND (Off:3 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,93.0,3.0,0.0,3.0,,,,,,,,,,
95,PT04M18.00S,2023-05-07T20:00:50.3Z,1,REGULAR,foul,personal,[],1628401,,,1610612755,15,16,2023-05-07T20:00:58Z,950000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 1630178]",1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Maxey,1630178.0,,
97,PT04M03.00S,2023-05-07T20:01:21.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203954,17.789093298291732,57.59803921568628,1610612755,15,16,2023-05-07T20:01:24Z,970000,False,-38.0,115.0,1,left,MISS J. Embiid 12' turnaround fadeaway Shot,[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,12.08,Missed,,,,,,,,,,,,,,,,,,
98,PT04M01.00S,2023-05-07T20:01:23.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,16,2023-05-07T20:01:24Z,980000,False,,,0,,J. Tatum REBOUND (Off:2 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,97.0,6.0,4.0,2.0,,,,,,,,,,
99,PT03M55.00S,2023-05-07T20:01:29.8Z,1,REGULAR,3pt,Jump Shot,[],201143,73.89947437582128,13.235294117647058,1610612738,15,16,2023-05-07T20:01:33Z,990000,False,-184.0,193.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
100,PT03M53.00S,2023-05-07T20:01:31.8Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,15,16,2023-05-07T20:01:33Z,1000000,False,,,0,,T. Maxey REBOUND (Off:3 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,99.0,4.0,1.0,3.0,,,,,,,,,,
101,PT03M39.00S,2023-05-07T20:01:48.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628369,,,1610612755,15,16,2023-05-07T20:01:57Z,1010000,False,,,0,,J. Tatum shooting personal FOUL (1 PF) (Harden 2 FT),"[1628369, 201935]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Harden,201935.0,,
103,PT03M39.00S,2023-05-07T20:02:17.1Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,16,16,2023-05-07T20:02:17Z,1030000,False,,,0,,J. Harden Free Throw 1 of 2 (3 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
104,PT03M39.00S,2023-05-07T20:02:19.0Z,1,REGULAR,substitution,out,[],202699,,,1610612755,16,16,2023-05-07T20:02:24Z,1040000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M39.00S,2023-05-07T20:02:19.0Z,1,REGULAR,substitution,out,[],201143,,,1610612755,16,16,2023-05-07T20:02:24Z,1050000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M39.00S,2023-05-07T20:02:19.0Z,1,REGULAR,substitution,in,[],1627777,,,1610612755,16,16,2023-05-07T20:02:24Z,1060000,False,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M39.00S,2023-05-07T20:02:19.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,16,16,2023-05-07T20:02:24Z,1070000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M39.00S,2023-05-07T20:02:41.0Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,17,16,2023-05-07T20:02:41Z,1080000,False,,,0,,J. Harden Free Throw 2 of 2 (4 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
109,PT03M19.00S,2023-05-07T20:03:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628401,65.88370565045992,31.617647058823522,1610612738,17,19,2023-05-07T20:03:06Z,1090000,False,-92.0,268.0,1,right,D. White 28' 3PT pullup (5 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Left Center,28.35,Made,5.0,,,,,,,,,,,,,,,,,
110,PT02M59.00S,2023-05-07T20:03:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.356767411300922,52.205882352941174,1610612755,19,19,2023-05-07T20:03:27Z,1100000,False,-11.0,7.0,1,left,J. Harden driving finger roll Layup (6 PTS),[201935],1610612755.0,PHI,driving finger roll,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.32,Made,6.0,,,,,,,,,,,,,,,,,
111,PT02M44.00S,2023-05-07T20:03:41.9Z,1,REGULAR,foul,personal,[],1627777,,,1610612738,19,19,2023-05-07T20:03:47Z,1110000,False,,,0,,G. Niang personal FOUL (1 PF),"[1627777, 1629684]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Williams,1629684.0,,
113,PT02M44.00S,2023-05-07T20:03:49.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,19,2023-05-07T20:03:49Z,1130000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M44.00S,2023-05-07T20:06:51.5Z,1,REGULAR,substitution,out,[],201935,,,1610612738,19,19,2023-05-07T20:07:01Z,1140000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M44.00S,2023-05-07T20:06:51.5Z,1,REGULAR,substitution,in,[],202699,,,1610612738,19,19,2023-05-07T20:07:01Z,1150000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M37.00S,2023-05-07T20:07:30.3Z,1,REGULAR,3pt,Jump Shot,[],1627763,89.93101182654402,98.03921568627452,1610612738,19,19,2023-05-07T20:07:38Z,1160000,False,240.0,42.0,1,right,MISS M. Brogdon 24' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Right Corner 3,24+ Right,24.39,Missed,,,,,,,,,,,,,,,,,,
117,PT02M35.00S,2023-05-07T20:07:32.3Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,19,19,2023-05-07T20:07:33Z,1170000,False,,,0,,T. Maxey REBOUND (Off:3 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,,,,116.0,5.0,2.0,3.0,,,,,,,,,,
118,PT02M15.00S,2023-05-07T20:07:51.8Z,1,REGULAR,3pt,Jump Shot,[],1627777,24.227989487516425,10.784313725490193,1610612755,22,19,2023-05-07T20:07:55Z,1180000,False,196.0,175.0,1,left,G. Niang 26' 3PT  (3 PTS) (J. Embiid 1 AST),"[1627777, 203954]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,26.3,Made,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
120,PT02M01.00S,2023-05-07T20:08:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,86.12023653088042,52.450980392156865,1610612738,22,19,2023-05-07T20:08:11Z,1200000,False,12.0,78.0,1,right,MISS D. White 7' driving floating Shot - blocked,"[1628401, 1630178]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.9,Missed,,,,,,,,,,,,,,,,,Maxey,1630178.0
121,PT02M01.00S,2023-05-07T20:08:05.8Z,1,REGULAR,block,,[],1630178,,,1610612738,22,19,2023-05-07T20:08:09Z,1210000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
122,PT01M56.00S,2023-05-07T20:08:10.8Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,22,19,2023-05-07T20:08:11Z,1220000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,120.0,1.0,0.0,1.0,,,,,,,,,,
123,PT01M50.00S,2023-05-07T20:08:18.8Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,22,19,2023-05-07T20:08:23Z,1230000,False,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,101284.0,,,,,,
124,PT01M50.00S,2023-05-07T20:08:24.8Z,1,REGULAR,substitution,out,[],1629057,,,1610612755,22,19,2023-05-07T20:08:31Z,1240000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M50.00S,2023-05-07T20:08:24.8Z,1,REGULAR,substitution,in,[],203935,,,1610612755,22,19,2023-05-07T20:08:31Z,1250000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M35.00S,2023-05-07T20:08:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,5.962549277266746,52.205882352941174,1610612755,24,19,2023-05-07T20:09:01Z,1260000,False,-11.0,4.0,1,left,J. Embiid finger roll Layup (9 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.15,Made,9.0,D. Melton,1629001.0,1.0,,,,,,,,,,,,,,
128,PT01M35.00S,2023-05-07T20:08:59.5Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",203935,,,1610612755,24,19,2023-05-07T20:09:09Z,1280000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Embiid 1 FT),"[203935, 203954]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Embiid,203954.0,,
130,PT01M35.00S,2023-05-07T20:09:29.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203954,,,1610612755,25,19,2023-05-07T20:09:29Z,1300000,False,,,0,,J. Embiid Free Throw 1 of 1 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
131,PT01M23.00S,2023-05-07T20:09:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629684,66.14651773981603,45.09803921568627,1610612738,25,19,2023-05-07T20:09:48Z,1310000,False,-25.0,266.0,1,right,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,26.68,Missed,,,,,,,,,,,,,,,,,,
132,PT01M19.00S,2023-05-07T20:09:48.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,25,19,2023-05-07T20:09:48Z,1320000,False,,,0,,J. Embiid REBOUND (Off:1 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,131.0,5.0,4.0,1.0,,,,,,,,,,
133,PT01M01.00S,2023-05-07T20:10:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,5.568331143232584,61.51960784313725,1610612755,27,19,2023-05-07T20:10:08Z,1330000,False,-58.0,0.0,1,left,J. Embiid fadeaway Jump Shot (12 PTS),[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,12.0,,,,,,,,,,,,,,,,,
134,PT00M47.90S,2023-05-07T20:10:19.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.46057818659658,41.42156862745098,1610612738,27,19,2023-05-07T20:10:26Z,1340000,False,-43.0,253.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.7,Missed,,,,,,,,,,,,,,,,,,
135,PT00M44.40S,2023-05-07T20:10:23.1Z,1,REGULAR,rebound,offensive,[],1627763,,,1610612738,27,19,2023-05-07T20:10:26Z,1350000,False,,,0,,M. Brogdon REBOUND (Off:1 Def:0),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,,,,,,,134.0,1.0,0.0,1.0,,,,,,,,,,
136,PT00M44.40S,2023-05-07T20:10:28.2Z,1,REGULAR,foul,personal,[],1629001,,,1610612738,27,19,2023-05-07T20:10:34Z,1360000,False,,,0,,D. Melton personal FOUL (1 PF),"[1629001, 1627763]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Brogdon,1627763.0,,
138,PT00M37.60S,2023-05-07T20:10:45.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,92.42772667542707,61.51960784313725,1610612738,27,19,2023-05-07T20:11:30Z,1380000,False,58.0,19.0,1,right,MISS J. Tatum 6' driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,,
139,PT00M35.50S,2023-05-07T20:10:47.8Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,27,19,2023-05-07T20:10:50Z,1390000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,138.0,2.0,2.0,0.0,,,,,,,,,,
140,PT00M27.30S,2023-05-07T20:10:55.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,10.693166885676746,45.09803921568627,1610612755,27,19,2023-05-07T20:11:02Z,1400000,False,25.0,48.0,1,left,MISS T. Maxey driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
141,PT00M24.30S,2023-05-07T20:10:58.9Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,27,19,2023-05-07T20:10:58Z,1410000,False,,,0,,T. Maxey REBOUND (Off:4 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,140.0,6.0,2.0,4.0,,,,,,,,,,
142,PT00M24.30S,2023-05-07T20:10:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630178,5.590000152587891,50.0,1610612755,27,19,2023-05-07T20:10:58Z,1420000,False,0.0,0.0,1,left,MISS T. Maxey tip Layup,[1630178],1610612755.0,PHI,tip,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
143,PT00M23.70S,2023-05-07T20:10:59.5Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,27,19,2023-05-07T20:10:59Z,1430000,False,,,0,,M. Brogdon REBOUND (Off:1 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,,
144,PT00M04.50S,2023-05-07T20:11:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,93.47897503285151,40.19607843137255,1610612738,27,19,2023-05-07T20:15:34Z,1440000,False,-49.0,9.0,1,right,MISS M. Smart fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,,,,,,,,,,,,,,
145,PT00M03.90S,2023-05-07T20:11:19.9Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,27,19,2023-05-07T20:15:34Z,1450000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,144.0,2.0,1.0,1.0,,,,,,,,,,
152,PT00M03.90S,2023-05-07T20:11:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,93.87319316688567,52.450980392156865,1610612738,27,19,2023-05-07T20:13:45Z,1455000,False,12.0,5.0,1,right,MISS D. White tip Layup,[1628401],1610612738.0,BOS,tip,,,White,D. White,,,,,Restricted Area,0-8 Center,1.33,Missed,,,,,,,,,,,,,,,,,,
153,PT00M01.90S,2023-05-07T20:11:24.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,27,19,2023-05-07T20:13:55Z,1457500,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,152.0,3.0,3.0,0.0,,,,,,,,,,
146,PT00M00.40S,2023-05-07T20:11:24.8Z,1,REGULAR,3pt,Jump Shot,[],202699,33.952036793692514,46.81372549019608,1610612755,27,19,2023-05-07T20:11:35Z,1460000,False,16.0,267.0,1,left,MISS T. Harris 26' running 3PT - blocked,"[202699, 1629684]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,26.71,Missed,,,,,,,,,,,,,,,,,Williams,1629684.0
147,PT00M00.40S,2023-05-07T20:11:24.8Z,1,REGULAR,block,,[],1629684,,,1610612755,27,19,2023-05-07T20:11:27Z,1470000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
148,PT00M00.10S,2023-05-07T20:11:25.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,27,19,2023-05-07T20:11:35Z,1480000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,146.0,,,,,,,,,,,,,
149,PT00M00.00S,2023-05-07T20:11:29.0Z,1,REGULAR,period,end,[],0,,,1610612755,27,19,2023-05-07T20:11:29Z,1490000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612755,27,19,2023-05-07T20:14:50Z,1500000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,out,['startperiod'],203954,,,1610612755,27,19,2023-05-07T20:14:50Z,1510000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612755,27,19,2023-05-07T20:14:50Z,1520000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612755,27,19,2023-05-07T20:14:50Z,1530000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,in,['startperiod'],1630194,,,1610612755,27,19,2023-05-07T20:14:50Z,1540000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612755,27,19,2023-05-07T20:14:50Z,1560000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612755,27,19,2023-05-07T20:14:50Z,1570000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-05-07T20:13:43.4Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612755,27,19,2023-05-07T20:15:24Z,1575000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
