actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
30,PT08M50.00S,2023-05-30T00:38:03.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,77.7431011826544,24.019607843137255,1610612738,7,2,2023-05-30T00:38:06Z,300000,False,-130.0,157.0,1,right,J. Brown 20' pullup Jump Shot (4 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,Made,4.0,,,,,20.35,,,,,,,,
31,PT08M26.00S,2023-05-30T00:38:26.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,23.866622864651774,91.66666666666666,1610612748,7,2,2023-05-30T00:38:33Z,310000,False,-208.0,172.0,1,left,MISS M. Strus 27' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,27.0,,,,,,,,
32,PT08M25.00S,2023-05-30T00:38:27.5Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,7,2,2023-05-30T00:38:33Z,320000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,
33,PT08M24.00S,2023-05-30T00:38:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,8.229303547963205,46.07843137254902,1610612748,7,2,2023-05-30T00:38:38Z,330000,False,20.0,25.0,1,left,MISS C. Martin putback Layup - blocked,"[1628997, 1627759]",1610612748.0,MIA,putback,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.17,,,,,Brown,1627759.0,,
55,PT08M24.00S,2023-05-30T00:38:30.1Z,1,REGULAR,block,,[],1627759,,,1610612748,7,2,2023-05-30T00:42:43Z,335000,False,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT08M23.00S,2023-05-30T00:38:31.1Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,7,2,2023-05-30T00:38:38Z,340000,False,,,0,,C. Martin REBOUND (Off:2 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,33.0,2.0,0.0,2.0,,,,,,,,,
35,PT08M23.00S,2023-05-30T00:38:34.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628997,5.590000152587891,50.0,1610612748,7,4,2023-05-30T00:38:46Z,350000,False,0.0,0.0,1,left,C. Martin tip Layup (2 PTS),[1628997],1610612748.0,MIA,tip,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,0.0,,,,,,,,
36,PT08M04.00S,2023-05-30T00:38:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.9862023653088,52.69607843137255,1610612738,9,4,2023-05-30T00:38:53Z,360000,False,13.0,13.0,1,right,J. Brown cutting Layup (6 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,,,,,1.9,,M. Smart,203935.0,1.0,,,,
38,PT07M55.00S,2023-05-30T00:38:57.6Z,1,REGULAR,2pt,Jump Shot,[],1628389,21.632720105124836,35.78431372549019,1610612748,9,4,2023-05-30T00:39:05Z,380000,False,71.0,151.0,1,left,MISS B. Adebayo 16' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,,,,16.67,,,,,,,,
39,PT07M54.00S,2023-05-30T00:38:58.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,4,2023-05-30T00:41:49Z,390000,False,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,,,,,38.0,4.0,3.0,1.0,,,,,,,,,
40,PT07M48.00S,2023-05-30T00:39:05.7Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,9,4,2023-05-30T00:39:08Z,400000,False,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 1628997]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,,,Martin,1628997.0
41,PT07M48.00S,2023-05-30T00:39:05.7Z,1,REGULAR,steal,,[],1628997,,,1610612748,9,4,2023-05-30T00:39:07Z,410000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT07M42.00S,2023-05-30T00:39:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,9.017739816031538,46.32352941176471,1610612748,9,4,2023-05-30T00:39:28Z,420000,False,18.0,32.0,1,left,MISS C. Martin running Layup,[1628997],1610612748.0,MIA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.72,,,,,,,,
43,PT07M41.00S,2023-05-30T00:39:12.7Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,4,2023-05-30T00:39:28Z,430000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT07M26.00S,2023-05-30T00:39:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,71.30420499342969,76.47058823529412,1610612738,9,4,2023-05-30T00:42:49Z,440000,False,132.0,217.0,1,right,MISS D. White 25' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,25.44,,,,,,,,
45,PT07M25.00S,2023-05-30T00:39:28.8Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,9,4,2023-05-30T00:39:34Z,450000,False,,,0,,C. Martin REBOUND (Off:2 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,44.0,3.0,1.0,2.0,,,,,,,,,
46,PT07M15.00S,2023-05-30T00:39:40.2Z,1,REGULAR,foul,personal,[],201143,,,1610612748,9,4,2023-05-30T00:39:54Z,460000,False,,,0,,A. Horford personal FOUL (1 PF),"[201143, 1628389]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,1162.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,
48,PT07M10.00S,2023-05-30T00:40:07.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,34.11629434954008,55.63725490196079,1610612748,9,4,2023-05-30T00:44:02Z,480000,False,-28.0,268.0,1,left,MISS M. Strus 26' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,26.97,,,,,,,,
49,PT07M09.00S,2023-05-30T00:40:08.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,4,2023-05-30T00:40:15Z,490000,False,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,48.0,5.0,4.0,1.0,,,,,,,,,
50,PT07M00.00S,2023-05-30T00:40:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.80354796320631,50.98039215686274,1610612738,9,4,2023-05-30T00:40:26Z,500000,False,5.0,25.0,1,right,MISS J. Brown driving finger roll Layup,[1627759],1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.5,,,,,,,,
51,PT06M58.00S,2023-05-30T00:40:18.9Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,9,4,2023-05-30T00:40:26Z,510000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,
52,PT06M54.00S,2023-05-30T00:40:22.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628997,5.601182654402102,3.431372549019608,1610612748,9,4,2023-05-30T00:44:04Z,520000,False,233.0,0.0,1,left,MISS C. Martin running 3PT,[1628997],1610612748.0,MIA,running,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.28,,,,,,,,
53,PT06M53.00S,2023-05-30T00:40:23.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,9,4,2023-05-30T00:40:41Z,530000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,
54,PT06M53.00S,2023-05-30T00:40:31.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,9,4,2023-05-30T00:40:31Z,540000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M35.00S,2023-05-30T00:44:25.1Z,1,REGULAR,3pt,Jump Shot,[],203935,95.74572930354796,96.07843137254902,1610612738,9,4,2023-05-30T00:44:31Z,550000,False,230.0,-13.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.07,,,,,,,,
57,PT06M33.00S,2023-05-30T00:44:27.1Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,9,4,2023-05-30T00:44:31Z,560000,False,,,0,,M. Strus REBOUND (Off:0 Def:2),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,
58,PT06M22.00S,2023-05-30T00:44:36.9Z,1,REGULAR,2pt,Jump Shot,[],1629216,20.45006570302234,65.19607843137256,1610612748,9,6,2023-05-30T00:44:40Z,570000,False,-76.0,140.0,1,left,G. Vincent 15' pullup Jump Shot (2 PTS),[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Center,,,,,,Made,2.0,,,,,15.9,,,,,,,,
59,PT05M55.00S,2023-05-30T00:45:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,74.06373193166885,13.725490196078432,1610612738,9,6,2023-05-30T00:45:09Z,580000,False,-181.0,191.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.36,,,,,,,,
60,PT05M54.00S,2023-05-30T00:45:04.3Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,9,6,2023-05-30T00:45:09Z,590000,False,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,
61,PT05M47.00S,2023-05-30T00:45:11.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,71.69842312746385,16.911764705882355,1610612738,9,6,2023-05-30T00:45:21Z,600000,False,-165.0,214.0,1,right,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,27.01,,,,,,,,
62,PT05M46.00S,2023-05-30T00:45:12.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,9,6,2023-05-30T00:45:21Z,610000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,61.0,,,,,,,,,,,,
63,PT05M46.00S,2023-05-30T00:45:22.0Z,1,REGULAR,foul,personal,[],1629622,,,1610612738,9,6,2023-05-30T00:45:45Z,620000,False,,,0,,M. Strus loose ball personal FOUL (1 PF),"[1629622, 1628369]",1610612748.0,MIA,loose ball,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
65,PT05M46.00S,2023-05-30T00:45:30.2Z,1,REGULAR,substitution,out,[],203935,,,1610612738,9,6,2023-05-30T00:45:39Z,640000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M46.00S,2023-05-30T00:45:30.2Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,9,6,2023-05-30T00:45:39Z,650000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M39.00S,2023-05-30T00:45:53.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,76.2976346911958,60.5392156862745,1610612738,9,6,2023-05-30T00:46:00Z,660000,False,53.0,170.0,1,right,MISS J. Brown 17' step back Shot,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,17.83,,,,,,,,
68,PT05M38.00S,2023-05-30T00:45:54.1Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,9,6,2023-05-30T00:46:00Z,670000,False,,,0,,C. Martin REBOUND (Off:2 Def:2),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Center,,,,,,,,67.0,4.0,2.0,2.0,,,,,,,,,
101,PT05M24.00S,2023-05-30T00:46:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.5722733245729295,46.07843137254902,1610612748,9,6,2023-05-30T00:51:23Z,675000,False,20.0,19.0,1,left,MISS B. Adebayo Layup - blocked,"[1628389, 1627763]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.71,,,,,Brogdon,1627763.0,,
102,PT05M24.00S,2023-05-30T00:46:02.8Z,1,REGULAR,block,,[],1627763,,,1610612748,9,6,2023-05-30T00:51:23Z,677500,False,,,0,,M. Brogdon BLOCK (1 BLK),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
103,PT05M23.00S,2023-05-30T00:46:03.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,9,6,2023-05-30T00:51:23Z,678750,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,101.0,,,,,,,,,,,,
70,PT05M04.00S,2023-05-30T00:46:34.1Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,9,6,2023-05-30T00:46:37Z,690000,False,,,0,,J. Brown lost ball TURNOVER (2 TO),"[1627759, 202710]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,2.0,,,,,,Butler,202710.0
71,PT05M04.00S,2023-05-30T00:46:34.1Z,1,REGULAR,steal,,[],202710,,,1610612748,9,6,2023-05-30T00:46:35Z,700000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
72,PT05M00.00S,2023-05-30T00:46:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,8.229303547963205,46.568627450980394,1610612748,9,8,2023-05-30T00:46:43Z,710000,False,17.0,25.0,1,left,J. Butler running Layup (2 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,3.03,,,,,,,,
73,PT04M45.00S,2023-05-30T00:46:52.5Z,1,REGULAR,3pt,Jump Shot,[],201143,94.03745072273325,96.32352941176471,1610612738,9,8,2023-05-30T00:46:56Z,720000,False,232.0,4.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.16,,,,,,,,
74,PT04M44.00S,2023-05-30T00:46:53.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,9,8,2023-05-30T00:46:56Z,730000,False,,,0,,C. Martin REBOUND (Off:2 Def:3),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,,73.0,5.0,3.0,2.0,,,,,,,,,
75,PT04M38.00S,2023-05-30T00:46:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628997,7.835085413929041,56.372549019607845,1610612748,9,8,2023-05-30T00:47:05Z,740000,False,-32.0,21.0,1,left,MISS C. Martin running Layup - blocked,"[1628997, 1627759]",1610612748.0,MIA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.82,,,,,Brown,1627759.0,,
76,PT04M38.00S,2023-05-30T00:46:59.7Z,1,REGULAR,block,,[],1627759,,,1610612748,9,8,2023-05-30T00:47:02Z,750000,False,,,0,,J. Brown BLOCK (2 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT04M37.00S,2023-05-30T00:47:00.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,9,8,2023-05-30T00:47:05Z,760000,False,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,,
78,PT04M27.00S,2023-05-30T00:47:10.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,91.40932982917214,4.411764705882353,1610612738,9,8,2023-05-30T00:47:17Z,770000,False,-228.0,28.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,,,,22.97,,,,,,,,
79,PT04M26.00S,2023-05-30T00:47:11.9Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,9,8,2023-05-30T00:47:17Z,780000,False,,,0,,J. Tatum REBOUND (Off:2 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,,,78.0,6.0,4.0,2.0,,,,,,,,,
80,PT04M20.00S,2023-05-30T00:47:17.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628401,86.67871222076215,52.69607843137255,1610612738,11,8,2023-05-30T00:47:23Z,790000,False,13.0,73.0,1,right,D. White 7' driving floating Jump Shot (2 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,7.39,,,,,,,,
81,PT04M11.00S,2023-05-30T00:47:30.1Z,1,REGULAR,foul,personal,[],1627763,,,1610612748,11,8,2023-05-30T00:47:48Z,800000,False,,,0,,M. Brogdon personal FOUL (1 PF),"[1627763, 1629622]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,101284.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,,,,
83,PT04M11.00S,2023-05-30T00:47:43.0Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,11,8,2023-05-30T00:47:55Z,820000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M11.00S,2023-05-30T00:47:43.0Z,1,REGULAR,substitution,out,[],201143,,,1610612748,11,8,2023-05-30T00:47:55Z,830000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M11.00S,2023-05-30T00:47:43.0Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,11,8,2023-05-30T00:47:55Z,840000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M11.00S,2023-05-30T00:47:43.0Z,1,REGULAR,substitution,in,[],1629057,,,1610612748,11,8,2023-05-30T00:47:55Z,850000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M02.00S,2023-05-30T00:48:04.5Z,1,REGULAR,2pt,Jump Shot,[],1628997,20.49934296977661,83.11121323529412,1610612748,11,10,2023-05-30T00:52:59Z,860000,False,-166.0,140.0,1,left,C. Martin 21' Jump Shot (4 PTS) (J. Butler 1 AST),"[1628997, 202710]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left Center,,,,,,Made,4.0,,,,,21.7,,J. Butler,202710.0,1.0,,,,
89,PT03M45.00S,2023-05-30T00:48:20.3Z,1,REGULAR,3pt,Jump Shot,[],1627763,74.19513797634691,12.254901960784313,1610612738,11,10,2023-05-30T00:48:29Z,880000,False,-189.0,190.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,26.79,,,,,,,,
90,PT03M43.00S,2023-05-30T00:48:22.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,11,10,2023-05-30T00:48:29Z,890000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,89.0,,,,,,,,,,,,
92,PT03M43.00S,2023-05-30T00:48:28.9Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,11,10,2023-05-30T00:48:34Z,910000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M43.00S,2023-05-30T00:48:28.9Z,1,REGULAR,substitution,in,[],200768,,,1610612748,11,10,2023-05-30T00:48:34Z,920000,False,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M28.00S,2023-05-30T00:48:58.2Z,1,REGULAR,3pt,Jump Shot,[],1629622,27.677398160315374,81.86274509803921,1610612748,11,13,2023-05-30T00:49:02Z,930000,False,-159.0,208.0,1,left,M. Strus 26' 3PT  (3 PTS) (J. Butler 2 AST),"[1629622, 202710]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,26.18,,J. Butler,202710.0,2.0,,,,
96,PT03M13.00S,2023-05-30T00:49:14.7Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,11,13,2023-05-30T00:49:19Z,950000,False,,,0,,J. Brown bad pass out-of-bounds TURNOVER (3 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,1146.0,,,,,,,,,,,,3.0,,,,,,,
97,PT02M56.00S,2023-05-30T00:49:40.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,7.966491458607096,31.862745098039213,1610612748,11,15,2023-05-30T00:49:44Z,960000,False,91.0,22.0,1,left,J. Butler 9' pullup Jump Shot (4 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,,,,,,Made,4.0,,,,,9.34,,,,,,,,
98,PT02M34.00S,2023-05-30T00:50:04.6Z,1,REGULAR,foul,personal,['2freethrow'],1628389,,,1610612738,11,15,2023-05-30T00:50:27Z,970000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Brown 2 FT),"[1628389, 1627759]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,1146.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
100,PT02M34.00S,2023-05-30T00:50:23.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,11,15,2023-05-30T00:50:23Z,990000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M34.00S,2023-05-30T00:53:11.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,11,15,2023-05-30T00:53:33Z,1010000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M34.00S,2023-05-30T00:53:11.4Z,1,REGULAR,substitution,in,[],203935,,,1610612738,11,15,2023-05-30T00:53:33Z,1020000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M34.00S,2023-05-30T00:53:59.3Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,12,15,2023-05-30T00:53:59Z,1030000,False,,,0,,J. Brown Free Throw 1 of 2 (7 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
109,PT02M34.00S,2023-05-30T00:54:19.3Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,13,15,2023-05-30T00:54:19Z,1040000,False,,,0,,J. Brown Free Throw 2 of 2 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
110,PT02M16.00S,2023-05-30T00:54:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,9.017739816031538,53.18627450980392,1610612748,13,15,2023-05-30T00:54:44Z,1050000,False,-16.0,32.0,1,left,MISS J. Butler driving Layup - blocked,"[202710, 1629057]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.6,,,,,Williams III,1629057.0,,
111,PT02M16.00S,2023-05-30T00:54:38.8Z,1,REGULAR,block,,[],1629057,,,1610612748,13,15,2023-05-30T00:54:41Z,1060000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
