actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
288,PT11M28.00S,2023-05-30T01:42:44.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,15.062417871222076,35.049019607843135,1610612738,43,55,2023-05-30T01:42:49Z,2800000,False,75.0,89.0,1,left,J. Brown 11' turnaround fadeaway Jump Shot (15 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,15.0,,,,,11.63,,,,,,,,
289,PT11M13.00S,2023-05-30T01:43:01.3Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,92.85479632063075,41.911764705882355,1610612748,43,57,2023-05-30T01:43:05Z,2810000,False,-40.0,15.0,1,right,G. Vincent driving Layup (10 PTS),[1629216],1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,Restricted Area,0-8 Center,,,,,,Made,10.0,,,,,4.3,,,,,,,,
290,PT10M54.00S,2023-05-30T01:43:18.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.886333771353483,43.13725490196079,1610612738,43,57,2023-05-30T01:43:26Z,2820000,False,34.0,31.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,4.62,,,,,,,,
291,PT10M52.00S,2023-05-30T01:43:21.3Z,3,REGULAR,rebound,defensive,[],1628997,,,1610612748,43,57,2023-05-30T01:43:21Z,2830000,False,,,0,,C. Martin REBOUND (Off:3 Def:5),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,290.0,8.0,5.0,3.0,,,,,,,,,
292,PT10M33.00S,2023-05-30T01:43:40.9Z,3,REGULAR,2pt,Jump Shot,[],1629216,92.85479632063075,68.62745098039215,1610612748,43,57,2023-05-30T01:43:48Z,2840000,False,93.0,15.0,1,right,MISS G. Vincent 9' turnaround fadeaway Shot,[1629216],1610612748.0,MIA,turnaround fadeaway,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Right,,,,,,Missed,,,,,,9.43,,,,,,,,
293,PT10M32.00S,2023-05-30T01:43:41.9Z,3,REGULAR,rebound,defensive,[],1627759,,,1610612738,43,57,2023-05-30T01:43:48Z,2850000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,292.0,3.0,3.0,0.0,,,,,,,,,
294,PT10M28.00S,2023-05-30T01:43:47.8Z,3,REGULAR,turnover,traveling,[],1628369,,,1610612738,43,57,2023-05-30T01:43:54Z,2860000,False,,,0,,J. Tatum traveling TURNOVER (2 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,1146.0,,,,,,,,,,,,2.0,,,,,,,
295,PT10M14.00S,2023-05-30T01:44:09.6Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202710,90.09526938239159,50.0,1610612748,43,59,2023-05-30T01:44:14Z,2870000,False,0.0,41.0,1,right,J. Butler driving floating Jump Shot (16 PTS) (G. Vincent 4 AST),"[202710, 1629216]",1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Made,16.0,,,,,4.06,,G. Vincent,1629216.0,4.0,,,,
297,PT10M14.00S,2023-05-30T01:44:15.6Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,43,59,2023-05-30T01:44:15Z,2890000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,PT10M02.00S,2023-05-30T01:48:26.7Z,3,REGULAR,2pt,Jump Shot,[],1628369,21.50131406044678,45.09803921568628,1610612738,43,59,2023-05-30T01:48:36Z,2910000,False,25.0,150.0,1,left,MISS J. Tatum 15' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,,,,15.16,,,,,,,,
300,PT10M00.00S,2023-05-30T01:48:28.7Z,3,REGULAR,rebound,defensive,[],1628389,,,1610612748,43,59,2023-05-30T01:48:36Z,2920000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,,,299.0,5.0,5.0,0.0,,,,,,,,,
301,PT09M46.00S,2023-05-30T01:48:41.4Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.32917214191852,54.65686274509803,1610612748,43,59,2023-05-30T01:48:46Z,2930000,False,23.0,20.0,1,right,MISS J. Butler driving finger roll Layup,[202710],1610612748.0,MIA,driving finger roll,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.04,,,,,,,,
302,PT09M44.00S,2023-05-30T01:48:43.4Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,43,59,2023-05-30T01:48:46Z,2940000,False,,,0,,A. Horford REBOUND (Off:1 Def:6),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,301.0,7.0,6.0,1.0,,,,,,,,,
303,PT09M41.00S,2023-05-30T01:48:49.0Z,3,REGULAR,foul,personal,['2freethrow'],202710,,,1610612738,43,59,2023-05-30T01:48:58Z,2950000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (White 2 FT),"[202710, 1628401]",1610612748.0,MIA,shooting,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,101284.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
305,PT09M41.00S,2023-05-30T01:49:12.8Z,3,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,44,59,2023-05-30T01:49:12Z,2970000,False,,,0,,D. White Free Throw 1 of 2 (6 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
306,PT09M41.00S,2023-05-30T01:49:13.8Z,3,REGULAR,substitution,out,[],201143,,,1610612738,44,59,2023-05-30T01:49:20Z,2980000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT09M41.00S,2023-05-30T01:49:13.8Z,3,REGULAR,substitution,in,[],1629057,,,1610612738,44,59,2023-05-30T01:49:20Z,2990000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT09M41.00S,2023-05-30T01:49:43.6Z,3,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,45,59,2023-05-30T01:49:43Z,3000000,False,,,0,,D. White Free Throw 2 of 2 (7 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
309,PT09M29.00S,2023-05-30T01:49:56.9Z,3,REGULAR,2pt,Jump Shot,[],1629216,74.85216819973719,56.127450980392155,1610612748,45,59,2023-05-30T01:50:04Z,3010000,False,31.0,184.0,1,right,MISS G. Vincent 18' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,,,,18.64,,,,,,,,
310,PT09M27.00S,2023-05-30T01:49:58.9Z,3,REGULAR,rebound,defensive,[],1629057,,,1610612738,45,59,2023-05-30T01:50:04Z,3020000,False,,,0,,R. Williams III REBOUND (Off:2 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Center,,,,,,,,309.0,4.0,2.0,2.0,,,,,,,,,
311,PT09M09.00S,2023-05-30T01:50:17.1Z,3,REGULAR,3pt,Jump Shot,[],1628401,24.78646517739816,11.519607843137255,1610612738,48,59,2023-05-30T01:50:22Z,3030000,False,192.0,180.0,1,left,D. White 26' 3PT  (10 PTS) (M. Smart 3 AST),"[1628401, 203935]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,Made,10.0,,,,,26.38,,M. Smart,203935.0,3.0,,,,
313,PT08M40.00S,2023-05-30T01:50:46.4Z,3,REGULAR,2pt,Jump Shot,[],202710,78.79434954007884,77.45098039215686,1610612748,48,59,2023-05-30T01:51:09Z,3050000,False,137.0,147.0,1,right,MISS J. Butler 20' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,,,,Missed,,,,,,20.1,,,,,,,,
314,PT08M38.00S,2023-05-30T01:50:48.4Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,48,59,2023-05-30T01:50:54Z,3060000,False,,,0,,J. Tatum REBOUND (Off:2 Def:7),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,,,,,,313.0,9.0,7.0,2.0,,,,,,,,,
315,PT08M29.00S,2023-05-30T01:50:58.4Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,15.325229960578188,45.588235294117645,1610612738,50,59,2023-05-30T01:51:02Z,3070000,False,22.0,92.0,1,left,D. White 9' driving floating Jump Shot (12 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,12.0,,,,,9.42,,,,,,,,
316,PT08M29.00S,2023-05-30T01:51:02.0Z,3,REGULAR,foul,personal,['1freethrow'],1629622,,,1610612738,50,59,2023-05-30T01:51:10Z,3080000,False,,,0,,M. Strus shooting personal FOUL (2 PF) (White 1 FT),"[1629622, 1628401]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Center,1162.0,2.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
318,PT08M29.00S,2023-05-30T01:51:30.4Z,3,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,51,59,2023-05-30T01:51:30Z,3100000,False,,,0,,D. White Free Throw 1 of 1 (13 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,Made,13.0,,,,,,,,,,,,,
319,PT08M11.00S,2023-05-30T01:51:49.3Z,3,REGULAR,2pt,Jump Shot,[],1628997,80.89684625492772,23.284313725490197,1610612748,51,61,2023-05-30T01:51:53Z,3110000,False,-134.0,127.0,1,right,C. Martin 18' pullup Jump Shot (16 PTS) (J. Butler 3 AST),"[1628997, 202710]",1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left Center,,,,,,Made,16.0,,,,,18.44,,J. Butler,202710.0,3.0,,,,
321,PT07M54.00S,2023-05-30T01:52:06.1Z,3,REGULAR,turnover,lost ball,[],1627759,,,1610612738,51,61,2023-05-30T01:52:10Z,3130000,False,,,0,,J. Brown lost ball TURNOVER (4 TO),"[1627759, 202710]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,4.0,,,,,,Butler,202710.0
322,PT07M54.00S,2023-05-30T01:52:06.1Z,3,REGULAR,steal,,[],202710,,,1610612748,51,61,2023-05-30T01:52:08Z,3140000,False,,,0,,J. Butler STEAL (2 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
323,PT07M39.00S,2023-05-30T01:52:20.9Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],202710,94.43166885676742,95.34313725490196,1610612748,51,61,2023-05-30T01:52:27Z,3150000,False,227.0,0.0,1,right,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,22.67,,,,,,,,
