actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
183,PT08M09.00S,2023-05-10T00:11:01.2Z,2,REGULAR,2pt,Jump Shot,[],1627763,90.22667542706965,69.6078431372549,1610612738,33,42,2023-05-10T00:11:18Z,1830000,False,98.0,39.0,1,right,M. Brogdon 10' driving floating Jump Shot (5 PTS) (J. Brown 2 AST),"[1627763, 1627759]",1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Right,10.56,Made,,,,,5.0,,,,,,J. Brown,1627759.0,2.0,,,,,
185,PT08M09.00S,2023-05-10T00:11:08.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,33,42,2023-05-10T00:11:08Z,1850000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,out,[],1629001,,,1610612755,33,42,2023-05-10T00:14:15Z,1860000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,out,[],1627863,,,1610612755,33,42,2023-05-10T00:14:15Z,1870000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,out,[],1630194,,,1610612755,33,42,2023-05-10T00:14:15Z,1880000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,in,[],202699,,,1610612755,33,42,2023-05-10T00:14:15Z,1890000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,in,[],203954,,,1610612755,33,42,2023-05-10T00:14:15Z,1900000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M09.00S,2023-05-10T00:13:53.4Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,33,42,2023-05-10T00:14:15Z,1910000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT07M54.00S,2023-05-10T00:14:56.8Z,2,REGULAR,2pt,Jump Shot,[],1630178,14.14257555847569,32.35294117647059,1610612755,33,42,2023-05-10T00:15:02Z,1920000,False,88.0,80.0,1,left,MISS T. Maxey 11' driving floating bank Shot,[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,11.93,Missed,,,,,,,,,,,,,,,,,,
193,PT07M51.00S,2023-05-10T00:14:59.8Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,33,42,2023-05-10T00:15:02Z,1930000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Right,,,192.0,1.0,1.0,0.0,,,,,,,,,,,,,,
194,PT07M45.00S,2023-05-10T00:15:05.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627763,91.14651773981603,54.41176470588235,1610612738,33,42,2023-05-10T00:15:35Z,1940000,False,22.0,31.0,1,right,MISS M. Brogdon running Layup,[1627763],1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
195,PT07M44.00S,2023-05-10T00:15:06.6Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,33,42,2023-05-10T00:15:10Z,1950000,False,,,0,,T. Harris REBOUND (Off:1 Def:4),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,194.0,5.0,4.0,1.0,,,,,,,,,,,,,,
196,PT07M29.00S,2023-05-10T00:15:21.4Z,2,REGULAR,3pt,Jump Shot,[],203954,31.488173455978973,57.107843137254896,1610612755,33,42,2023-05-10T00:15:26Z,1960000,False,-36.0,243.0,1,left,MISS J. Embiid 24' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,24.61,Missed,,,,,,,,,,,,,,,,,,
197,PT07M25.00S,2023-05-10T00:15:25.4Z,2,REGULAR,rebound,defensive,[],1628401,,,1610612738,33,42,2023-05-10T00:15:26Z,1970000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,196.0,2.0,2.0,0.0,,,,,,,,,,,,,,
198,PT07M20.00S,2023-05-10T00:15:29.5Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1627763,75.64060446780552,39.705882352941174,1610612738,33,42,2023-05-10T00:16:04Z,1980000,False,-51.0,176.0,1,right,MISS M. Brogdon 18' running Shot,[1627763],1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Center,18.39,Missed,,,,,,,,,,,,,,,,,,
199,PT07M17.00S,2023-05-10T00:15:32.5Z,2,REGULAR,rebound,defensive,[],1630178,,,1610612755,33,42,2023-05-10T00:15:35Z,1990000,False,,,0,,T. Maxey REBOUND (Off:0 Def:4),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,198.0,4.0,4.0,0.0,,,,,,,,,,,,,,
200,PT07M13.00S,2023-05-10T00:15:42.0Z,2,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,33,42,2023-05-10T00:15:49Z,2000000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,201639.0,,,,,,,,,,1.0,,
