actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
310,PT00M44.10S,2023-05-10T00:32:51.4Z,2,REGULAR,rebound,defensive,[],200782,,,1610612755,47,58,2023-05-10T00:33:33Z,3100000,False,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,309.0,2.0,1.0,1.0,,,,,,,,,,,,,,
311,PT00M31.60S,2023-05-10T00:33:27.8Z,2,REGULAR,3pt,Jump Shot,[],203954,29.38567674113009,68.87254901960785,1610612755,47,58,2023-05-10T00:33:36Z,3110000,False,-94.0,224.0,1,left,MISS J. Embiid 24' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,24.28,Missed,,,,,,,,,,,,,,,,,,
312,PT00M28.80S,2023-05-10T00:33:30.6Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,47,58,2023-05-10T00:33:30Z,3120000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,311.0,2.0,2.0,0.0,,,,,,,,,,,,,,
313,PT00M26.40S,2023-05-10T00:33:34.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630178,,,1610612738,47,58,2023-05-10T00:33:41Z,3130000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630178, 1628369]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,204059.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
315,PT00M26.40S,2023-05-10T00:33:55.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1628369,,,1610612738,48,58,2023-05-10T00:33:55Z,3150000,False,,,0,,J. Tatum Free Throw 1 of 2 (14 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,14.0,,,,,,,,,,,,,
316,PT00M26.40S,2023-05-10T00:33:56.2Z,2,REGULAR,substitution,out,[],1627863,,,1610612738,48,58,2023-05-10T00:34:00Z,3160000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT00M26.40S,2023-05-10T00:33:56.2Z,2,REGULAR,substitution,in,[],201935,,,1610612738,48,58,2023-05-10T00:34:00Z,3170000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT00M26.40S,2023-05-10T00:34:15.9Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1628369,,,1610612738,49,58,2023-05-10T00:34:15Z,3180000,False,,,0,,J. Tatum Free Throw 2 of 2 (15 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
319,PT00M03.50S,2023-05-10T00:34:45.0Z,2,REGULAR,2pt,Jump Shot,[],201935,6.521024967148489,15.441176470588236,1610612755,49,58,2023-05-10T00:35:04Z,3190000,False,173.0,9.0,1,left,MISS J. Harden 17' fadeaway Shot,[201935],1610612755.0,PHI,fadeaway,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right,17.3,Missed,,,,,,,,,,,,,,,,,,
320,PT00M02.40S,2023-05-10T00:34:46.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,49,58,2023-05-10T00:34:55Z,3200000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Right,,,319.0,,,,,,,,,,,,,,,,,
321,PT00M02.40S,2023-05-10T00:34:50.6Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612755,49,58,2023-05-10T00:35:00Z,3210000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,201639.0,,,,,,,,,,,,
322,PT00M02.40S,2023-05-10T00:34:59.7Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,49,58,2023-05-10T00:35:06Z,3220000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT00M02.40S,2023-05-10T00:34:59.7Z,2,REGULAR,substitution,out,[],201935,,,1610612738,49,58,2023-05-10T00:35:06Z,3230000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT00M02.40S,2023-05-10T00:34:59.7Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,49,58,2023-05-10T00:35:06Z,3240000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
325,PT00M02.40S,2023-05-10T00:34:59.7Z,2,REGULAR,substitution,in,[],1627863,,,1610612738,49,58,2023-05-10T00:35:06Z,3250000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
326,PT00M00.30S,2023-05-10T00:35:15.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,59.34625492772667,27.450980392156865,1610612738,49,58,2023-05-10T00:35:28Z,3260000,False,-113.0,330.0,1,right,MISS J. Tatum 34' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,34.83,Missed,,,,,,,,,,,,,,,,,,
327,PT00M00.10S,2023-05-10T00:35:16.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,49,58,2023-05-10T00:35:28Z,3270000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,326.0,,,,,,,,,,,,,,,,,
328,PT00M00.00S,2023-05-10T00:35:21.5Z,2,REGULAR,period,end,[],0,,,1610612738,49,58,2023-05-10T00:35:21Z,3280000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,out,['startperiod'],1627763,,,1610612738,49,58,2023-05-10T00:51:29Z,3290000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
330,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,out,['startperiod'],1629001,,,1610612738,49,58,2023-05-10T00:51:29Z,3300000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
331,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,out,['startperiod'],1627863,,,1610612738,49,58,2023-05-10T00:51:29Z,3310000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,49,58,2023-05-10T00:51:29Z,3320000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,in,['startperiod'],201935,,,1610612738,49,58,2023-05-10T00:51:29Z,3330000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT12M00.00S,2023-05-10T00:50:35.3Z,3,REGULAR,substitution,in,['startperiod'],202699,,,1610612738,49,58,2023-05-10T00:51:29Z,3340000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT12M00.00S,2023-05-10T00:51:55.4Z,3,REGULAR,period,start,[],0,,,1610612755,49,58,2023-05-10T00:51:55Z,3350000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT11M37.00S,2023-05-10T00:52:17.6Z,3,REGULAR,3pt,Jump Shot,[],203954,68.15045992115637,29.65686274509804,1610612755,49,58,2023-05-10T00:52:23Z,3360000,False,-102.0,247.0,1,right,MISS J. Embiid 26' step back 3PT,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
337,PT11M34.00S,2023-05-10T00:52:20.6Z,3,REGULAR,rebound,defensive,[],1628369,,,1610612738,49,58,2023-05-10T00:52:23Z,3370000,False,,,0,,J. Tatum REBOUND (Off:0 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,336.0,6.0,6.0,0.0,,,,,,,,,,,,,,
338,PT11M24.00S,2023-05-10T00:52:30.5Z,3,REGULAR,3pt,Jump Shot,[],203935,34.247700394218136,33.57843137254902,1610612738,49,58,2023-05-10T00:52:35Z,3380000,False,82.0,269.0,1,left,MISS M. Smart 28' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,28.16,Missed,,,,,,,,,,,,,,,,,,
339,PT11M20.00S,2023-05-10T00:52:34.5Z,3,REGULAR,rebound,defensive,[],200782,,,1610612755,49,58,2023-05-10T00:52:35Z,3390000,False,,,0,,P. Tucker REBOUND (Off:1 Def:2),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Center,,,338.0,3.0,2.0,1.0,,,,,,,,,,,,,,
340,PT11M15.00S,2023-05-10T00:52:39.8Z,3,REGULAR,2pt,Layup,['fastbreak'],203954,93.64323258869908,69.36274509803921,1610612755,49,58,2023-05-10T00:53:01Z,3400000,False,97.0,7.0,1,right,MISS J. Embiid 9' running Layup,[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,9.71,Missed,,,,,,,,,,,,,,,,,,
341,PT11M12.00S,2023-05-10T00:52:42.8Z,3,REGULAR,rebound,offensive,[],202699,,,1610612755,49,58,2023-05-10T00:52:46Z,3410000,False,,,0,,T. Harris REBOUND (Off:2 Def:8),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,340.0,10.0,8.0,2.0,,,,,,,,,,,,,,
342,PT11M12.00S,2023-05-10T00:52:42.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,94.40999984741211,50.0,1610612755,49,60,2023-05-10T00:52:42Z,3420000,False,0.0,0.0,1,right,T. Harris tip Layup (14 PTS),[202699],1610612755.0,PHI,tip,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,14.0,,,,,,,,,,,,,
343,PT10M48.00S,2023-05-10T00:53:06.8Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,10.5946123521682,60.78431372549019,1610612738,49,60,2023-05-10T00:53:36Z,3430000,False,-54.0,47.0,1,left,MISS J. Tatum 7' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
344,PT10M46.00S,2023-05-10T00:53:08.8Z,3,REGULAR,rebound,offensive,[],1628369,,,1610612738,49,60,2023-05-10T00:53:13Z,3440000,False,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,343.0,7.0,6.0,1.0,,,,,,,,,,,,,,
345,PT10M44.00S,2023-05-10T00:53:10.8Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,5.206964520367937,54.166666666666664,1610612738,51,60,2023-05-10T00:54:00Z,3450000,False,-21.0,-4.0,1,left,J. Tatum Layup (17 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,17.0,,,,,,,,,,,,,
346,PT10M23.00S,2023-05-10T00:53:34.8Z,3,REGULAR,foul,personal,['3freethrow'],203935,,,1610612755,51,60,2023-05-10T00:53:42Z,3460000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Harden 3 FT),"[203935, 201935]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,204059.0,1.0,0.0,Harden,201935.0,,,,,,,,
348,PT10M23.00S,2023-05-10T00:54:00.9Z,3,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,51,61,2023-05-10T00:54:00Z,3480000,False,,,0,,J. Harden Free Throw 1 of 3 (11 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
349,PT10M23.00S,2023-05-10T00:54:19.4Z,3,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,51,62,2023-05-10T00:54:19Z,3490000,False,,,0,,J. Harden Free Throw 2 of 3 (12 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,12.0,,,,,,,,,,,,,
350,PT10M23.00S,2023-05-10T00:54:38.3Z,3,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,51,63,2023-05-10T00:54:38Z,3500000,False,,,0,,J. Harden Free Throw 3 of 3 (13 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
351,PT10M02.00S,2023-05-10T00:55:03.3Z,3,REGULAR,3pt,Jump Shot,[],201143,14.4053876478318,3.9215686274509802,1610612738,51,63,2023-05-10T00:55:07Z,3510000,False,230.0,83.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,24.49,Missed,,,,,,,,,,,,,,,,,,
352,PT09M59.00S,2023-05-10T00:55:06.3Z,3,REGULAR,rebound,defensive,[],201935,,,1610612755,51,63,2023-05-10T00:55:14Z,3520000,False,,,0,,J. Harden REBOUND (Off:0 Def:5),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,351.0,5.0,5.0,0.0,,,,,,,,,,,,,,
353,PT09M49.00S,2023-05-10T00:55:15.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,80.50262812089356,59.80392156862745,1610612755,51,65,2023-05-10T00:55:21Z,3530000,False,49.0,131.0,1,right,J. Embiid 13' Jump Shot (23 PTS) (J. Harden 5 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.97,Made,,,,,23.0,,,,,,J. Harden,201935.0,5.0,,,,,
355,PT09M25.00S,2023-05-10T00:55:39.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,4.944152431011826,64.2156862745098,1610612738,51,65,2023-05-10T00:56:04Z,3550000,False,-71.0,-6.0,1,left,MISS D. White 7' Layup - blocked,"[1628401, 203954]",1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,Embiid,203954.0,,,
356,PT09M25.00S,2023-05-10T00:55:39.1Z,3,REGULAR,block,,[],203954,,,1610612738,51,65,2023-05-10T00:55:41Z,3560000,False,,,0,,J. Embiid BLOCK (2 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
357,PT09M23.00S,2023-05-10T00:55:41.1Z,3,REGULAR,rebound,defensive,[],201935,,,1610612755,51,65,2023-05-10T00:55:44Z,3570000,False,,,0,,J. Harden REBOUND (Off:0 Def:6),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,355.0,6.0,6.0,0.0,,,,,,,,,,,,,,
358,PT09M21.00S,2023-05-10T00:55:44.0Z,3,REGULAR,turnover,bad pass,[],201935,,,1610612755,51,65,2023-05-10T00:55:49Z,3580000,False,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 1628369]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0
359,PT09M21.00S,2023-05-10T00:55:44.0Z,3,REGULAR,steal,,[],1628369,,,1610612738,51,65,2023-05-10T00:55:45Z,3590000,False,,,0,,J. Tatum STEAL (2 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
360,PT09M20.00S,2023-05-10T00:55:47.4Z,3,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,51,65,2023-05-10T00:55:57Z,3600000,False,,,0,,J. Embiid shooting personal FOUL (2 PF) (Tatum 2 FT),"[203954, 1628369]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,204059.0,2.0,0.0,Tatum,1628369.0,,,,,,,,
362,PT09M20.00S,2023-05-10T00:56:17.5Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,51,65,2023-05-10T00:56:17Z,3620000,False,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
363,PT09M20.00S,2023-05-10T00:56:17.5Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,51,65,2023-05-10T00:56:17Z,3630000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,
364,PT09M20.00S,2023-05-10T00:56:39.2Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,52,65,2023-05-10T00:56:39Z,3640000,False,,,0,,J. Tatum Free Throw 2 of 2 (18 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,18.0,,,,,,,,,,,,,
365,PT09M05.00S,2023-05-10T00:56:56.5Z,3,REGULAR,2pt,Jump Shot,[],202699,80.6340341655716,79.41176470588235,1610612755,52,67,2023-05-10T00:57:22Z,3650000,False,147.0,130.0,1,right,T. Harris 19' pullup Jump Shot (16 PTS) (J. Embiid 2 AST),"[202699, 203954]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,19.6,Made,,,,,16.0,,,,,,J. Embiid,203954.0,2.0,,,,,
367,PT08M53.00S,2023-05-10T00:57:07.1Z,3,REGULAR,3pt,Jump Shot,[],1627759,34.247700394218136,44.85294117647059,1610612738,55,67,2023-05-10T00:57:11Z,3670000,False,26.0,269.0,1,left,J. Brown 27' 3PT  (13 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,27.06,Made,,,,,13.0,,,,,,M. Smart,203935.0,2.0,,,,,
369,PT08M34.00S,2023-05-10T00:57:26.1Z,3,REGULAR,2pt,Jump Shot,[],203954,81.68528252299606,24.509803921568626,1610612755,55,69,2023-05-10T00:57:30Z,3690000,False,-127.0,120.0,1,right,J. Embiid 17' Jump Shot (25 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,17.49,Made,,,,,25.0,,,,,,,,,,,,,
370,PT08M19.00S,2023-05-10T00:57:41.7Z,3,REGULAR,3pt,Jump Shot,[],1627759,29.6484888304862,75.0,1610612738,55,69,2023-05-10T00:57:50Z,3700000,False,-125.0,226.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.84,Missed,,,,,,,,,,,,,,,,,,
371,PT08M15.00S,2023-05-10T00:57:45.7Z,3,REGULAR,rebound,offensive,[],1628401,,,1610612738,55,69,2023-05-10T00:57:50Z,3710000,False,,,0,,D. White REBOUND (Off:2 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,370.0,5.0,3.0,2.0,,,,,,,,,,,,,,
372,PT08M14.00S,2023-05-10T00:57:50.1Z,3,REGULAR,foul,personal,[],202699,,,1610612738,55,69,2023-05-10T00:58:01Z,3720000,False,,,0,,T. Harris personal FOUL (4 PF),"[202699, 1628401]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,1830.0,4.0,0.0,White,1628401.0,,,,,,,,
374,PT08M14.00S,2023-05-10T00:58:02.9Z,3,REGULAR,substitution,out,[],202699,,,1610612738,55,69,2023-05-10T00:58:11Z,3740000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
375,PT08M14.00S,2023-05-10T00:58:02.9Z,3,REGULAR,substitution,in,[],1629001,,,1610612738,55,69,2023-05-10T00:58:11Z,3750000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
376,PT08M05.00S,2023-05-10T00:58:26.8Z,3,REGULAR,foul,personal,[],200782,,,1610612738,55,69,2023-05-10T00:58:36Z,3760000,False,,,0,,P. Tucker personal FOUL (3 PF),"[200782, 1627759]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Center,,,,,,,,1830.0,3.0,0.0,Brown,1627759.0,,,,,,,,
378,PT07M56.00S,2023-05-10T00:59:01.0Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],203935,24.129434954007884,85.04901960784314,1610612738,55,69,2023-05-10T00:59:06Z,3780000,False,-175.0,174.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,24.71,Missed,,,,,,,,,,,,,,,,,,
379,PT07M53.00S,2023-05-10T00:59:04.0Z,3,REGULAR,rebound,defensive,[],200782,,,1610612755,55,69,2023-05-10T00:59:06Z,3790000,False,,,0,,P. Tucker REBOUND (Off:1 Def:3),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,378.0,4.0,3.0,1.0,,,,,,,,,,,,,,
380,PT07M36.00S,2023-05-10T00:59:20.3Z,3,REGULAR,2pt,Jump Shot,[],203954,80.6340341655716,26.47058823529412,1610612755,55,69,2023-05-10T00:59:44Z,3800000,False,-118.0,130.0,1,right,MISS J. Embiid 17' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left Center,17.49,Missed,,,,,,,,,,,,,,,,,,
381,PT07M34.00S,2023-05-10T00:59:22.3Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,55,69,2023-05-10T00:59:24Z,3810000,False,,,0,,A. Horford REBOUND (Off:2 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Left Center,,,380.0,4.0,2.0,2.0,,,,,,,,,,,,,,
382,PT07M24.00S,2023-05-10T00:59:32.2Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,12.697109067017081,52.69607843137255,1610612738,55,69,2023-05-10T00:59:51Z,3820000,False,-13.0,67.0,1,left,MISS J. Tatum 6' driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.82,Missed,,,,,,,,,,,,,,,,,,
383,PT07M22.00S,2023-05-10T00:59:34.4Z,3,REGULAR,rebound,offensive,[],1628369,,,1610612738,55,69,2023-05-10T00:59:34Z,3830000,False,,,0,,J. Tatum REBOUND (Off:2 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,382.0,8.0,6.0,2.0,,,,,,,,,,,,,,
384,PT07M22.00S,2023-05-10T00:59:34.4Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,5.590000152587891,50.0,1610612738,57,69,2023-05-10T00:59:34Z,3840000,False,0.0,0.0,1,left,J. Tatum tip Layup (20 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,20.0,,,,,,,,,,,,,
385,PT07M05.00S,2023-05-10T00:59:50.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],201935,94.87516425755584,64.48376225490196,1610612755,57,69,2023-05-10T00:59:56Z,3850000,False,72.0,-4.0,1,right,MISS J. Harden 7' driving Layup,[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,7.25,Missed,,,,,,,,,,,,,,,,,,
386,PT07M04.00S,2023-05-10T00:59:51.8Z,3,REGULAR,rebound,defensive,[],201143,,,1610612738,57,69,2023-05-10T00:59:56Z,3860000,False,,,0,,A. Horford REBOUND (Off:2 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,385.0,5.0,3.0,2.0,,,,,,,,,,,,,,
387,PT06M53.00S,2023-05-10T01:00:03.3Z,3,REGULAR,3pt,Jump Shot,[],1628369,31.750985545335087,27.205882352941174,1610612738,57,69,2023-05-10T01:00:27Z,3870000,False,114.0,246.0,1,left,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,27.11,Missed,,,,,,,,,,,,,,,,,,
388,PT06M51.00S,2023-05-10T01:00:05.3Z,3,REGULAR,rebound,defensive,[],200782,,,1610612755,57,69,2023-05-10T01:00:08Z,3880000,False,,,0,,P. Tucker REBOUND (Off:1 Def:4),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,387.0,5.0,4.0,1.0,,,,,,,,,,,,,,
389,PT06M33.00S,2023-05-10T01:00:24.9Z,3,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612755,57,69,2023-05-10T01:03:38Z,3890000,False,,,0,,J. Tatum shooting personal FOUL (2 PF) (Maxey 2 FT),"[1628369, 1630178]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201639.0,2.0,0.0,Maxey,1630178.0,,,,,,,,
