actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
465,PT00M00.00S,2023-04-28T02:15:32.8Z,3,REGULAR,period,end,[],0,,,1610612737,100,98,2023-04-28T02:15:32Z,4550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,PT12M00.00S,2023-04-28T02:18:01.0Z,4,REGULAR,substitution,out,['startperiod'],1628369,,,1610612737,100,98,2023-04-28T02:19:03Z,4560000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
468,PT12M00.00S,2023-04-28T02:18:01.0Z,4,REGULAR,substitution,in,['startperiod'],1629057,,,1610612737,100,98,2023-04-28T02:19:03Z,4570000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
469,PT12M00.00S,2023-04-28T02:19:12.6Z,4,REGULAR,period,start,[],0,,,1610612738,100,98,2023-04-28T02:19:12Z,4580000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,PT11M41.00S,2023-04-28T02:19:30.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,94.56307490144546,49.50980392156863,1610612738,100,100,2023-04-28T02:19:34Z,4590000,False,-2.0,-1.0,1,right,R. Williams III alley-oop Layup (4 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.29,Made,4.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
472,PT11M23.00S,2023-04-28T02:19:48.3Z,4,REGULAR,turnover,bad pass,[],1628381,,,1610612737,100,100,2023-04-28T02:19:52Z,4610000,False,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 1629684]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Williams,1629684.0,,,,,,,,,,,
473,PT11M23.00S,2023-04-28T02:19:48.3Z,4,REGULAR,steal,,[],1629684,,,1610612738,100,100,2023-04-28T02:19:50Z,4620000,False,,,0,,G. Williams STEAL (1 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
474,PT11M15.00S,2023-04-28T02:19:56.7Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627763,92.06636005256242,49.754901960784316,1610612738,100,102,2023-04-28T02:22:52Z,4630000,False,-1.0,22.0,1,right,M. Brogdon pullup Jump Shot (15 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.21,Made,15.0,,,,,,,,,,,,,,,,,
475,PT10M58.00S,2023-04-28T02:20:13.6Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,14.011169513797633,44.85294117647059,1610612737,102,102,2023-04-28T02:20:17Z,4640000,False,26.0,79.0,1,left,J. Collins 8' floating Jump Shot (11 PTS) (T. Young 7 AST),"[1628381, 1629027]",1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,8.33,Made,11.0,T. Young,1629027.0,7.0,,,,,,,,,,,,,,
477,PT10M47.00S,2023-04-28T02:20:23.9Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,83.13074901445466,50.245098039215684,1610612738,102,104,2023-04-28T02:20:28Z,4660000,False,1.0,106.0,1,right,M. Brogdon 10' pullup Jump Shot (17 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,10.61,Made,17.0,,,,,,,,,,,,,,,,,
479,PT10M24.00S,2023-04-28T02:21:10.7Z,4,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612737,102,104,2023-04-28T02:22:00Z,4680000,False,,,0,,J. Brown shooting personal FOUL (3 PF) (Young 2 FT),"[1627759, 1629027]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,200832.0,3.0,0.0,Young,1629027.0
481,PT10M24.00S,2023-04-28T02:22:01.3Z,4,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,103,104,2023-04-28T02:22:01Z,4700000,False,,,0,,T. Young Free Throw 1 of 2 (29 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,29.0,,,,,,,,,,,,,,,,,
482,PT10M24.00S,2023-04-28T02:22:02.7Z,4,REGULAR,substitution,out,[],203992,,,1610612737,103,104,2023-04-28T02:22:05Z,4710000,False,,,0,,SUB out: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
483,PT10M24.00S,2023-04-28T02:22:02.7Z,4,REGULAR,substitution,in,[],1627749,,,1610612737,103,104,2023-04-28T02:22:05Z,4720000,False,,,0,,SUB in: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
484,PT10M24.00S,2023-04-28T02:22:21.5Z,4,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,104,104,2023-04-28T02:22:21Z,4730000,False,,,0,,T. Young Free Throw 2 of 2 (30 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,30.0,,,,,,,,,,,,,,,,,
485,PT10M16.00S,2023-04-28T02:22:33.3Z,4,REGULAR,3pt,Jump Shot,[],1627763,68.01905387647832,44.85294117647059,1610612738,104,104,2023-04-28T02:22:38Z,4740000,False,-26.0,248.0,1,right,MISS M. Brogdon 24' pullup 3PT,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,24.94,Missed,,,,,,,,,,,,,,,,,,
