actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
86,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,in,[],201143,,,1610612738,19,22,2023-05-18T00:47:15Z,860000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,in,[],203469,,,1610612738,19,22,2023-05-18T00:47:15Z,870000,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M26.00S,2023-05-18T00:47:02.7Z,1,REGULAR,substitution,in,[],200768,,,1610612738,19,22,2023-05-18T00:47:15Z,880000,False,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M22.00S,2023-05-18T00:47:25.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,86.15308804204993,45.588235294117645,1610612738,19,22,2023-05-18T00:47:35Z,890000,False,-22.0,78.0,1,right,MISS J. Brown 8' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,8.08,Missed,,,,,,,,,,,,,,,,,,
90,PT04M21.00S,2023-05-18T00:47:26.4Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,19,22,2023-05-18T00:47:35Z,900000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,89.0,1.0,0.0,1.0,,,,,,,,,,,,,,
91,PT04M21.00S,2023-05-18T00:47:30.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627759,94.40999984741211,50.0,1610612738,21,22,2023-05-18T00:47:41Z,910000,False,0.0,0.0,1,right,J. Brown tip Layup (4 PTS),[1627759],1610612738.0,BOS,tip,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,4.0,,,,,,,,,,,
93,PT04M05.00S,2023-05-18T00:47:43.3Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,21,22,2023-05-18T00:47:48Z,930000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 203935]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,Smart,203935.0,,
94,PT04M05.00S,2023-05-18T00:47:43.3Z,1,REGULAR,steal,,[],203935,,,1610612738,21,22,2023-05-18T00:47:45Z,940000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
95,PT04M01.00S,2023-05-18T00:47:50.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627763,89.17542706964521,45.588235294117645,1610612738,21,22,2023-05-18T00:47:58Z,950000,False,-22.0,49.0,1,right,MISS M. Brogdon running Layup - blocked,"[1627763, 200768]",1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,,,,,,,Lowry,200768.0
96,PT04M01.00S,2023-05-18T00:47:50.1Z,1,REGULAR,block,,[],200768,,,1610612738,21,22,2023-05-18T00:48:16Z,960000,False,,,0,,K. Lowry BLOCK (1 BLK),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M00.00S,2023-05-18T00:47:51.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,21,22,2023-05-18T00:47:58Z,970000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,95.0,,,,,,,,,,,,,,,,,
99,PT03M55.00S,2023-05-18T00:48:19.7Z,1,REGULAR,foul,personal,['2freethrow'],203469,,,1610612738,21,22,2023-05-18T00:48:31Z,990000,False,,,0,,C. Zeller shooting personal FOUL (1 PF) (Smart 2 FT),"[203469, 203935]",1610612748.0,MIA,shooting,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,,,,,,,2530.0,,,,,,1.0,0.0,Smart,203935.0,,,,
101,PT03M55.00S,2023-05-18T00:48:46.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203935,,,1610612738,22,22,2023-05-18T00:48:46Z,1010000,False,,,0,,M. Smart Free Throw 1 of 2 (1 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
102,PT03M55.00S,2023-05-18T00:49:02.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203935,,,1610612738,23,22,2023-05-18T00:49:02Z,1020000,False,,,0,,M. Smart Free Throw 2 of 2 (2 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
103,PT03M39.00S,2023-05-18T00:49:20.8Z,1,REGULAR,2pt,Jump Shot,[],202710,19.92444152431012,28.676470588235293,1610612748,23,22,2023-05-18T00:49:29Z,1030000,False,107.0,135.0,1,left,MISS J. Butler 17' pullup bank Shot,[202710],1610612748.0,MIA,pullup bank,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,17.19,Missed,,,,,,,,,,,,,,,,,,
104,PT03M38.00S,2023-05-18T00:49:21.8Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,23,22,2023-05-18T00:49:29Z,1040000,False,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right Center,,,103.0,2.0,1.0,1.0,,,,,,,,,,,,,,
105,PT03M34.00S,2023-05-18T00:49:25.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202710,10.988830486202366,76.7156862745098,1610612748,23,24,2023-05-18T00:50:09Z,1050000,False,-134.0,51.0,1,left,J. Butler 14' pullup Jump Shot (10 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,14.29,Made,,,,,,,10.0,,,,,,,,,,,
106,PT03M24.00S,2023-05-18T00:49:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.27792378449409,44.11764705882353,1610612738,25,24,2023-05-18T00:49:40Z,1060000,False,-29.0,29.0,1,right,J. Brown cutting Layup (6 PTS) (M. Smart 4 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.16,Made,,,,,,,6.0,M. Smart,203935.0,4.0,,,,,,,,
108,PT03M10.00S,2023-05-18T00:49:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,12.434296977660972,63.970588235294116,1610612748,25,24,2023-05-18T00:49:58Z,1080000,False,-70.0,64.0,1,left,MISS J. Butler 9' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Left,9.5,Missed,,,,,,,,,,,,,,,,,,
109,PT03M08.00S,2023-05-18T00:49:51.7Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,25,24,2023-05-18T00:49:58Z,1090000,False,,,0,,C. Zeller REBOUND (Off:1 Def:0),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),8-16 Left,,,108.0,1.0,0.0,1.0,,,,,,,,,,,,,,
110,PT03M01.00S,2023-05-18T00:49:59.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,8.360709592641262,95.58823529411765,1610612748,25,24,2023-05-18T00:50:06Z,1100000,False,-228.0,26.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,22.94,Missed,,,,,,,,,,,,,,,,,,
111,PT03M00.00S,2023-05-18T00:50:00.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,25,24,2023-05-18T00:50:06Z,1110000,False,,,0,,J. Brown REBOUND (Off:1 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,110.0,2.0,1.0,1.0,,,,,,,,,,,,,,
112,PT02M55.00S,2023-05-18T00:50:04.6Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,25,24,2023-05-18T00:50:08Z,1120000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1628997]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,Martin,1628997.0,,
113,PT02M55.00S,2023-05-18T00:50:04.6Z,1,REGULAR,steal,,[],1628997,,,1610612748,25,24,2023-05-18T00:50:06Z,1130000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
114,PT02M51.00S,2023-05-18T00:50:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628997,8.623521681997373,55.88235294117647,1610612748,25,26,2023-05-18T00:50:40Z,1140000,False,-29.0,29.0,1,left,C. Martin driving Layup (5 PTS),[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,4.1,Made,,,,,,,5.0,,,,,,,,,,,
115,PT02M51.00S,2023-05-18T00:50:15.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,25,26,2023-05-18T00:50:15Z,1150000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M51.00S,2023-05-18T00:53:02.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,25,26,2023-05-18T00:53:31Z,1160000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M51.00S,2023-05-18T00:53:02.7Z,1,REGULAR,substitution,out,[],203935,,,1610612738,25,26,2023-05-18T00:53:31Z,1170000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M51.00S,2023-05-18T00:53:02.7Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,25,26,2023-05-18T00:53:31Z,1180000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M51.00S,2023-05-18T00:53:02.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,25,26,2023-05-18T00:53:31Z,1190000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M39.00S,2023-05-18T00:53:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,90.75229960578186,58.82352941176471,1610612738,27,26,2023-05-18T00:54:04Z,1200000,False,44.0,34.0,1,right,J. Tatum driving Layup (7 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,,,,,,,7.0,,,,,,,,,,,
121,PT02M23.00S,2023-05-18T00:54:14.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203469,12.828515111695138,59.068627450980394,1610612748,27,26,2023-05-18T00:54:19Z,1210000,False,-45.0,68.0,1,left,MISS C. Zeller 8' driving Hook,[203469],1610612748.0,MIA,driving,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),8-16 Left,8.18,Missed,,,,,,,,,,,,,,,,,,
122,PT02M20.00S,2023-05-18T00:54:17.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,26,2023-05-18T00:54:19Z,1220000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,121.0,3.0,3.0,0.0,,,,,,,,,,,,,,
123,PT02M10.00S,2023-05-18T00:54:28.2Z,1,REGULAR,3pt,Jump Shot,[],1627763,72.48685939553219,16.176470588235293,1610612738,27,26,2023-05-18T00:54:38Z,1230000,False,-169.0,206.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,26.66,Missed,,,,,,,,,,,,,,,,,,
124,PT02M09.00S,2023-05-18T00:54:29.2Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,27,26,2023-05-18T00:54:38Z,1240000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,123.0,1.0,0.0,1.0,,,,,,,,,,,,,,
125,PT02M04.00S,2023-05-18T00:54:33.7Z,1,REGULAR,turnover,bad pass,[],1627763,,,1610612738,27,26,2023-05-18T00:54:40Z,1250000,False,,,0,,M. Brogdon bad pass TURNOVER (1 TO),"[1627763, 202710]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Center,,,,,,,,1.0,,,,,,,,,Butler,202710.0,,
126,PT02M04.00S,2023-05-18T00:54:33.7Z,1,REGULAR,steal,,[],202710,,,1610612748,27,26,2023-05-18T00:54:36Z,1260000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
127,PT01M42.00S,2023-05-18T00:54:55.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,6.701708278580814,78.94454656862744,1610612748,27,28,2023-05-18T00:55:01Z,1270000,False,-145.0,10.0,1,left,J. Butler 14' pullup Jump Shot (12 PTS),[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,14.51,Made,,,,,,,12.0,,,,,,,,,,,
128,PT01M14.00S,2023-05-18T00:55:24.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,90.27595269382391,87.52297794117648,1610612738,27,28,2023-05-18T00:57:06Z,1280000,False,188.0,39.0,1,right,MISS J. Tatum 19' step back Shot,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,19.16,Missed,,,,,,,,,,,,,,,,,,
129,PT01M12.00S,2023-05-18T00:55:26.6Z,1,REGULAR,rebound,defensive,[],203469,,,1610612748,27,28,2023-05-18T00:55:31Z,1290000,False,,,0,,C. Zeller REBOUND (Off:1 Def:1),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Right Corner 3,24+ Right,,,128.0,2.0,1.0,1.0,,,,,,,,,,,,,,
130,PT01M07.00S,2023-05-18T00:55:34.0Z,1,REGULAR,foul,offensive,[],203469,,,1610612748,27,28,2023-05-18T00:55:49Z,1300000,False,,,0,,C. Zeller offensive FOUL (2 PF),"[203469, 1628369]",1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Mid-Range,16-24 Left Center,,,,,,,1179.0,,,,,,2.0,0.0,Tatum,1628369.0,,,,
132,PT01M07.00S,2023-05-18T00:55:34.0Z,1,REGULAR,turnover,offensive foul,[],203469,,,1610612748,27,28,2023-05-18T00:55:34Z,1320000,False,,,0,,C. Zeller offensive foul TURNOVER (1 TO),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Mid-Range,16-24 Left Center,,,,,,,1179.0,1.0,,,,,,,,,,,,
133,PT01M07.00S,2023-05-18T00:55:48.2Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,27,28,2023-05-18T00:55:52Z,1330000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M07.00S,2023-05-18T00:55:48.2Z,1,REGULAR,substitution,in,[],1629130,,,1610612738,27,28,2023-05-18T00:55:52Z,1340000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M53.80S,2023-05-18T00:56:03.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,66.3107752956636,35.294117647058826,1610612738,30,28,2023-05-18T00:56:34Z,1350000,False,-74.0,264.0,1,right,D. White 27' 3PT  (3 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,27.42,Made,,,,,,,3.0,,,,,,,,,,,
137,PT00M39.70S,2023-05-18T00:56:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,14.931011826544022,50.49019607843137,1610612748,30,28,2023-05-18T00:56:46Z,1370000,False,-2.0,88.0,1,left,MISS J. Butler 8' driving floating Shot,[202710],1610612748.0,MIA,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,8.79,Missed,,,,,,,,,,,,,,,,,,
138,PT00M38.50S,2023-05-18T00:56:41.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,30,28,2023-05-18T00:56:46Z,1380000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,137.0,4.0,4.0,0.0,,,,,,,,,,,,,,
139,PT00M29.90S,2023-05-18T00:56:49.9Z,1,REGULAR,turnover,lost ball,[],1628369,,,1610612738,30,28,2023-05-18T00:56:59Z,1390000,False,,,0,,J. Tatum lost ball TURNOVER (1 TO),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,Butler,202710.0,,
140,PT00M29.90S,2023-05-18T00:56:49.9Z,1,REGULAR,steal,,[],202710,,,1610612748,30,28,2023-05-18T00:57:45Z,1400000,False,,,0,,J. Butler STEAL (2 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
141,PT00M25.40S,2023-05-18T00:56:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,9.674770039421814,56.127450980392155,1610612748,30,28,2023-05-18T00:57:02Z,1410000,False,-31.0,38.0,1,left,MISS C. Martin running Layup,[1628997],1610612748.0,MIA,running,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,4.91,Missed,,,,,,,,,,,,,,,,,,
142,PT00M23.20S,2023-05-18T00:56:56.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,30,28,2023-05-18T00:56:56Z,1420000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,141.0,2.0,1.0,1.0,,,,,,,,,,,,,,
143,PT00M03.90S,2023-05-18T00:57:15.8Z,1,REGULAR,3pt,Jump Shot,[],1630202,92.59198423127464,95.58823529411765,1610612738,30,28,2023-05-18T00:57:20Z,1430000,False,228.0,17.0,1,right,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,22.85,Missed,,,,,,,,,,,,,,,,,,
144,PT00M01.30S,2023-05-18T00:57:18.4Z,1,REGULAR,rebound,defensive,[],203469,,,1610612748,30,28,2023-05-18T00:57:18Z,1440000,False,,,0,,C. Zeller REBOUND (Off:1 Def:2),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Right Corner 3,24+ Right,,,143.0,3.0,2.0,1.0,,,,,,,,,,,,,,
145,PT00M00.00S,2023-05-18T00:57:21.8Z,1,REGULAR,3pt,Jump Shot,[],200768,54.35282522996058,52.94117647058824,1610612748,30,28,2023-05-18T00:57:26Z,1450000,False,-15.0,458.0,1,left,MISS K. Lowry 45' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,45.86,Missed,,,,,,,,,,,,,,,,,,
146,PT00M00.00S,2023-05-18T00:57:21.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,30,28,2023-05-18T00:57:26Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,145.0,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2023-05-18T00:57:25.6Z,1,REGULAR,period,end,[],0,,,1610612748,30,28,2023-05-18T00:57:25Z,1470000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,out,['startperiod'],201143,,,1610612748,30,28,2023-05-18T01:00:34Z,1480000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612748,30,28,2023-05-18T01:00:34Z,1490000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,out,['startperiod'],203469,,,1610612748,30,28,2023-05-18T01:00:34Z,1500000,False,,,0,,SUB out: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612748,30,28,2023-05-18T01:00:34Z,1510000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,in,['startperiod'],1629216,,,1610612748,30,28,2023-05-18T01:00:34Z,1520000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-05-18T01:00:05.8Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612748,30,28,2023-05-18T01:00:34Z,1530000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-05-18T01:00:59.2Z,2,REGULAR,period,start,[],0,,,1610612748,30,28,2023-05-18T01:00:59Z,1540000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT11M44.00S,2023-05-18T01:01:14.2Z,2,REGULAR,2pt,Jump Shot,[],200768,24.78646517739816,61.76470588235294,1610612748,30,30,2023-05-18T01:01:18Z,1550000,False,-59.0,180.0,1,left,K. Lowry 18' step back Jump Shot (2 PTS),[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Left Center,18.98,Made,,,,,,,2.0,,,,,,,,,,,
156,PT11M24.00S,2023-05-18T01:01:35.9Z,2,REGULAR,foul,personal,['2freethrow'],1629216,,,1610612738,30,30,2023-05-18T01:02:04Z,1560000,False,,,0,,G. Vincent shooting personal FOUL (1 PF) (Brogdon 2 FT),"[1629216, 1627763]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1179.0,,,,,,1.0,0.0,Brogdon,1627763.0,,,,
158,PT11M24.00S,2023-05-18T01:02:05.4Z,2,REGULAR,freethrow,1 of 2,[],1627763,,,1610612738,31,30,2023-05-18T01:02:05Z,1580000,False,,,0,,M. Brogdon Free Throw 1 of 2 (7 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
159,PT11M24.00S,2023-05-18T01:02:21.0Z,2,REGULAR,freethrow,2 of 2,[],1627763,,,1610612738,32,30,2023-05-18T01:02:21Z,1590000,False,,,0,,M. Brogdon Free Throw 2 of 2 (8 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
160,PT11M14.00S,2023-05-18T01:02:36.6Z,2,REGULAR,foul,personal,[],1628369,,,1610612748,32,30,2023-05-18T01:02:43Z,1600000,False,,,0,,J. Tatum personal FOUL (2 PF),"[1628369, 1628389]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,,,,,,,1179.0,,,,,,2.0,0.0,Adebayo,1628389.0,,,,
162,PT11M06.00S,2023-05-18T01:02:57.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,20.18725361366623,39.21568627450981,1610612748,32,32,2023-05-18T01:03:16Z,1620000,False,54.0,137.0,1,left,B. Adebayo 14' pullup Jump Shot (8 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,14.75,Made,,,,,,,8.0,,,,,,,,,,,
163,PT10M52.00S,2023-05-18T01:03:11.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.04402102496715,52.20588235294118,1610612738,34,32,2023-05-18T01:03:16Z,1630000,False,11.0,50.0,1,right,J. Tatum driving finger roll Layup (9 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,,,,,,,9.0,,,,,,,,,,,
164,PT10M44.00S,2023-05-18T01:03:19.3Z,2,REGULAR,3pt,Jump Shot,[],200768,28.203022339027594,82.84313725490196,1610612748,34,35,2023-05-18T01:03:23Z,1640000,False,-164.0,213.0,1,left,K. Lowry 26' 3PT  (5 PTS) (C. Martin 1 AST),"[200768, 1628997]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,26.86,Made,,,,,,,5.0,C. Martin,1628997.0,1.0,,,,,,,,
166,PT10M32.00S,2023-05-18T01:03:30.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,84.57621550591328,58.333333333333336,1610612738,34,35,2023-05-18T01:03:34Z,1660000,False,42.0,92.0,1,right,MISS M. Brogdon 10' driving floating Shot,[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,10.15,Missed,,,,,,,,,,,,,,,,,,
