actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
560,PT03M52.00S,2023-05-24T02:43:34.4Z,4,REGULAR,foul,personal,['1freethrow'],1629622,,,1610612738,89,104,2023-05-24T02:43:42Z,5520000,False,,,0,,M. Strus shooting personal FOUL (1 PF) (Brown 1 FT),"[1629622, 1627759]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2004.0,1.0,0.0,Brown,1627759.0,,,,,
562,PT03M52.00S,2023-05-24T02:43:57.9Z,4,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1627759,,,1610612738,89,105,2023-05-24T02:43:57Z,5540000,False,,,0,,J. Brown Free Throw 1 of 1 (16 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
563,PT03M42.00S,2023-05-24T02:44:10.3Z,4,REGULAR,3pt,Jump Shot,[],1629622,33.98488830486202,51.9607843137255,1610612748,89,105,2023-05-24T02:47:09Z,5550000,False,-10.0,267.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
564,PT03M40.00S,2023-05-24T02:44:12.3Z,4,REGULAR,rebound,defensive,[],203935,,,1610612738,89,105,2023-05-24T02:44:16Z,5560000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,563.0,2.0,2.0,0.0,,,,,,,,,,,,,,
565,PT03M40.00S,2023-05-24T02:44:24.0Z,4,REGULAR,timeout,full,['team'],0,,,1610612738,89,105,2023-05-24T02:44:24Z,5570000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,PT03M40.00S,2023-05-24T02:44:48.2Z,4,REGULAR,substitution,out,[],1629216,,,1610612738,89,105,2023-05-24T02:45:40Z,5580000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
567,PT03M40.00S,2023-05-24T02:44:48.2Z,4,REGULAR,substitution,in,[],200768,,,1610612738,89,105,2023-05-24T02:45:40Z,5590000,False,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
568,PT03M26.00S,2023-05-24T02:46:04.6Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,87.07293035479631,51.9607843137255,1610612738,89,107,2023-05-24T02:46:09Z,5600000,False,10.0,69.0,1,right,J. Tatum 6' fadeaway Jump Shot (29 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,6.97,Made,,,,,29.0,,,,,,,,,,,,,
569,PT03M11.00S,2023-05-24T02:46:23.5Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629057,,,1610612748,89,107,2023-05-24T02:46:29Z,5610000,False,,,0,,R. Williams III shooting personal FOUL (4 PF) (Butler 2 FT),"[1629057, 202710]",1610612738.0,BOS,shooting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1162.0,4.0,0.0,Butler,202710.0,,,,,
571,PT03M11.00S,2023-05-24T02:46:50.5Z,4,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,90,107,2023-05-24T02:46:50Z,5630000,False,,,0,,J. Butler Free Throw 1 of 2 (26 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,26.0,,,,,,,,,,,,,
572,PT03M11.00S,2023-05-24T02:47:06.8Z,4,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,91,107,2023-05-24T02:47:06Z,5640000,False,,,0,,J. Butler Free Throw 2 of 2 (27 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,27.0,,,,,,,,,,,,,
573,PT02M58.00S,2023-05-24T02:47:21.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.9060446780552,48.03921568627451,1610612738,91,109,2023-05-24T02:47:31Z,5650000,False,-10.0,5.0,1,right,J. Tatum cutting finger roll Layup (31 PTS) (M. Smart 6 AST),"[1628369, 203935]",1610612738.0,BOS,cutting finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,31.0,M. Smart,203935.0,6.0,,,,,,,,,,
575,PT02M39.00S,2023-05-24T02:47:41.2Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,6.521024967148489,48.28431372549019,1610612748,93,109,2023-05-24T02:47:46Z,5670000,False,9.0,9.0,1,left,M. Strus driving Layup (9 PTS) (K. Lowry 6 AST),"[1629622, 200768]",1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,9.0,K. Lowry,200768.0,6.0,,,,,,,,,,
576,PT02M15.00S,2023-05-24T02:48:04.3Z,4,REGULAR,2pt,Jump Shot,[],1627759,87.59855453350855,69.11764705882352,1610612738,93,109,2023-05-24T02:48:10Z,5680000,False,96.0,64.0,1,right,MISS J. Brown 11' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,11.51,Missed,,,,,,,,,,,,,,,,,,
577,PT02M13.00S,2023-05-24T02:48:06.3Z,4,REGULAR,rebound,defensive,[],1628389,,,1610612748,93,109,2023-05-24T02:48:10Z,5690000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:4),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,576.0,5.0,4.0,1.0,,,,,,,,,,,,,,
578,PT02M07.00S,2023-05-24T02:48:11.8Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",202710,6.652431011826544,50.0,1610612748,95,109,2023-05-24T02:49:14Z,5700000,False,0.0,10.0,1,left,J. Butler running DUNK (29 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,29.0,,,,,,,,,,,,,
579,PT01M41.00S,2023-05-24T02:48:37.5Z,4,REGULAR,3pt,Jump Shot,[],1628369,74.03088042049934,17.40196078431373,1610612738,95,109,2023-05-24T03:05:47Z,5710000,False,-163.0,192.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.16,Missed,,,,,,,,,,,,,,,,,,
580,PT01M41.00S,2023-05-24T02:48:37.5Z,4,REGULAR,rebound,offensive,[],203935,,,1610612738,95,109,2023-05-24T02:48:45Z,5720000,False,,,0,,M. Smart REBOUND (Off:1 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,579.0,3.0,2.0,1.0,,,,,,,,,,,,,,
581,PT01M41.00S,2023-05-24T02:48:47.7Z,4,REGULAR,foul,personal,[],200768,,,1610612738,95,109,2023-05-24T02:48:55Z,5730000,False,,,0,,K. Lowry personal FOUL (3 PF),"[200768, 203935]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,2004.0,3.0,0.0,Smart,203935.0,,,,,
583,PT01M41.00S,2023-05-24T02:48:53.5Z,4,REGULAR,substitution,out,[],202710,,,1610612738,95,109,2023-05-24T02:49:11Z,5750000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
584,PT01M41.00S,2023-05-24T02:48:53.5Z,4,REGULAR,substitution,out,[],1629622,,,1610612738,95,109,2023-05-24T02:49:11Z,5760000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
585,PT01M41.00S,2023-05-24T02:48:53.5Z,4,REGULAR,substitution,in,[],1629312,,,1610612738,95,109,2023-05-24T02:49:11Z,5770000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
586,PT01M41.00S,2023-05-24T02:48:53.5Z,4,REGULAR,substitution,in,[],1629130,,,1610612738,95,109,2023-05-24T02:49:11Z,5780000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
588,PT01M32.00S,2023-05-24T02:49:26.3Z,4,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,95.26938239159001,10.56219362745098,1610612738,95,111,2023-05-24T02:57:23Z,5800000,False,-197.0,-8.0,1,right,J. Tatum 19' fadeaway Jump Shot (33 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,19.74,Made,,,,,33.0,,,,,,,,,,,,,
589,PT01M20.00S,2023-05-24T02:49:40.3Z,4,REGULAR,3pt,Jump Shot,[],200768,29.25427069645204,27.205882352941174,1610612748,95,111,2023-05-24T02:49:45Z,5810000,False,114.0,222.0,1,left,MISS K. Lowry 25' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,25.0,Missed,,,,,,,,,,,,,,,,,,
590,PT01M20.00S,2023-05-24T02:49:40.3Z,4,REGULAR,rebound,defensive,[],1627759,,,1610612738,95,111,2023-05-24T02:49:45Z,5820000,False,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,589.0,4.0,4.0,0.0,,,,,,,,,,,,,,
592,PT01M06.00S,2023-05-24T02:49:58.6Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",200768,,,1610612738,95,111,2023-05-24T02:50:22Z,5830000,False,,,0,,K. Lowry shooting personal FOUL (4 PF) (Brown 2 FT),"[200768, 1627759]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101284.0,4.0,0.0,Brown,1627759.0,,,,,
594,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],200768,,,1610612738,95,111,2023-05-24T02:50:43Z,5850000,False,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
595,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],1628389,,,1610612738,95,111,2023-05-24T02:50:43Z,5860000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
596,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],1628369,,,1610612738,95,111,2023-05-24T02:50:43Z,5870000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
597,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],1629684,,,1610612738,95,111,2023-05-24T02:50:43Z,5880000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
598,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],203935,,,1610612738,95,111,2023-05-24T02:50:43Z,5890000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
599,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,out,[],1629057,,,1610612738,95,111,2023-05-24T02:50:43Z,5900000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
600,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],1631107,,,1610612738,95,111,2023-05-24T02:50:43Z,5910000,False,,,0,,SUB in: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],1630209,,,1610612738,95,111,2023-05-24T02:50:43Z,5920000,False,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,,
602,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],1628436,,,1610612738,95,111,2023-05-24T02:50:43Z,5930000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
603,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],1630202,,,1610612738,95,111,2023-05-24T02:50:43Z,5940000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
604,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],1630573,,,1610612738,95,111,2023-05-24T02:50:43Z,5950000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
605,PT01M06.00S,2023-05-24T02:50:25.1Z,4,REGULAR,substitution,in,[],203488,,,1610612738,95,111,2023-05-24T02:50:43Z,5960000,False,,,0,,SUB in: M. Muscala,[203488],1610612738.0,BOS,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
606,PT01M06.00S,2023-05-24T02:50:51.3Z,4,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,95,112,2023-05-24T02:57:42Z,5970000,False,,,0,,J. Brown Free Throw 1 of 2 (17 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,17.0,,,,,,,,,,,,,
608,PT01M06.00S,2023-05-24T02:50:51.3Z,4,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,95,112,2023-05-24T02:51:10Z,5990000,False,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
609,PT01M01.00S,2023-05-24T02:50:56.3Z,4,REGULAR,rebound,defensive,[],1631107,,,1610612748,95,112,2023-05-24T02:51:10Z,6000000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,608.0,1.0,1.0,0.0,,,,,,,,,,,,,,
610,PT01M01.00S,2023-05-24T02:51:12.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612748,95,112,2023-05-24T03:04:11Z,6010000,False,,,0,,J. Brown take personal FOUL (5 PF) (Martin 2 FT),"[1627759, 1628997]",1610612738.0,BOS,take,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1162.0,5.0,0.0,Martin,1628997.0,,,,,
612,PT01M01.00S,2023-05-24T02:51:27.9Z,4,REGULAR,freethrow,1 of 2,[],1628997,,,1610612748,96,112,2023-05-24T03:04:11Z,6026250,False,,,0,,C. Martin Free Throw 1 of 2 (15 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,Made,,,,,15.0,,,,,,,,,,,,,
635,PT01M01.00S,2023-05-24T02:52:11.6Z,4,REGULAR,substitution,out,[],1627759,,,1610612748,96,112,2023-05-24T03:04:30Z,6027812,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
636,PT01M01.00S,2023-05-24T02:52:11.6Z,4,REGULAR,substitution,in,[],1630551,,,1610612748,96,112,2023-05-24T03:04:30Z,6028593,False,,,0,,SUB in: J. Champagnie,[1630551],1610612738.0,BOS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
615,PT01M01.00S,2023-05-24T02:51:27.9Z,4,REGULAR,freethrow,2 of 2,[],1628997,,,1610612748,97,112,2023-05-24T03:04:11Z,6029375,False,,,0,,C. Martin Free Throw 2 of 2 (16 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,Made,,,,,16.0,,,,,,,,,,,,,
620,PT01M00.00S,2023-05-24T02:52:23.4Z,4,REGULAR,freethrow,1 of 2,[],1630202,,,1610612738,97,113,2023-05-24T03:05:33Z,6034062,False,,,0,,P. Pritchard Free Throw 1 of 2 (1 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
633,PT01M00.00S,2023-05-24T02:52:24.6Z,4,REGULAR,substitution,out,[],1628997,,,1610612738,97,113,2023-05-24T03:03:43Z,6034140,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
634,PT01M00.00S,2023-05-24T02:52:24.6Z,4,REGULAR,substitution,in,[],203469,,,1610612738,97,113,2023-05-24T03:03:43Z,6034179,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
621,PT01M00.00S,2023-05-24T02:52:23.4Z,4,REGULAR,freethrow,2 of 2,[],1630202,,,1610612738,97,114,2023-05-24T03:05:33Z,6034218,False,,,0,,P. Pritchard Free Throw 2 of 2 (2 PTS),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
616,PT01M00.00S,2023-05-24T02:52:51.8Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629130,,,1610612748,97,114,2023-05-24T03:06:09Z,6034375,False,,,0,,D. Robinson take personal FOUL (1 PF) (Pritchard 2 FT),"[1629130, 1630202]",1610612748.0,MIA,take,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101284.0,1.0,0.0,Pritchard,1630202.0,,,,,
622,PT00M46.00S,2023-05-24T02:53:22.9Z,4,REGULAR,3pt,Jump Shot,[],1629130,19.530223390275953,94.11764705882352,1610612748,97,114,2023-05-24T03:06:35Z,6130000,False,-221.0,131.0,1,left,MISS D. Robinson 25' step back 3PT,[1629130],1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
623,PT00M42.60S,2023-05-24T02:53:26.3Z,4,REGULAR,rebound,offensive,[],1630209,,,1610612748,97,114,2023-05-24T02:53:31Z,6140000,False,,,0,,O. Yurtseven REBOUND (Off:1 Def:0),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,Above the Break 3,24+ Left Center,,,622.0,1.0,0.0,1.0,,,,,,,,,,,,,,
624,PT00M39.10S,2023-05-24T02:53:29.8Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1631107,29.122864651773984,8.823529411764707,1610612748,97,114,2023-05-24T02:53:34Z,6150000,False,206.0,221.0,1,left,MISS N. Jovic 30' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,30.23,Missed,,,,,,,,,,,,,,,,,,
625,PT00M39.10S,2023-05-24T02:53:29.8Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612748,97,114,2023-05-24T02:53:34Z,6160000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Right Center,,,624.0,,,,,,,,,,,,,,,,,
627,PT00M34.50S,2023-05-24T02:53:51.7Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629130,6.915243101182654,55.63725490196079,1610612748,99,114,2023-05-24T02:53:56Z,6180000,False,-28.0,13.0,1,left,D. Robinson driving Layup (2 PTS),[1629130],1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,3.08,Made,,,,,2.0,,,,,,,,,,,,,
628,PT00M16.70S,2023-05-24T02:54:12.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.11760840998686,52.20588235294118,1610612738,99,116,2023-05-24T03:07:56Z,6190000,False,11.0,12.0,1,right,P. Pritchard driving finger roll Layup (4 PTS),[1630202],1610612738.0,BOS,driving finger roll,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,4.0,,,,,,,,,,,,,
629,PT00M00.00S,2023-05-24T02:54:36.6Z,4,REGULAR,period,end,[],0,,,1610612748,99,116,2023-05-24T02:54:36Z,6200000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,PT00M00.00S,2023-05-24T03:08:21.7Z,4,REGULAR,game,end,[],0,,,0,99,116,2023-05-24T03:08:21Z,6210000,False,,,0,,Game End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
