actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
434,PT01M33.00S,2023-05-24T02:15:02.2Z,3,REGULAR,2pt,Jump Shot,[],1628369,85.62746386333771,87.25490196078431,1610612738,77,83,2023-05-24T02:15:08Z,4260000,False,186.0,83.0,1,right,J. Tatum 20' Jump Shot (20 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right,20.38,Made,,,,,20.0,,,,,,,,,,,,,
435,PT01M19.00S,2023-05-24T02:15:26.1Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],200768,6.915243101182654,42.8921568627451,1610612748,77,83,2023-05-24T02:15:31Z,4270000,False,36.0,13.0,1,left,MISS K. Lowry driving Layup,[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
436,PT01M16.00S,2023-05-24T02:15:29.1Z,3,REGULAR,rebound,defensive,[],1629684,,,1610612738,77,83,2023-05-24T02:18:41Z,4280000,False,,,0,,G. Williams REBOUND (Off:2 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,435.0,3.0,1.0,2.0,,,,,,,,,,,,,,
437,PT01M13.00S,2023-05-24T02:15:32.9Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,93.9060446780552,48.03921568627451,1610612738,77,85,2023-05-24T02:20:26Z,4290000,False,-10.0,5.0,1,right,J. Tatum running Layup (22 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,22.0,,,,,,,,,,,,,
438,PT00M52.30S,2023-05-24T02:15:54.4Z,3,REGULAR,turnover,bad pass,[],1628997,,,1610612748,77,85,2023-05-24T02:15:59Z,4300000,False,,,0,,C. Martin bad pass TURNOVER (2 TO),"[1628997, 1628369]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,2.0,,,Tatum,1628369.0
439,PT00M52.30S,2023-05-24T02:15:54.4Z,3,REGULAR,steal,,[],1628369,,,1610612738,77,85,2023-05-24T02:15:56Z,4310000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
440,PT00M42.90S,2023-05-24T02:16:04.6Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,67.09921156373193,46.07843137254902,1610612738,77,88,2023-05-24T02:16:09Z,4320000,False,-20.0,257.0,1,right,G. Williams 25' 3PT  (14 PTS) (J. Tatum 5 AST),"[1629684, 1628369]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,25.75,Made,,,,,14.0,J. Tatum,1628369.0,5.0,,,,,,,,,,
442,PT00M29.50S,2023-05-24T02:16:25.5Z,3,REGULAR,turnover,double dribble,[],200768,,,1610612748,77,88,2023-05-24T02:16:36Z,4340000,False,,,0,,K. Lowry double dribble TURNOVER (2 TO),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1162.0,,,,,2.0,,,,
443,PT00M08.60S,2023-05-24T02:16:56.5Z,3,REGULAR,2pt,Jump Shot,['fromturnover'],1628369,80.1084099868594,16.666666666666664,1610612738,77,88,2023-05-24T02:22:12Z,4350000,False,-167.0,134.0,1,right,MISS J. Tatum 21' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,21.42,Missed,,,,,,,,,,,,,,,,,,
444,PT00M06.50S,2023-05-24T02:16:58.6Z,3,REGULAR,rebound,defensive,[],203469,,,1610612748,77,88,2023-05-24T02:16:58Z,4360000,False,,,0,,C. Zeller REBOUND (Off:1 Def:2),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Mid-Range,16-24 Left Center,,,443.0,3.0,2.0,1.0,,,,,,,,,,,,,,
445,PT00M02.60S,2023-05-24T02:17:03.2Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202710,6.521024967148489,48.77450980392157,1610612748,79,88,2023-05-24T02:23:05Z,4370000,False,6.0,9.0,1,left,J. Butler running DUNK (24 PTS) (C. Martin 1 AST),"[202710, 1628997]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,24.0,C. Martin,1628997.0,1.0,,,,,,,,,,
447,PT00M01.20S,2023-05-24T02:17:12.9Z,3,REGULAR,3pt,Jump Shot,[],1629057,54.48423127463863,51.71568627450981,1610612738,79,88,2023-05-24T02:19:29Z,4390000,False,9.0,375.0,1,right,MISS R. Williams III 37' pullup 3PT,[1629057],1610612738.0,BOS,pullup,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Center,37.54,Missed,,,,,,,,,,,,,,,,,,
448,PT00M01.00S,2023-05-24T02:17:13.1Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612738,79,88,2023-05-24T02:17:26Z,4400000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,447.0,,,,,,,,,,,,,,,,,
449,PT00M00.00S,2023-05-24T02:17:19.7Z,3,REGULAR,period,end,[],0,,,1610612738,79,88,2023-05-24T02:17:19Z,4410000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
