actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
527,PT05M12.00S,2023-04-19T00:55:48.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,92.9862023653088,53.18627450980392,1610612737,107,95,2023-04-19T00:55:54Z,5190000,False,16.0,13.0,1,right,MISS T. Young driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
528,PT05M11.00S,2023-04-19T00:55:49.1Z,4,REGULAR,rebound,defensive,[],201143,,,1610612738,107,95,2023-04-19T00:55:54Z,5200000,False,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,527.0,4.0,4.0,0.0,,,,,,,,,,
529,PT05M04.00S,2023-04-19T00:55:55.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,12.434296977660972,40.931372549019606,1610612738,109,95,2023-04-19T00:56:07Z,5210000,False,45.0,64.0,1,left,D. White 7' running Layup (24 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.87,Made,24.0,,,,,,,,,,,,,,,,,
530,PT04M45.00S,2023-04-19T00:56:14.7Z,4,REGULAR,2pt,Jump Shot,[],1629631,76.69185282522996,45.34313725490196,1610612737,109,97,2023-04-19T00:56:18Z,5220000,False,-23.0,167.0,1,right,D. Hunter 16' Jump Shot (14 PTS) (D. Murray 5 AST),"[1629631, 1627749]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,16.82,Made,14.0,D. Murray,1627749.0,5.0,,,,,,,,,,,,,,
532,PT04M25.00S,2023-04-19T00:56:36.5Z,4,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612738,109,97,2023-04-19T00:56:46Z,5240000,False,,,0,,D. Hunter shooting personal FOUL (3 PF) (White 2 FT),"[1629631, 1628401]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202026.0,3.0,0.0,White,1628401.0,,,
534,PT04M25.00S,2023-04-19T00:57:10.3Z,4,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,110,97,2023-04-19T00:57:10Z,5260000,False,,,0,,D. White Free Throw 1 of 2 (25 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,25.0,,,,,,,,,,,,,,,,,
535,PT04M25.00S,2023-04-19T00:57:19.6Z,4,REGULAR,substitution,out,[],1627763,,,1610612738,110,97,2023-04-19T00:57:22Z,5270000,False,,,0,,SUB out: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
536,PT04M25.00S,2023-04-19T00:57:19.6Z,4,REGULAR,substitution,in,[],1627759,,,1610612738,110,97,2023-04-19T00:57:22Z,5280000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
537,PT04M25.00S,2023-04-19T00:57:36.5Z,4,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,111,97,2023-04-19T00:57:36Z,5290000,False,,,0,,D. White Free Throw 2 of 2 (26 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,26.0,,,,,,,,,,,,,,,,,
538,PT04M17.00S,2023-04-19T00:57:49.0Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,81.553876478318,36.27450980392157,1610612737,111,97,2023-04-19T00:58:06Z,5300000,False,-69.0,121.0,1,right,MISS D. Murray 13' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.9,Missed,,,,,,,,,,,,,,,,,,
539,PT04M15.00S,2023-04-19T00:57:51.0Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,111,97,2023-04-19T00:57:53Z,5310000,False,,,0,,J. Tatum REBOUND (Off:0 Def:9),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,538.0,9.0,9.0,0.0,,,,,,,,,,
540,PT03M51.00S,2023-04-19T00:58:14.9Z,4,REGULAR,3pt,Jump Shot,[],201143,9.674770039421814,97.54901960784314,1610612738,114,97,2023-04-19T00:58:19Z,5320000,False,-238.0,38.0,1,left,A. Horford 24' 3PT  (8 PTS) (J. Tatum 5 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,24.08,Made,8.0,J. Tatum,1628369.0,5.0,,,,,,,,,,,,,,
542,PT03M51.00S,2023-04-19T00:58:24.9Z,4,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,114,97,2023-04-19T00:58:24Z,5340000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,PT03M51.00S,2023-04-19T01:01:12.9Z,4,REGULAR,substitution,out,[],1629631,,,1610612737,114,97,2023-04-19T01:01:33Z,5350000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
544,PT03M51.00S,2023-04-19T01:01:12.9Z,4,REGULAR,substitution,out,[],1630168,,,1610612737,114,97,2023-04-19T01:01:33Z,5360000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
545,PT03M51.00S,2023-04-19T01:01:12.9Z,4,REGULAR,substitution,in,[],203991,,,1610612737,114,97,2023-04-19T01:01:33Z,5370000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
546,PT03M51.00S,2023-04-19T01:01:12.9Z,4,REGULAR,substitution,in,[],1628381,,,1610612737,114,97,2023-04-19T01:01:33Z,5380000,False,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
547,PT03M30.00S,2023-04-19T01:02:20.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203991,91.67214191852825,46.81372549019608,1610612737,114,97,2023-04-19T01:02:27Z,5390000,False,-16.0,26.0,1,right,MISS C. Capela Layup,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
548,PT03M27.00S,2023-04-19T01:02:22.8Z,4,REGULAR,rebound,defensive,[],1628401,,,1610612738,114,97,2023-04-19T01:02:22Z,5400000,False,,,0,,D. White REBOUND (Off:0 Def:5),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,547.0,5.0,5.0,0.0,,,,,,,,,,
549,PT03M10.00S,2023-04-19T01:02:38.9Z,4,REGULAR,3pt,Jump Shot,[],203935,7.835085413929041,97.54901960784314,1610612738,117,97,2023-04-19T01:02:43Z,5410000,False,-238.0,21.0,1,left,M. Smart 3PT  (14 PTS) (J. Tatum 6 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,23.86,Made,14.0,J. Tatum,1628369.0,6.0,,,,,,,,,,,,,,
551,PT03M00.00S,2023-04-19T01:02:50.2Z,4,REGULAR,3pt,Jump Shot,[],1628381,84.83902759526939,97.30392156862744,1610612737,117,97,2023-04-19T01:02:57Z,5430000,False,237.0,90.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right,25.3,Missed,,,,,,,,,,,,,,,,,,
552,PT02M59.00S,2023-04-19T01:02:51.2Z,4,REGULAR,rebound,defensive,[],1628369,,,1610612738,117,97,2023-04-19T01:02:57Z,5440000,False,,,0,,J. Tatum REBOUND (Off:0 Def:10),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right,,,,,,,551.0,10.0,10.0,0.0,,,,,,,,,,
553,PT02M43.00S,2023-04-19T01:03:06.7Z,4,REGULAR,3pt,Jump Shot,[],1628401,31.750985545335087,22.794117647058822,1610612738,117,97,2023-04-19T01:03:31Z,5450000,False,136.0,246.0,1,left,MISS D. White 28' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,28.11,Missed,,,,,,,,,,,,,,,,,,
