actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
85,PT04M15.00S,2023-05-20T00:47:37.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,89.43823915900131,57.59803921568627,1610612738,14,20,2023-05-20T00:50:57Z,810000,False,38.0,47.0,1,right,MISS J. Brown 6' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,,,,,,,
86,PT04M15.00S,2023-05-20T00:47:37.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,14,20,2023-05-20T00:47:44Z,820000,False,,,0,,K. Love REBOUND (Off:1 Def:3),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,,,,85.0,4.0,3.0,1.0,,,,,,,,,,,,,
87,PT03M56.00S,2023-05-20T00:47:57.3Z,1,REGULAR,2pt,Jump Shot,[],202710,15.982260183968464,21.813725490196077,1610612748,14,20,2023-05-20T00:48:05Z,830000,False,141.0,98.0,1,left,MISS J. Butler 17' step back Shot,[202710],1610612748.0,MIA,step back,,,Butler,J. Butler,,,,,Mid-Range,16-24 Right,17.15,Missed,,,,,,,,,,,,,,,,,,
88,PT03M54.00S,2023-05-20T00:47:59.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,14,20,2023-05-20T00:48:05Z,840000,False,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right,,,,87.0,3.0,3.0,0.0,,,,,,,,,,,,,
89,PT03M47.00S,2023-05-20T00:48:05.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,87.20433639947439,4.6568627450980395,1610612738,14,20,2023-05-20T00:50:38Z,850000,False,-227.0,68.0,1,right,MISS J. Brown running 3PT,[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
90,PT03M45.00S,2023-05-20T00:48:07.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,14,20,2023-05-20T00:48:12Z,860000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:5),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,,89.0,5.0,5.0,0.0,,,,,,,,,,,,,
91,PT03M36.00S,2023-05-20T00:48:22.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,14,20,2023-05-20T00:48:22Z,870000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612748,14,20,2023-05-20T00:51:32Z,880000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],203935,,,1610612748,14,20,2023-05-20T00:51:32Z,890000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],201143,,,1610612748,14,20,2023-05-20T00:51:32Z,900000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],201567,,,1610612748,14,20,2023-05-20T00:51:32Z,910000,False,,,0,,SUB out: K. Love,[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],1629216,,,1610612748,14,20,2023-05-20T00:51:32Z,920000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,14,20,2023-05-20T00:51:32Z,930000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612748,14,20,2023-05-20T00:51:32Z,940000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],1627763,,,1610612748,14,20,2023-05-20T00:51:32Z,950000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612748,14,20,2023-05-20T00:51:32Z,960000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],200768,,,1610612748,14,20,2023-05-20T00:51:32Z,970000,False,,,0,,SUB in: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],1628997,,,1610612748,14,20,2023-05-20T00:51:32Z,980000,False,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M36.00S,2023-05-20T00:51:07.3Z,1,REGULAR,substitution,in,[],203469,,,1610612748,14,20,2023-05-20T00:51:32Z,990000,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M24.00S,2023-05-20T00:52:11.1Z,1,REGULAR,3pt,Jump Shot,[],1628997,11.251642575558476,96.56862745098039,1610612748,14,20,2023-05-20T00:52:15Z,1000000,False,-233.0,53.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,23.88,Missed,,,,,,,,,,,,,,,,,,
106,PT03M22.00S,2023-05-20T00:52:13.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,14,20,2023-05-20T00:52:15Z,1010000,False,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Left Corner 3,24+ Left,,,,105.0,2.0,2.0,0.0,,,,,,,,,,,,,
107,PT03M10.00S,2023-05-20T00:52:25.5Z,1,REGULAR,3pt,Jump Shot,[],1627763,66.17936925098554,41.911764705882355,1610612738,14,20,2023-05-20T00:52:31Z,1020000,False,-40.0,265.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,26.85,Missed,,,,,,,,,,,,,,,,,,
108,PT03M09.00S,2023-05-20T00:52:26.5Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,14,20,2023-05-20T00:52:31Z,1030000,False,,,0,,J. Butler REBOUND (Off:2 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,107.0,5.0,3.0,2.0,,,,,,,,,,,,,
109,PT02M48.00S,2023-05-20T00:52:46.8Z,1,REGULAR,2pt,Jump Shot,[],1628997,12.697109067017081,19.607843137254903,1610612748,14,22,2023-05-20T00:52:51Z,1040000,False,152.0,67.0,1,left,C. Martin 16' pullup Jump Shot (2 PTS),[1628997],1610612748.0,MIA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right,16.61,Made,2.0,,,,,,,,,,,,,,,,,
110,PT02M34.00S,2023-05-20T00:53:02.0Z,1,REGULAR,turnover,bad pass,[],1628369,,,1610612738,14,22,2023-05-20T00:53:06Z,1050000,False,,,0,,J. Tatum bad pass TURNOVER (2 TO),"[1628369, 202710]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2.0,Butler,202710.0,,
111,PT02M34.00S,2023-05-20T00:53:02.0Z,1,REGULAR,steal,,[],202710,,,1610612748,14,22,2023-05-20T00:53:03Z,1060000,False,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
112,PT02M15.00S,2023-05-20T00:53:25.8Z,1,REGULAR,turnover,3-second-violation,[],203469,,,1610612748,14,22,2023-05-20T00:53:46Z,1070000,False,,,0,,C. Zeller 3-second-violation TURNOVER (1 TO),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,,,,
113,PT01M56.00S,2023-05-20T00:53:53.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,67.7562417871222,68.38235294117648,1610612738,14,22,2023-05-20T00:54:19Z,1080000,False,92.0,251.0,1,right,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
114,PT01M54.00S,2023-05-20T00:53:56.1Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,14,22,2023-05-20T00:53:56Z,1090000,False,,,0,,R. Williams III REBOUND (Off:1 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,113.0,3.0,2.0,1.0,,,,,,,,,,,,,
115,PT01M50.00S,2023-05-20T00:53:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628369,92.9862023653088,46.32352941176471,1610612738,16,22,2023-05-20T00:54:57Z,1100000,False,-18.0,13.0,1,right,J. Tatum cutting Layup (7 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.28,Made,7.0,,,,,,,,,,R. Williams III,1629057.0,1.0,,,,,
117,PT01M25.00S,2023-05-20T00:54:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,8.14717477003942,56.395526960784316,1610612748,16,22,2023-05-20T00:54:28Z,1120000,False,-32.0,24.0,1,left,MISS J. Butler driving Layup - blocked,"[202710, 1628401]",1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,4.01,Missed,,,,,,,,,,,,,,,,,White,1628401.0
118,PT01M25.00S,2023-05-20T00:54:23.8Z,1,REGULAR,block,,[],1628401,,,1610612748,16,22,2023-05-20T00:54:25Z,1130000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
119,PT01M24.00S,2023-05-20T00:54:24.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,16,22,2023-05-20T00:54:28Z,1140000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,
120,PT01M20.00S,2023-05-20T00:54:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628369,93.9060446780552,47.794117647058826,1610612738,16,22,2023-05-20T00:54:36Z,1150000,False,-11.0,5.0,1,right,MISS J. Tatum running Layup - blocked,"[1628369, 203469]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.2,Missed,,,,,,,,,,,,,,,,,Zeller,203469.0
151,PT01M20.00S,2023-05-20T00:54:29.9Z,1,REGULAR,block,,[],203469,,,1610612738,16,22,2023-05-20T00:59:56Z,1155000,False,,,0,,C. Zeller BLOCK (1 BLK),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
121,PT01M19.00S,2023-05-20T00:54:30.9Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,16,22,2023-05-20T00:54:36Z,1160000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,120.0,1.0,0.0,1.0,,,,,,,,,,,,,
122,PT01M19.00S,2023-05-20T00:54:32.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1629684,94.40999984741211,50.0,1610612738,18,22,2023-05-20T00:54:40Z,1170000,False,0.0,0.0,1,right,G. Williams tip Layup (2 PTS),[1629684],1610612738.0,BOS,tip,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
123,PT01M05.00S,2023-05-20T00:54:43.7Z,1,REGULAR,2pt,Jump Shot,[],200768,20.71287779237845,42.15686274509804,1610612748,18,22,2023-05-20T00:57:16Z,1180000,False,39.0,142.0,1,left,MISS K. Lowry 14' step back Shot - blocked,"[200768, 1627763]",1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Center,14.75,Missed,,,,,,,,,,,,,,,,,Brogdon,1627763.0
124,PT01M05.00S,2023-05-20T00:54:43.7Z,1,REGULAR,block,,[],1627763,,,1610612748,18,22,2023-05-20T00:54:45Z,1190000,False,,,0,,M. Brogdon BLOCK (1 BLK),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
125,PT01M04.00S,2023-05-20T00:54:44.7Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,18,22,2023-05-20T00:54:51Z,1200000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Center,,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,
126,PT01M02.00S,2023-05-20T00:54:47.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,67.36202365308804,60.78431372549019,1610612738,18,22,2023-05-20T00:59:39Z,1210000,False,54.0,254.0,1,right,MISS M. Brogdon 25' running pullup 3PT,[1627763],1610612738.0,BOS,running pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
127,PT01M00.00S,2023-05-20T00:54:50.1Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,18,22,2023-05-20T00:54:50Z,1220000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,,,,126.0,2.0,1.0,1.0,,,,,,,,,,,,,
128,PT01M00.00S,2023-05-20T00:54:53.0Z,1,REGULAR,foul,personal,[],1629622,,,1610612738,18,22,2023-05-20T00:55:09Z,1230000,False,,,0,,M. Strus personal FOUL (1 PF),"[1629622, 1628369]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
130,PT01M00.00S,2023-05-20T00:55:06.0Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,18,22,2023-05-20T00:55:10Z,1250000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT01M00.00S,2023-05-20T00:55:06.0Z,1,REGULAR,substitution,in,[],1629130,,,1610612738,18,22,2023-05-20T00:55:10Z,1260000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT00M55.20S,2023-05-20T00:55:23.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629057,93.64323258869908,50.0,1610612738,20,22,2023-05-20T00:55:27Z,1270000,False,0.0,7.0,1,right,R. Williams III cutting DUNK (2 PTS) (M. Brogdon 1 AST),"[1629057, 1627763]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.73,Made,2.0,,,,,,,,,,M. Brogdon,1627763.0,1.0,,,,,
134,PT00M42.00S,2023-05-20T00:55:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203469,11.038107752956636,47.25030637254902,1610612748,20,22,2023-05-20T01:00:46Z,1290000,False,14.0,51.0,1,left,MISS C. Zeller driving floating bank Shot,[203469],1610612748.0,MIA,driving floating bank,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
135,PT00M40.80S,2023-05-20T00:55:48.9Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,20,22,2023-05-20T00:56:05Z,1300000,False,,,0,,C. Zeller REBOUND (Off:1 Def:0),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,In The Paint (Non-RA),0-8 Center,,,,134.0,1.0,0.0,1.0,,,,,,,,,,,,,
136,PT00M40.80S,2023-05-20T00:55:50.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203469,5.590000152587891,50.0,1610612748,20,22,2023-05-20T00:56:10Z,1310000,False,0.0,0.0,1,left,MISS C. Zeller tip Layup,[203469],1610612748.0,MIA,tip,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
137,PT00M39.80S,2023-05-20T00:55:51.9Z,1,REGULAR,rebound,offensive,[],203469,,,1610612748,20,22,2023-05-20T00:56:10Z,1320000,False,,,0,,C. Zeller REBOUND (Off:2 Def:0),[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,,,,136.0,2.0,0.0,2.0,,,,,,,,,,,,,
138,PT00M39.80S,2023-05-20T00:55:52.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203469,5.590000152587891,50.0,1610612748,20,24,2023-05-20T00:56:14Z,1330000,False,0.0,0.0,1,left,C. Zeller tip Layup (2 PTS),[203469],1610612748.0,MIA,tip,,,Zeller,C. Zeller,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
139,PT00M30.50S,2023-05-20T00:56:01.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.99014454664915,24.509803921568626,1610612738,23,24,2023-05-20T01:00:36Z,1340000,False,-127.0,230.0,1,right,J. Tatum 26' 3PT step back (10 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.26,Made,10.0,,,,,,,,,,,,,,,,,
140,PT00M09.10S,2023-05-20T00:56:24.9Z,1,REGULAR,3pt,Jump Shot,[],1629130,31.09395532194481,25.98039215686275,1610612748,23,24,2023-05-20T00:56:34Z,1350000,False,120.0,240.0,1,left,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,26.82,Missed,,,,,,,,,,,,,,,,,,
141,PT00M07.20S,2023-05-20T00:56:26.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,24,2023-05-20T00:56:34Z,1360000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,140.0,3.0,2.0,1.0,,,,,,,,,,,,,
142,PT00M06.20S,2023-05-20T00:56:30.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628997,,,1610612738,23,24,2023-05-20T00:56:38Z,1370000,False,,,0,,C. Martin personal FOUL (1 PF) (Tatum 2 FT),"[1628997, 1628369]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,204059.0,1.0,0.0,Tatum,1628369.0,,,,,,,,
144,PT00M06.20S,2023-05-20T00:57:01.7Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,24,24,2023-05-20T00:57:01Z,1390000,False,,,0,,J. Tatum Free Throw 1 of 2 (11 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
145,PT00M06.20S,2023-05-20T00:57:02.4Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,24,24,2023-05-20T00:57:06Z,1400000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT00M06.20S,2023-05-20T00:57:02.4Z,1,REGULAR,substitution,in,[],203935,,,1610612738,24,24,2023-05-20T00:57:06Z,1410000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M06.20S,2023-05-20T00:57:24.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,25,24,2023-05-20T00:57:24Z,1420000,False,,,0,,J. Tatum Free Throw 2 of 2 (12 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
148,PT00M00.00S,2023-05-20T00:57:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,20.318659658344284,43.38235294117647,1610612748,25,24,2023-05-20T00:57:42Z,1430000,False,33.0,138.0,1,left,MISS K. Lowry 14' driving floating Shot,[200768],1610612748.0,MIA,driving floating,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,14.24,Missed,,,,,,,,,,,,,,,,,,
149,PT00M00.00S,2023-05-20T00:57:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,25,24,2023-05-20T00:57:42Z,1440000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,148.0,,,,,,,,,,,,,,,,
150,PT00M00.00S,2023-05-20T00:57:41.1Z,1,REGULAR,period,end,[],0,,,1610612748,25,24,2023-05-20T00:57:41Z,1450000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612748,25,24,2023-05-20T01:01:05Z,1460000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,out,['startperiod'],202710,,,1610612748,25,24,2023-05-20T01:01:05Z,1470000,False,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,out,['startperiod'],203469,,,1610612748,25,24,2023-05-20T01:01:05Z,1480000,False,,,0,,SUB out: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,in,['startperiod'],1629057,,,1610612748,25,24,2023-05-20T01:01:05Z,1490000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,in,['startperiod'],1628389,,,1610612748,25,24,2023-05-20T01:01:05Z,1500000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-05-20T01:00:32.5Z,2,REGULAR,substitution,in,['startperiod'],1629216,,,1610612748,25,24,2023-05-20T01:01:05Z,1510000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2023-05-20T01:01:21.4Z,2,REGULAR,period,start,[],0,,,1610612748,25,24,2023-05-20T01:01:21Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M46.00S,2023-05-20T01:01:35.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,12.565703022339028,57.35294117647059,1610612748,25,24,2023-05-20T01:04:38Z,1530000,False,-37.0,66.0,1,left,MISS B. Adebayo 7' pullup Shot - blocked,"[1628389, 1629684]",1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,,Williams,1629684.0
160,PT11M46.00S,2023-05-20T01:01:35.9Z,2,REGULAR,block,,[],1629684,,,1610612748,25,24,2023-05-20T01:01:40Z,1540000,False,,,0,,G. Williams BLOCK (1 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
161,PT11M45.00S,2023-05-20T01:01:36.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612748,25,24,2023-05-20T01:03:10Z,1550000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,159.0,,,,,,,,,,,,,,,,
171,PT11M45.00S,2023-05-20T01:01:39.5Z,2,REGULAR,turnover,offensive-kicked-ball,[],1628389,,,1610612748,25,24,2023-05-20T01:02:55Z,1555000,False,,,0,,B. Adebayo offensive-kicked-ball TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,,,,
163,PT11M25.00S,2023-05-20T01:02:05.7Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,87.99277266754271,2.941176470588235,1610612738,28,24,2023-05-20T01:02:48Z,1570000,False,-235.0,60.0,1,right,D. White 24' 3PT  (6 PTS) (G. Williams 1 AST),"[1628401, 1629684]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,24.29,Made,6.0,,,,,,,,,,G. Williams,1629684.0,1.0,,,,,
