actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
81,PT05M12.00S,2022-10-05T23:52:44.8Z,1,REGULAR,steal,,[],1627759,,,1610612738,13,12,2022-10-05T23:52:46Z,810000,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
82,PT05M03.00S,2022-10-05T23:52:53.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,94.56307490144546,50.73529411764706,1610612738,15,12,2022-10-05T23:52:58Z,820000,4.0,-1.0,1,right,J. Tatum driving finger roll Layup (2 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.4,Made,,,,,,,2.0,,,,,,,,,,,
83,PT04M49.00S,2022-10-05T23:53:07.4Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612761,15,12,2022-10-05T23:53:15Z,830000,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 203935]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,Smart,203935.0,,,,,,
84,PT04M49.00S,2022-10-05T23:53:07.4Z,1,REGULAR,steal,,[],203935,,,1610612738,15,12,2022-10-05T23:53:09Z,840000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2022-10-05T23:53:14.7Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,15,12,2022-10-05T23:53:19Z,850000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1627783]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,,,,,Siakam,1627783.0,,,,,,
86,PT04M43.00S,2022-10-05T23:53:14.7Z,1,REGULAR,steal,,[],1627783,,,1610612761,15,12,2022-10-05T23:53:16Z,860000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
87,PT04M39.00S,2022-10-05T23:53:17.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627832,25.57490144546649,90.93137254901961,1610612761,15,12,2022-10-05T23:53:30Z,870000,-205.0,188.0,1,left,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,27.79,Missed,,,,,,,,,,,,,,,,,,
88,PT04M38.00S,2022-10-05T23:53:18.9Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,15,12,2022-10-05T23:53:30Z,880000,,,0,,P. Siakam REBOUND (Off:2 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,87.0,3.0,1.0,2.0,,,,,,,,,,,,,,
89,PT04M36.00S,2022-10-05T23:53:23.5Z,1,REGULAR,foul,offensive,[],1627783,,,1610612761,15,12,2022-10-05T23:53:34Z,890000,,,0,,P. Siakam charge offensive FOUL (2 PF),"[1627783, 1628401]",1610612761.0,TOR,charge,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2005.0,,,,,,,,2.0,0.0,White,1628401.0,,
91,PT04M36.00S,2022-10-05T23:53:23.5Z,1,REGULAR,turnover,offensive foul,[],1627783,,,1610612761,15,12,2022-10-05T23:53:23Z,910000,,,0,,P. Siakam offensive foul TURNOVER (2 TO),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2005.0,2.0,,,,,,,,,,,,
92,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,out,[],203935,,,1610612738,15,12,2022-10-05T23:53:51Z,920000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,out,[],1628384,,,1610612738,15,12,2022-10-05T23:53:51Z,930000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612738,15,12,2022-10-05T23:53:51Z,940000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,15,12,2022-10-05T23:53:51Z,950000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,in,[],1628449,,,1610612738,15,12,2022-10-05T23:53:51Z,960000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M36.00S,2022-10-05T23:53:34.0Z,1,REGULAR,substitution,in,[],1630173,,,1610612738,15,12,2022-10-05T23:53:51Z,970000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M12.00S,2022-10-05T23:54:18.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,68.01905387647832,56.86274509803921,1610612738,15,12,2022-10-05T23:54:29Z,980000,34.0,248.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.05,Missed,,,,,,,,,,,,,,,,,,
99,PT04M10.00S,2022-10-05T23:54:20.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,15,12,2022-10-05T23:54:29Z,990000,,,0,,F. VanVleet REBOUND (Off:0 Def:3),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,98.0,3.0,3.0,0.0,,,,,,,,,,,,,,
100,PT04M03.00S,2022-10-05T23:54:27.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,9.149145860709593,46.568627450980394,1610612761,15,14,2022-10-05T23:54:35Z,1000000,17.0,34.0,1,left,F. VanVleet running Layup (2 PTS),[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,3.77,Made,,,,,,,2.0,,,,,,,,,,,
101,PT03M44.00S,2022-10-05T23:54:45.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,73.27529566360053,16.911764705882355,1610612738,15,14,2022-10-05T23:54:51Z,1010000,-165.0,199.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
102,PT03M42.00S,2022-10-05T23:54:47.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,15,14,2022-10-05T23:54:51Z,1020000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:3),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,101.0,3.0,3.0,0.0,,,,,,,,,,,,,,
103,PT03M33.00S,2022-10-05T23:54:57.1Z,1,REGULAR,2pt,Jump Shot,[],1629018,25.312089356110377,66.91176470588235,1610612761,15,16,2022-10-05T23:55:01Z,1030000,-85.0,185.0,1,left,G. Trent Jr. 20' step back Jump Shot (4 PTS),[1629018],1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,20.38,Made,,,,,,,4.0,,,,,,,,,,,
105,PT03M20.00S,2022-10-05T23:55:57.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,69.85873850197109,21.813725490196077,1610612738,18,16,2022-10-05T23:56:02Z,1050000,-141.0,231.0,1,right,J. Brown 27' 3PT step back (12 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,27.04,Made,,,,,,,12.0,,,,,,,,,,,
106,PT03M05.00S,2022-10-05T23:56:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,9.674770039421814,50.98039215686274,1610612761,18,18,2022-10-05T23:56:18Z,1060000,-5.0,38.0,1,left,P. Achiuwa alley-oop Layup (2 PTS) (F. VanVleet 2 AST),"[1630173, 1627832]",1610612761.0,TOR,alley-oop,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,3.87,Made,,,,,,,2.0,F. VanVleet,1627832.0,2.0,,,,,,,,
108,PT02M51.00S,2022-10-05T23:56:27.0Z,1,REGULAR,3pt,Jump Shot,[],1627763,90.3580814717477,4.411764705882353,1610612738,18,18,2022-10-05T23:56:54Z,1080000,-228.0,38.0,1,right,MISS M. Brogdon 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Left Corner 3,24+ Left,23.11,Missed,,,,,,,,,,,,,,,,,,
109,PT02M49.00S,2022-10-05T23:56:29.0Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,18,18,2022-10-05T23:56:54Z,1090000,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Left Corner 3,24+ Left,,,108.0,1.0,1.0,0.0,,,,,,,,,,,,,,
110,PT02M25.00S,2022-10-05T23:56:53.0Z,1,REGULAR,2pt,Jump Shot,[],1627783,11.251642575558476,18.137254901960784,1610612761,18,20,2022-10-05T23:56:58Z,1100000,159.0,53.0,1,left,P. Siakam 16' fadeaway Jump Shot (6 PTS),[1627783],1610612761.0,TOR,fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right,16.8,Made,,,,,,,6.0,,,,,,,,,,,
111,PT02M04.00S,2022-10-05T23:57:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.46714848883047,37.00980392156863,1610612738,20,20,2022-10-05T23:57:19Z,1110000,-65.0,65.0,1,right,D. White 9' driving floating Jump Shot (4 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,9.21,Made,,,,,,,4.0,A. Horford,201143.0,1.0,,,,,,,,
113,PT01M57.00S,2022-10-05T23:57:25.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,20,20,2022-10-05T23:57:25Z,1130000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612761,20,20,2022-10-06T00:00:04Z,1140000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612761,20,20,2022-10-06T00:00:04Z,1150000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],201143,,,1610612761,20,20,2022-10-06T00:00:04Z,1160000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],1627832,,,1610612761,20,20,2022-10-06T00:00:04Z,1170000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,20,20,2022-10-06T00:00:04Z,1180000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,20,20,2022-10-06T00:00:04Z,1190000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],1630573,,,1610612761,20,20,2022-10-06T00:00:04Z,1200000,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612761,20,20,2022-10-06T00:00:04Z,1210000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],203935,,,1610612761,20,20,2022-10-06T00:00:04Z,1220000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],201152,,,1610612761,20,20,2022-10-06T00:00:04Z,1230000,,,0,,SUB in: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],1628384,,,1610612761,20,20,2022-10-06T00:00:04Z,1240000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M57.00S,2022-10-05T23:59:44.4Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,20,20,2022-10-06T00:00:04Z,1250000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M50.00S,2022-10-06T00:00:35.4Z,1,REGULAR,foul,personal,['2freethrow'],1627763,,,1610612761,20,20,2022-10-06T00:00:44Z,1260000,,,0,,M. Brogdon shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1627763, 1628384]",1610612738.0,BOS,shooting,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,201639.0,,,,,,,,1.0,0.0,Anunoby,1628384.0,,
128,PT01M50.00S,2022-10-06T00:01:00.8Z,1,REGULAR,freethrow,1 of 2,[],1628384,,,1610612761,20,21,2022-10-06T00:01:00Z,1280000,,,0,,O. Anunoby Free Throw 1 of 2 (5 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
129,PT01M50.00S,2022-10-06T00:01:17.0Z,1,REGULAR,freethrow,2 of 2,[],1628384,,,1610612761,20,22,2022-10-06T00:01:17Z,1290000,,,0,,O. Anunoby Free Throw 2 of 2 (6 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
130,PT01M35.00S,2022-10-06T00:01:34.3Z,1,REGULAR,3pt,Jump Shot,[],203935,75.24638633377135,12.5,1610612738,20,22,2022-10-06T00:01:40Z,1300000,-188.0,180.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.01,Missed,,,,,,,,,,,,,,,,,,
131,PT01M33.00S,2022-10-06T00:01:36.3Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,20,22,2022-10-06T00:01:40Z,1310000,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Left Center,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,,,
132,PT01M20.00S,2022-10-06T00:01:49.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,34.510512483574246,58.57843137254902,1610612761,20,22,2022-10-06T00:01:56Z,1320000,-43.0,272.0,1,left,MISS O. Anunoby 27' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,27.53,Missed,,,,,,,,,,,,,,,,,,
133,PT01M19.00S,2022-10-06T00:01:50.1Z,1,REGULAR,rebound,offensive,[],201152,,,1610612761,20,22,2022-10-06T00:01:56Z,1330000,,,0,,T. Young REBOUND (Off:1 Def:0),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,
134,PT01M11.00S,2022-10-06T00:01:57.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628449,11.908672798948752,2.696078431372549,1610612761,20,22,2022-10-06T00:02:02Z,1340000,237.0,59.0,1,left,MISS C. Boucher 24' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Right Corner 3,24+ Right,24.38,Missed,,,,,,,,,,,,,,,,,,
135,PT01M10.00S,2022-10-06T00:01:58.4Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,20,22,2022-10-06T00:02:02Z,1350000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT01M03.00S,2022-10-06T00:02:07.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627763,93.77463863337714,49.26470588235294,1610612738,22,22,2022-10-06T00:02:16Z,1360000,-4.0,6.0,1,right,M. Brogdon running Layup (2 PTS),[1627763],1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,0.7,Made,,,,,,,2.0,,,,,,,,,,,
137,PT00M45.80S,2022-10-06T00:02:26.6Z,1,REGULAR,foul,offensive,[],1630173,,,1610612761,22,22,2022-10-06T00:02:37Z,1370000,,,0,,P. Achiuwa charge offensive FOUL (1 PF),"[1630173, 203935]",1610612761.0,TOR,charge,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Center,,,,,,,201639.0,,,,,,,,1.0,0.0,Smart,203935.0,,
139,PT00M45.80S,2022-10-06T00:02:26.6Z,1,REGULAR,turnover,offensive foul,[],1630173,,,1610612761,22,22,2022-10-06T00:02:26Z,1390000,,,0,,P. Achiuwa offensive foul TURNOVER (1 TO),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Center,,,,,,,201639.0,1.0,,,,,,,,,,,,
140,PT00M45.80S,2022-10-06T00:02:34.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,22,22,2022-10-06T00:02:36Z,1400000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M45.80S,2022-10-06T00:02:34.5Z,1,REGULAR,substitution,in,[],203943,,,1610612738,22,22,2022-10-06T00:02:36Z,1410000,,,0,,SUB in: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M37.20S,2022-10-06T00:02:51.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203943,94.95729303547962,51.9607843137255,1610612738,24,22,2022-10-06T00:03:08Z,1420000,10.0,-5.0,1,right,N. Vonleh cutting DUNK (2 PTS) (M. Brogdon 1 AST),"[203943, 1627763]",1610612738.0,BOS,cutting,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,,2.0,M. Brogdon,1627763.0,1.0,,,,,,,,
145,PT00M19.00S,2022-10-06T00:03:27.4Z,1,REGULAR,2pt,Jump Shot,[],1630567,25.57490144546649,25.98039215686275,1610612761,24,22,2022-10-06T00:04:34Z,1450000,120.0,188.0,1,left,MISS S. Barnes 22' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,22.3,Missed,,,,,,,,,,,,,,,,,,
146,PT00M16.60S,2022-10-06T00:03:29.8Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,24,22,2022-10-06T00:03:35Z,1460000,,,0,,N. Vonleh REBOUND (Off:0 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Mid-Range,16-24 Right Center,,,145.0,1.0,1.0,0.0,,,,,,,,,,,,,,
147,PT00M00.90S,2022-10-06T00:03:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,67.62483574244416,35.049019607843135,1610612738,27,22,2022-10-06T00:03:50Z,1470000,-75.0,252.0,1,right,S. Hauser 26' 3PT  (3 PTS) (M. Brogdon 2 AST),"[1630573, 1627763]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,26.27,Made,,,,,,,3.0,M. Brogdon,1627763.0,2.0,,,,,,,,
150,PT00M00.00S,2022-10-06T00:03:56.7Z,1,REGULAR,period,end,[],0,,,1610612761,27,22,2022-10-06T00:03:56Z,1500000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2022-10-06T00:06:24.9Z,2,REGULAR,period,start,[],0,,,1610612738,27,22,2022-10-06T00:06:24Z,1510000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M48.00S,2022-10-06T00:06:40.7Z,2,REGULAR,foul,personal,[],1628384,,,1610612738,27,22,2022-10-06T00:06:50Z,1520000,,,0,,O. Anunoby personal FOUL (1 PF),"[1628384, 203943]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2005.0,,,,,,,,1.0,0.0,Vonleh,203943.0,,
154,PT11M43.00S,2022-10-06T00:07:00.6Z,2,REGULAR,foul,personal,['2freethrow'],1628449,,,1610612738,27,22,2022-10-06T00:07:11Z,1540000,,,0,,C. Boucher shooting personal FOUL (1 PF) (Brogdon 2 FT),"[1628449, 1627763]",1610612761.0,TOR,shooting,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,,,,1.0,0.0,Brogdon,1627763.0,,
156,PT11M43.00S,2022-10-06T00:07:28.2Z,2,REGULAR,freethrow,1 of 2,[],1627763,,,1610612738,28,22,2022-10-06T00:07:28Z,1560000,,,0,,M. Brogdon Free Throw 1 of 2 (3 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
157,PT11M43.00S,2022-10-06T00:07:43.6Z,2,REGULAR,freethrow,2 of 2,[],1627763,,,1610612738,29,22,2022-10-06T00:07:43Z,1570000,,,0,,M. Brogdon Free Throw 2 of 2 (4 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
158,PT11M29.00S,2022-10-06T00:07:59.9Z,2,REGULAR,3pt,Jump Shot,[],1630173,28.86005256241787,21.568627450980394,1610612761,29,22,2022-10-06T00:08:07Z,1580000,142.0,219.0,1,left,MISS P. Achiuwa 26' 3PT,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,,
159,PT11M24.00S,2022-10-06T00:08:04.9Z,2,REGULAR,rebound,defensive,[],203943,,,1610612738,29,22,2022-10-06T00:08:07Z,1590000,,,0,,N. Vonleh REBOUND (Off:0 Def:2),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Right Center,,,158.0,2.0,2.0,0.0,,,,,,,,,,,,,,
160,PT11M14.00S,2022-10-06T00:08:14.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,93.16688567674113,57.13082107843137,1610612738,29,22,2022-10-06T00:08:21Z,1600000,36.0,12.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
161,PT11M11.00S,2022-10-06T00:08:17.3Z,2,REGULAR,rebound,defensive,[],1630173,,,1610612761,29,22,2022-10-06T00:08:21Z,1610000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,160.0,1.0,1.0,0.0,,,,,,,,,,,,,,
162,PT11M07.00S,2022-10-06T00:08:21.2Z,2,REGULAR,2pt,Layup,['fastbreak'],1630173,13.091327201051248,29.901960784313726,1610612761,29,22,2022-10-06T00:10:02Z,1620000,100.0,71.0,1,left,MISS P. Achiuwa 12' running Layup,[1630173],1610612761.0,TOR,running,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Right,12.28,Missed,,,,,,,,,,,,,,,,,,
163,PT11M05.00S,2022-10-06T00:08:23.2Z,2,REGULAR,rebound,offensive,[],201152,,,1610612761,29,22,2022-10-06T00:09:24Z,1630000,,,0,,T. Young REBOUND (Off:2 Def:0),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,,,162.0,2.0,0.0,2.0,,,,,,,,,,,,,,
164,PT11M03.00S,2022-10-06T00:08:25.5Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201152,13.748357424441524,53.18627450980392,1610612761,29,22,2022-10-06T00:08:39Z,1640000,-16.0,77.0,1,left,MISS T. Young 7' turnaround Hook,[201152],1610612761.0,TOR,turnaround,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,,,,,,,,,,
165,PT10M59.00S,2022-10-06T00:08:29.5Z,2,REGULAR,rebound,defensive,[],203943,,,1610612738,29,22,2022-10-06T00:08:39Z,1650000,,,0,,N. Vonleh REBOUND (Off:0 Def:3),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,In The Paint (Non-RA),0-8 Center,,,164.0,3.0,3.0,0.0,,,,,,,,,,,,,,
