actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M36.00S,2023-05-04T00:04:15.4Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,3,5,2023-05-04T00:04:21Z,180000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M30.00S,2023-05-04T00:04:21.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,29.25427069645204,16.176470588235293,1610612755,3,5,2023-05-04T00:05:13Z,190000,False,169.0,222.0,1,left,MISS T. Maxey 27' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,27.95,Missed,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2023-05-04T00:04:22.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,3,5,2023-05-04T00:04:28Z,200000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M20.00S,2023-05-04T00:04:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.85873850197109,30.14705882352941,1610612738,3,5,2023-05-04T00:04:38Z,210000,False,-99.0,231.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
22,PT10M19.00S,2023-05-04T00:04:33.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,3,5,2023-05-04T00:04:38Z,220000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M09.00S,2023-05-04T00:04:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,10.38107752956636,47.966452205882355,1610612755,3,5,2023-05-04T00:20:21Z,230000,False,10.0,45.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1628369]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,
24,PT10M09.00S,2023-05-04T00:04:47.7Z,1,REGULAR,block,,[],1628369,,,1610612755,3,5,2023-05-04T00:04:49Z,240000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2023-05-04T00:04:48.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,5,2023-05-04T00:04:55Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,,,,,,,,,,,,,
27,PT09M59.00S,2023-05-04T00:05:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.95729303547962,54.41176470588235,1610612738,5,5,2023-05-04T00:05:04Z,270000,False,22.0,-5.0,1,right,J. Brown driving reverse Layup (5 PTS),[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.27,Made,5.0,,,,,,,,,,,,,,,,,
48,PT09M35.00S,2023-05-04T00:05:11.9Z,1,REGULAR,3pt,Jump Shot,[],202699,30.436925098554536,68.87254901960785,1610612755,5,5,2023-05-04T00:08:29Z,275000,False,-94.0,234.0,1,left,MISS T. Harris 25' pullup 3PT - blocked,"[202699, 201143]",1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,Horford,201143.0,,,,,,,,
49,PT09M35.00S,2023-05-04T00:05:11.9Z,1,REGULAR,block,,[],201143,,,1610612755,5,5,2023-05-04T00:08:02Z,277500,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
50,PT09M34.00S,2023-05-04T00:05:12.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,5,2023-05-04T00:08:02Z,278750,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M30.00S,2023-05-04T00:05:29.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,85.23324572930355,96.07843137254902,1610612738,5,5,2023-05-04T00:08:04Z,300000,False,230.0,86.0,1,right,MISS D. White 24' running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Right Corner 3,24+ Right,24.6,Missed,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2023-05-04T00:05:30.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,5,5,2023-05-04T00:08:11Z,310000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT09M06.00S,2023-05-04T00:05:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.534822601839686,57.349111519607845,1610612755,5,5,2023-05-04T00:05:57Z,320000,False,-37.0,75.0,1,left,MISS T. Harris 8' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,8.32,Missed,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2023-05-04T00:05:54.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,5,5,2023-05-04T00:05:57Z,330000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,
34,PT09M00.00S,2023-05-04T00:05:59.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203935,93.77463863337714,59.068627450980394,1610612738,5,5,2023-05-04T00:11:00Z,340000,False,45.0,6.0,1,right,MISS M. Smart running finger roll Layup - blocked,"[203935, 203954]",1610612738.0,BOS,running finger roll,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,,,,Embiid,203954.0,,,,,,,,
35,PT09M00.00S,2023-05-04T00:05:59.8Z,1,REGULAR,block,,[],203954,,,1610612738,5,5,2023-05-04T00:06:02Z,350000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M59.00S,2023-05-04T00:06:00.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,5,5,2023-05-04T00:06:07Z,360000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,
37,PT08M52.00S,2023-05-04T00:06:07.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630178,11.251642575558476,46.32352941176471,1610612755,5,5,2023-05-04T00:06:14Z,370000,False,18.0,53.0,1,left,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.64,Missed,,,,,,,,,,,,,,,,,,
39,PT08M51.00S,2023-05-04T00:06:08.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,5,2023-05-04T00:06:14Z,390000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
40,PT08M41.00S,2023-05-04T00:06:20.3Z,1,REGULAR,foul,personal,[],1630178,,,1610612738,5,5,2023-05-04T00:14:32Z,400000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1628369]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,
42,PT08M38.00S,2023-05-04T00:06:45.2Z,1,REGULAR,3pt,Jump Shot,[],201143,69.20170827858082,35.294117647058826,1610612738,5,5,2023-05-04T00:06:52Z,420000,False,-74.0,237.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2023-05-04T00:06:46.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,5,5,2023-05-04T00:06:52Z,430000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,42.0,,,,,,,,,,,,,
45,PT08M23.00S,2023-05-04T00:07:12.9Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,5,5,2023-05-04T00:07:20Z,450000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,202041.0,1.0,0.0,Embiid,203954.0,,,
47,PT08M23.00S,2023-05-04T00:07:40.2Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,5,6,2023-05-04T00:07:40Z,470000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
51,PT08M23.00S,2023-05-04T00:08:05.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,5,7,2023-05-04T00:08:05Z,480000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
52,PT08M07.00S,2023-05-04T00:08:25.9Z,1,REGULAR,2pt,Layup,[],1628369,89.17542706964521,31.372549019607842,1610612738,7,7,2023-05-04T00:08:35Z,490000,False,-93.0,49.0,1,right,J. Tatum 10' driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,10.53,Made,2.0,,,,,,,,,,,,,,,,,
54,PT08M07.00S,2023-05-04T00:08:34.6Z,1,REGULAR,foul,personal,['1freethrow'],203954,,,1610612738,7,7,2023-05-04T00:08:43Z,510000,False,,,0,,J. Embiid shooting personal FOUL (1 PF) (Tatum 1 FT),"[203954, 1628369]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,
56,PT08M07.00S,2023-05-04T00:08:57.3Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,8,7,2023-05-04T00:08:57Z,530000,False,,,0,,J. Tatum Free Throw 1 of 1 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
57,PT07M46.00S,2023-05-04T00:09:21.4Z,1,REGULAR,3pt,Jump Shot,[],202699,16.113666228646515,4.411764705882353,1610612755,8,7,2023-05-04T00:09:28Z,540000,False,228.0,99.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,24.85,Missed,,,,,,,,,,,,,,,,,,
58,PT07M44.00S,2023-05-04T00:09:23.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,8,7,2023-05-04T00:09:28Z,550000,False,,,0,,M. Smart REBOUND (Off:0 Def:3),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,
59,PT07M39.00S,2023-05-04T00:09:28.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,70.25295663600527,22.30392156862745,1610612738,8,7,2023-05-04T00:13:44Z,560000,False,-138.0,227.0,1,right,MISS D. White 26' running 3PT,[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.6,Missed,,,,,,,,,,,,,,,,,,
60,PT07M38.00S,2023-05-04T00:09:29.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,8,7,2023-05-04T00:09:35Z,570000,False,,,0,,J. Harden REBOUND (Off:0 Def:3),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,59.0,3.0,3.0,0.0,,,,,,,,,,
61,PT07M23.00S,2023-05-04T00:09:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612755,8,7,2023-05-04T00:09:55Z,580000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Harden 2 FT),"[1627759, 201935]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Harden,201935.0,,,
63,PT07M23.00S,2023-05-04T00:10:17.9Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,8,7,2023-05-04T00:10:18Z,600000,False,,,0,,MISS J. Harden Free Throw 1 of 2,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
64,PT07M23.00S,2023-05-04T00:10:17.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,8,7,2023-05-04T00:10:18Z,610000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,
65,PT07M23.00S,2023-05-04T00:10:36.2Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612755,8,8,2023-05-04T00:10:36Z,620000,False,,,0,,J. Harden Free Throw 2 of 2 (1 PTS),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
66,PT07M09.00S,2023-05-04T00:10:54.7Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612738,8,8,2023-05-04T00:11:17Z,630000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Tatum 2 FT),"[200782, 1628369]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2534.0,1.0,0.0,Tatum,1628369.0,,,
68,PT07M09.00S,2023-05-04T00:11:26.1Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,9,8,2023-05-04T00:11:26Z,650000,False,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
69,PT07M09.00S,2023-05-04T00:11:46.6Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,10,8,2023-05-04T00:11:46Z,660000,False,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2023-05-04T00:12:09.5Z,1,REGULAR,2pt,Jump Shot,[],203954,14.931011826544022,80.3921568627451,1610612755,10,8,2023-05-04T00:15:47Z,670000,False,-152.0,88.0,1,left,MISS J. Embiid 17' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left,17.56,Missed,,,,,,,,,,,,,,,,,,
71,PT06M48.00S,2023-05-04T00:12:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,10,8,2023-05-04T00:12:21Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,70.0,,,,,,,,,,,,,
73,PT06M48.00S,2023-05-04T00:12:24.8Z,1,REGULAR,foul,personal,[],1628369,,,1610612755,10,8,2023-05-04T00:12:40Z,700000,False,,,0,,J. Tatum loose ball personal FOUL (1 PF),"[1628369, 200782]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1179.0,1.0,0.0,Tucker,200782.0,,,
75,PT06M48.00S,2023-05-04T00:12:35.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,10,8,2023-05-04T00:12:35Z,720000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M48.00S,2023-05-04T00:15:21.3Z,1,REGULAR,substitution,out,[],203935,,,1610612755,10,8,2023-05-04T00:15:36Z,730000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M48.00S,2023-05-04T00:15:21.3Z,1,REGULAR,substitution,in,[],1629057,,,1610612755,10,8,2023-05-04T00:15:36Z,740000,False,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M38.00S,2023-05-04T00:16:13.9Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,10,8,2023-05-04T00:16:19Z,750000,False,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 201143]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,1.0,Horford,201143.0
79,PT06M38.00S,2023-05-04T00:16:13.9Z,1,REGULAR,steal,,[],201143,,,1610612738,10,8,2023-05-04T00:16:49Z,760000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
80,PT06M25.00S,2023-05-04T00:16:27.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,88.64980289093299,43.38235294117647,1610612738,10,8,2023-05-04T00:16:35Z,770000,False,-33.0,54.0,1,right,MISS A. Horford 6' driving Hook,[201143],1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,6.35,Missed,,,,,,,,,,,,,,,,,,
81,PT06M23.00S,2023-05-04T00:16:29.4Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,10,8,2023-05-04T00:16:35Z,780000,False,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,80.0,1.0,0.0,1.0,,,,,,,,,,
82,PT06M15.00S,2023-05-04T00:16:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,91.01511169513797,46.568627450980394,1610612738,12,8,2023-05-04T00:16:42Z,790000,False,-17.0,32.0,1,right,J. Brown driving Layup (7 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.63,Made,7.0,J. Tatum,1628369.0,2.0,,,,,,,,,,,,,,
84,PT05M56.00S,2023-05-04T00:16:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200782,6.044678055190539,57.13082107843137,1610612755,12,8,2023-05-04T00:17:02Z,810000,False,-36.0,4.0,1,left,MISS P. Tucker driving reverse Layup - blocked,"[200782, 1629057]",1610612755.0,PHI,driving reverse,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,3.6,Missed,,,,,,,,,Williams III,1629057.0,,,,,,,,
85,PT05M56.00S,2023-05-04T00:16:55.5Z,1,REGULAR,block,,[],1629057,,,1610612755,12,8,2023-05-04T00:16:57Z,820000,False,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
86,PT05M54.00S,2023-05-04T00:16:57.5Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,12,8,2023-05-04T00:17:02Z,830000,False,,,0,,R. Williams III REBOUND (Off:1 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,84.0,2.0,1.0,1.0,,,,,,,,,,
87,PT05M47.00S,2023-05-04T00:17:06.9Z,1,REGULAR,foul,personal,[],201935,,,1610612738,12,8,2023-05-04T00:17:17Z,840000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1627759]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2534.0,1.0,0.0,Brown,1627759.0,,,
89,PT05M47.00S,2023-05-04T00:17:14.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,12,8,2023-05-04T00:17:22Z,860000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M47.00S,2023-05-04T00:17:14.8Z,1,REGULAR,substitution,out,[],200782,,,1610612738,12,8,2023-05-04T00:17:22Z,870000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
