actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT06M00.00S,2022-10-02T17:24:43.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,16,16,2022-10-02T17:24:43Z,860000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,
88,PT05M52.00S,2022-10-02T17:24:52.7Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612738,16,16,2022-10-02T17:25:00Z,870000,,,0,,M. Plumlee shooting personal FOUL (2 PF) (Brown 2 FT),"[203486, 1627759]",1610612766.0,CHA,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627961.0,2.0,0.0,Brown,1627759.0,,
90,PT05M52.00S,2022-10-02T17:25:22.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,17,16,2022-10-02T17:25:22Z,890000,,,0,,J. Brown Free Throw 1 of 2 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,9.0,,,,,,,,,,,,,
91,PT05M52.00S,2022-10-02T17:25:38.4Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,18,16,2022-10-02T17:25:38Z,900000,,,0,,J. Brown Free Throw 2 of 2 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
92,PT05M32.00S,2022-10-02T17:25:58.7Z,1,REGULAR,3pt,Jump Shot,[],1626162,93.11760840998686,96.81372549019608,1610612766,18,19,2022-10-02T17:26:04Z,910000,234.0,12.0,1,right,K. Oubre Jr. 3PT  (8 PTS) (J. Bouknight 1 AST),"[1626162, 1630547]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.44,Made,,,,,8.0,,,,J. Bouknight,1630547.0,1.0,,,,,,,
94,PT05M16.00S,2022-10-02T17:26:18.9Z,1,REGULAR,foul,personal,[],1626162,,,1610612738,18,19,2022-10-02T17:26:30Z,930000,,,0,,K. Oubre Jr. personal FOUL (2 PF),"[1626162, 1628369]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1628482.0,2.0,0.0,Tatum,1628369.0,,
96,PT05M16.00S,2022-10-02T17:26:32.3Z,1,REGULAR,substitution,out,[],1626162,,,1610612738,18,19,2022-10-02T17:26:39Z,950000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M16.00S,2022-10-02T17:26:32.3Z,1,REGULAR,substitution,in,[],1629667,,,1610612738,18,19,2022-10-02T17:26:39Z,960000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M03.00S,2022-10-02T17:27:05.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203935,13.091327201051248,37.254901960784316,1610612738,20,19,2022-10-02T17:36:09Z,970000,64.0,71.0,1,left,M. Smart 9' driving bank Hook (5 PTS),[203935],1610612738.0,BOS,driving bank,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Right,9.51,Made,,,,,5.0,,,,,,,,,,,,,
99,PT04M53.00S,2022-10-02T17:27:21.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627759,,,1610612766,20,19,2022-10-02T17:27:27Z,980000,,,0,,J. Brown personal FOUL (2 PF) (Plumlee 2 FT),"[1627759, 203486]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628482.0,2.0,0.0,Plumlee,203486.0,,
101,PT04M53.00S,2022-10-02T17:27:41.9Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,20,19,2022-10-02T17:27:41Z,1000000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
102,PT04M53.00S,2022-10-02T17:27:41.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,20,19,2022-10-02T17:27:41Z,1010000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,
103,PT04M53.00S,2022-10-02T17:27:42.6Z,1,REGULAR,substitution,out,[],201143,,,1610612766,20,19,2022-10-02T17:27:45Z,1020000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M53.00S,2022-10-02T17:27:42.6Z,1,REGULAR,substitution,in,[],203943,,,1610612766,20,19,2022-10-02T17:27:45Z,1030000,,,0,,SUB in: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M53.00S,2022-10-02T17:28:00.5Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,20,20,2022-10-02T17:28:00Z,1040000,,,0,,M. Plumlee Free Throw 2 of 2 (5 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
106,PT04M43.00S,2022-10-02T17:28:12.3Z,1,REGULAR,3pt,Jump Shot,[],203935,9.674770039421814,97.54901960784314,1610612738,20,20,2022-10-02T17:28:17Z,1050000,-238.0,38.0,1,left,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,24.08,Missed,,,,,,,,,,,,,,,,,,
107,PT04M40.00S,2022-10-02T17:28:15.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,20,20,2022-10-02T17:28:17Z,1060000,,,0,,L. Ball REBOUND (Off:0 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,106.0,3.0,3.0,0.0,,,,,,,,,,,,,,
108,PT04M35.00S,2022-10-02T17:28:19.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630163,88.64980289093299,45.588235294117645,1610612766,20,20,2022-10-02T17:37:57Z,1070000,-22.0,54.0,1,right,MISS L. Ball running Layup,[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,5.85,Missed,,,,,,,,,,,,,,,,,,
109,PT04M32.00S,2022-10-02T17:28:22.0Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,20,20,2022-10-02T17:28:29Z,1080000,,,0,,L. Ball REBOUND (Off:1 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,108.0,4.0,3.0,1.0,,,,,,,,,,,,,,
110,PT04M32.00S,2022-10-02T17:28:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,94.40999984741211,50.0,1610612766,20,20,2022-10-02T17:28:21Z,1090000,0.0,0.0,1,right,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
111,PT04M31.00S,2022-10-02T17:28:22.7Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,20,20,2022-10-02T17:28:22Z,1100000,,,0,,L. Ball REBOUND (Off:2 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Left,,,110.0,5.0,3.0,2.0,,,,,,,,,,,,,,
112,PT04M31.00S,2022-10-02T17:28:22.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630163,94.40999984741211,50.0,1610612766,20,20,2022-10-02T17:39:31Z,1110000,0.0,0.0,1,right,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
113,PT04M31.00S,2022-10-02T17:28:22.7Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,20,20,2022-10-02T17:28:42Z,1120000,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
114,PT04M21.00S,2022-10-02T17:28:33.5Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,20,20,2022-10-02T17:28:47Z,1130000,,,0,,M. Smart bad pass TURNOVER (2 TO),"[203935, 1629023]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Left Center,,,,,,,,2.0,Washington,1629023.0,,,,,,,,,,
115,PT04M21.00S,2022-10-02T17:28:33.5Z,1,REGULAR,steal,,[],1629023,,,1610612766,20,20,2022-10-02T17:28:36Z,1140000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
116,PT04M13.00S,2022-10-02T17:28:41.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630163,81.42247043363994,25.98039215686275,1610612766,20,20,2022-10-02T17:28:52Z,1150000,-120.0,122.0,1,right,MISS L. Ball 17' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,17.13,Missed,,,,,,,,,,,,,,,,,,
117,PT04M10.00S,2022-10-02T17:28:46.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,20,20,2022-10-02T17:28:46Z,1160000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Mid-Range,16-24 Left Center,,,116.0,,,,,,,,,,,,,,,,,
119,PT04M10.00S,2022-10-02T17:28:50.7Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,20,20,2022-10-02T17:29:07Z,1180000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M10.00S,2022-10-02T17:28:50.7Z,1,REGULAR,substitution,in,[],1630550,,,1610612766,20,20,2022-10-02T17:29:07Z,1190000,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M10.00S,2022-10-02T17:29:10.8Z,1,REGULAR,substitution,out,[],203486,,,1610612766,20,20,2022-10-02T17:29:13Z,1200000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT04M10.00S,2022-10-02T17:29:10.8Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,20,20,2022-10-02T17:29:13Z,1210000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT04M00.00S,2022-10-02T17:29:16.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630163,72.09264126149803,18.872549019607842,1610612766,20,20,2022-10-02T17:29:20Z,1220000,-156.0,210.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
124,PT03M58.00S,2022-10-02T17:29:18.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,20,20,2022-10-02T17:29:20Z,1230000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,123.0,1.0,1.0,0.0,,,,,,,,,,,,,,
125,PT03M50.00S,2022-10-02T17:29:26.1Z,1,REGULAR,turnover,bad pass,[],1627763,,,1610612738,20,20,2022-10-02T17:29:30Z,1240000,,,0,,M. Brogdon bad pass TURNOVER (1 TO),"[1627763, 1629667]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Left Center,,,,,,,,1.0,McDaniels,1629667.0,,,,,,,,,,
126,PT03M50.00S,2022-10-02T17:29:26.1Z,1,REGULAR,steal,,[],1629667,,,1610612766,20,20,2022-10-02T17:29:27Z,1250000,,,0,,J. McDaniels STEAL (1 STL),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
127,PT03M44.00S,2022-10-02T17:29:32.1Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,20,20,2022-10-02T17:42:17Z,1260000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1628369]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,,,
128,PT03M44.00S,2022-10-02T17:29:32.1Z,1,REGULAR,steal,,[],1628369,,,1610612738,20,20,2022-10-02T17:29:34Z,1270000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
129,PT03M40.00S,2022-10-02T17:29:36.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627759,8.754927726675426,48.28431372549019,1610612738,22,20,2022-10-02T17:42:32Z,1280000,9.0,30.0,1,left,J. Brown running alley-oop DUNK (12 PTS) (J. Tatum 2 AST),"[1627759, 1628369]",1610612738.0,BOS,running alley-oop,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,12.0,,,,J. Tatum,1628369.0,2.0,,,,,,,
131,PT03M40.00S,2022-10-02T17:29:41.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,22,20,2022-10-02T17:29:41Z,1300000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M40.00S,2022-10-02T17:32:24.4Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,22,20,2022-10-02T17:32:42Z,1310000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M40.00S,2022-10-02T17:32:24.4Z,1,REGULAR,substitution,in,[],1626179,,,1610612766,22,20,2022-10-02T17:32:42Z,1320000,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M30.00S,2022-10-02T17:32:54.0Z,1,REGULAR,turnover,out-of-bounds,[],1630550,,,1610612766,22,20,2022-10-02T17:33:06Z,1330000,,,0,,J. Thor step out-of-bounds TURNOVER (1 TO),[1630550],1610612766.0,CHA,step,,,Thor,J. Thor,,,,,Left Corner 3,24+ Left,,,,,,,,1.0,,,,,,1151.0,,,,,,
135,PT03M20.00S,2022-10-02T17:33:18.0Z,1,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612738,22,20,2022-10-02T17:33:23Z,1340000,,,0,,M. Brogdon lost ball out-of-bounds TURNOVER (2 TO),[1627763],1610612738.0,BOS,lost ball,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,,,,,,1628482.0,,,,,,
137,PT02M59.00S,2022-10-02T17:33:48.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612766,22,20,2022-10-02T17:33:59Z,1360000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M59.00S,2022-10-02T17:33:48.4Z,1,REGULAR,substitution,out,[],203935,,,1610612766,22,20,2022-10-02T17:33:59Z,1370000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M59.00S,2022-10-02T17:33:48.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612766,22,20,2022-10-02T17:33:59Z,1380000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M59.00S,2022-10-02T17:33:48.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612766,22,20,2022-10-02T17:33:59Z,1390000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M57.00S,2022-10-02T17:34:12.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630547,66.96780551905388,18.627450980392158,1610612766,22,20,2022-10-02T17:34:18Z,1400000,-157.0,258.0,1,right,MISS J. Bouknight 30' 3PT,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Left Center,30.2,Missed,,,,,,,,,,,,,,,,,,
142,PT02M55.00S,2022-10-02T17:34:14.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,22,20,2022-10-02T17:34:18Z,1410000,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,141.0,3.0,2.0,1.0,,,,,,,,,,,,,,
143,PT02M49.00S,2022-10-02T17:34:20.3Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,22,20,2022-10-02T17:34:25Z,1420000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1630547]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Bouknight,1630547.0,,,,,,,,,,
144,PT02M49.00S,2022-10-02T17:34:20.3Z,1,REGULAR,steal,,[],1630547,,,1610612766,22,20,2022-10-02T17:34:22Z,1430000,,,0,,J. Bouknight STEAL (1 STL),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
145,PT02M40.00S,2022-10-02T17:34:30.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203943,,,1610612766,22,20,2022-10-02T17:34:39Z,1440000,,,0,,N. Vonleh shooting personal FOUL (1 PF) (Thor 2 FT),"[203943, 1630550]",1610612738.0,BOS,shooting,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628482.0,1.0,0.0,Thor,1630550.0,,
147,PT02M40.00S,2022-10-02T17:34:54.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630550,,,1610612766,22,21,2022-10-02T17:34:54Z,1460000,,,0,,J. Thor Free Throw 1 of 2 (1 PTS),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
148,PT02M40.00S,2022-10-02T17:35:08.2Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630550,,,1610612766,22,22,2022-10-02T17:35:08Z,1470000,,,0,,J. Thor Free Throw 2 of 2 (2 PTS),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
149,PT02M29.00S,2022-10-02T17:35:20.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,21.76412614980289,93.62745098039215,1610612738,22,22,2022-10-02T17:35:25Z,1480000,-218.0,152.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.59,Missed,,,,,,,,,,,,,,,,,,
150,PT02M26.00S,2022-10-02T17:35:23.5Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,22,22,2022-10-02T17:35:23Z,1490000,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,,,149.0,1.0,0.0,1.0,,,,,,,,,,,,,,
151,PT02M24.00S,2022-10-02T17:35:25.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,35.8245729303548,53.92156862745098,1610612738,25,22,2022-10-02T17:35:29Z,1500000,-20.0,284.0,1,left,P. Pritchard 28' 3PT  (3 PTS) (G. Williams 1 AST),"[1630202, 1629684]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,28.5,Made,,,,,3.0,,,,G. Williams,1629684.0,1.0,,,,,,,
153,PT02M09.00S,2022-10-02T17:35:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,83.78777923784494,64.70588235294117,1610612766,25,22,2022-10-02T17:36:15Z,1520000,74.0,100.0,1,right,MISS T. Rozier 12' floating Shot,[1626179],1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Right,12.4,Missed,,,,,,,,,,,,,,,,,,
154,PT02M09.00S,2022-10-02T17:35:51.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,25,22,2022-10-02T17:36:15Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,153.0,,,,,,,,,,,,,,,,,
155,PT02M09.00S,2022-10-02T17:35:55.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612766,25,22,2022-10-02T17:36:05Z,1540000,,,0,,G. Williams loose ball personal FOUL (1 PF) (Richards 2 FT),"[1629684, 1630208]",1610612738.0,BOS,loose ball,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627961.0,1.0,0.0,Richards,1630208.0,,
157,PT02M09.00S,2022-10-02T17:36:14.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630208,,,1610612766,25,22,2022-10-02T17:36:14Z,1560000,,,0,,MISS N. Richards Free Throw 1 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
158,PT02M09.00S,2022-10-02T17:36:14.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,25,22,2022-10-02T17:36:14Z,1570000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,
159,PT02M09.00S,2022-10-02T17:36:31.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630208,,,1610612766,25,22,2022-10-02T17:36:31Z,1580000,,,0,,MISS N. Richards Free Throw 2 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
160,PT02M07.00S,2022-10-02T17:36:33.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,25,22,2022-10-02T17:36:33Z,1590000,,,0,,J. Brown REBOUND (Off:1 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,159.0,4.0,3.0,1.0,,,,,,,,,,,,,,
161,PT02M01.00S,2022-10-02T17:36:41.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629667,,,1610612738,25,22,2022-10-02T17:36:52Z,1600000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Brown 2 FT),"[1629667, 1627759]",1610612766.0,CHA,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1151.0,1.0,0.0,Brown,1627759.0,,
163,PT02M01.00S,2022-10-02T17:37:06.8Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,26,22,2022-10-02T17:37:06Z,1620000,,,0,,J. Brown Free Throw 1 of 2 (13 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,,,,,13.0,,,,,,,,,,,,,
164,PT02M01.00S,2022-10-02T17:37:22.5Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,26,22,2022-10-02T17:37:22Z,1630000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
165,PT01M59.00S,2022-10-02T17:37:23.9Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,26,22,2022-10-02T17:37:23Z,1640000,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,,,,,
166,PT01M44.00S,2022-10-02T17:37:38.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,87.99277266754271,4.6568627450980395,1610612766,26,22,2022-10-02T17:37:43Z,1650000,-227.0,60.0,1,right,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,23.46,Missed,,,,,,,,,,,,,,,,,,
167,PT01M41.00S,2022-10-02T17:37:40.9Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,26,22,2022-10-02T17:37:40Z,1660000,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Left Corner 3,24+ Left,,,166.0,2.0,1.0,1.0,,,,,,,,,,,,,,
168,PT01M39.00S,2022-10-02T17:37:43.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,93.9060446780552,50.49019607843137,1610612766,26,22,2022-10-02T17:37:47Z,1670000,2.0,5.0,1,right,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.54,Missed,,,,,,,,,,,,,,,,,,
169,PT01M37.00S,2022-10-02T17:37:45.4Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,26,22,2022-10-02T17:37:47Z,1680000,,,0,,N. Vonleh REBOUND (Off:0 Def:1),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Restricted Area,0-8 Center,,,168.0,1.0,1.0,0.0,,,,,,,,,,,,,,
170,PT01M25.00S,2022-10-02T17:37:57.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,26.62614980289093,43.872549019607845,1610612738,26,22,2022-10-02T17:38:02Z,1690000,31.0,198.0,1,left,MISS J. Brown 20' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,20.02,Missed,,,,,,,,,,,,,,,,,,
