actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
264,PT06M12.00S,2023-05-14T20:35:32.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201935,10.988830486202366,55.392156862745104,1610612755,35,37,2023-05-14T20:35:37Z,2500000,False,-27.0,51.0,1,left,J. Harden driving Layup (6 PTS),[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,,,,,,,,6.0,,,,,,,,,,
265,PT06M04.00S,2023-05-14T20:35:40.6Z,2,REGULAR,3pt,Jump Shot,[],201143,92.72339027595268,95.83333333333334,1610612738,38,37,2023-05-14T20:35:44Z,2510000,False,229.0,16.0,1,right,A. Horford 3PT  (6 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,22.98,Made,,,,,,,,6.0,J. Brown,1627759.0,1.0,,,,,,,
267,PT05M43.00S,2023-05-14T20:36:00.7Z,2,REGULAR,3pt,Jump Shot,[],203954,31.09395532194481,63.970588235294116,1610612755,38,37,2023-05-14T20:36:06Z,2530000,False,-70.0,240.0,1,left,MISS J. Embiid 24' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,24.98,Missed,,,,,,,,,,,,,,,,,,
268,PT05M42.00S,2023-05-14T20:36:01.7Z,2,REGULAR,rebound,offensive,[],201935,,,1610612755,38,37,2023-05-14T20:36:06Z,2540000,False,,,0,,J. Harden REBOUND (Off:1 Def:4),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,267.0,5.0,4.0,1.0,,,,,,,,,,,,,,
269,PT05M31.00S,2023-05-14T20:36:12.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630178,8.229303547963205,46.32352941176471,1610612755,38,39,2023-05-14T20:36:17Z,2550000,False,18.0,25.0,1,left,T. Maxey driving Layup (7 PTS) (J. Harden 5 AST),"[1630178, 201935]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,,,,7.0,J. Harden,201935.0,5.0,,,,,,,
271,PT05M15.00S,2023-05-14T20:36:29.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.14651773981603,44.85294117647059,1610612738,40,39,2023-05-14T20:36:33Z,2570000,False,-26.0,31.0,1,right,J. Tatum driving finger roll Layup (14 PTS),[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,4.0,Made,,,,,,,,14.0,,,,,,,,,,
272,PT05M00.00S,2023-05-14T20:36:43.6Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612755,40,39,2023-05-14T20:36:46Z,2580000,False,,,0,,J. Harden lost ball TURNOVER (3 TO),"[201935, 1629057]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,,,,,3.0,Williams III,1629057.0,,,,,,,,,,,
273,PT05M00.00S,2023-05-14T20:36:43.6Z,2,REGULAR,steal,,[],1629057,,,1610612738,40,39,2023-05-14T20:36:45Z,2590000,False,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
274,PT04M41.00S,2023-05-14T20:37:03.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,90.75229960578186,43.627450980392155,1610612738,42,39,2023-05-14T20:37:07Z,2600000,False,-32.0,34.0,1,right,J. Tatum driving Layup (16 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,,,,,,,,16.0,,,,,,,,,,
275,PT04M16.00S,2023-05-14T20:37:27.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.243101182654403,51.04549632352941,1610612755,42,41,2023-05-14T20:37:32Z,2610000,False,-5.0,91.0,1,left,J. Embiid 9' turnaround Jump Shot (7 PTS),[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,9.09,Made,,,,,,,,7.0,,,,,,,,,,
276,PT04M05.00S,2023-05-14T20:37:39.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629057,88.38699080157687,43.38235294117647,1610612738,42,41,2023-05-14T20:37:50Z,2620000,False,-33.0,57.0,1,right,MISS R. Williams III 6' driving floating Shot,[1629057],1610612738.0,BOS,driving floating,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
277,PT04M03.00S,2023-05-14T20:37:41.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,42,41,2023-05-14T20:37:50Z,2630000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,276.0,,,,,,,,,,,,,,,,,
279,PT04M03.00S,2023-05-14T20:37:51.1Z,2,REGULAR,substitution,out,[],200782,,,1610612755,42,41,2023-05-14T20:38:02Z,2650000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT04M03.00S,2023-05-14T20:37:51.1Z,2,REGULAR,substitution,in,[],1629001,,,1610612755,42,41,2023-05-14T20:38:02Z,2660000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT03M50.00S,2023-05-14T20:38:20.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203954,8.09789750328515,39.46078431372549,1610612755,42,41,2023-05-14T20:38:24Z,2670000,False,53.0,24.0,1,left,MISS J. Embiid driving bank Hook,[203954],1610612755.0,PHI,driving bank,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,5.77,Missed,,,,,,,,,,,,,,,,,,
282,PT03M48.00S,2023-05-14T20:38:22.3Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,42,41,2023-05-14T20:38:24Z,2680000,False,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,281.0,2.0,2.0,0.0,,,,,,,,,,,,,,
283,PT03M44.00S,2023-05-14T20:38:26.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.9862023653088,53.18627450980392,1610612738,44,41,2023-05-14T20:38:33Z,2690000,False,16.0,13.0,1,right,J. Brown running Layup (13 PTS),[1627759],1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,13.0,,,,,,,,,,
284,PT03M34.00S,2023-05-14T20:38:36.1Z,2,REGULAR,3pt,Jump Shot,[],1630178,26.888961892247043,16.176470588235293,1610612755,44,44,2023-05-14T20:38:43Z,2700000,False,169.0,200.0,1,left,T. Maxey 26' 3PT pullup (10 PTS) (J. Harden 6 AST),"[1630178, 201935]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.21,Made,,,,,,,,10.0,J. Harden,201935.0,6.0,,,,,,,
285,PT03M14.00S,2023-05-14T20:38:55.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,92.59198423127464,44.11764705882353,1610612738,44,44,2023-05-14T20:39:48Z,2710000,False,-29.0,17.0,1,right,MISS R. Williams III Layup - blocked,"[1629057, 203954]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,Embiid,203954.0
286,PT03M14.00S,2023-05-14T20:38:55.7Z,2,REGULAR,block,,[],203954,,,1610612738,44,44,2023-05-14T20:38:58Z,2720000,False,,,0,,J. Embiid BLOCK (2 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
287,PT03M13.00S,2023-05-14T20:38:56.7Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,44,44,2023-05-14T20:39:02Z,2730000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,285.0,3.0,3.0,0.0,,,,,,,,,,,,,,
288,PT03M09.00S,2023-05-14T20:39:01.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,6.783837056504599,43.38235294117647,1610612755,44,46,2023-05-14T20:39:06Z,2740000,False,33.0,11.0,1,left,T. Harris running Layup (8 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,3.5,Made,,,,,,,,8.0,,,,,,,,,,
289,PT02M53.00S,2023-05-14T20:39:16.9Z,2,REGULAR,3pt,Jump Shot,[],203935,71.69842312746385,80.3921568627451,1610612738,44,46,2023-05-14T20:39:23Z,2750000,False,152.0,214.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,26.21,Missed,,,,,,,,,,,,,,,,,,
290,PT02M52.00S,2023-05-14T20:39:17.9Z,2,REGULAR,rebound,defensive,[],1629001,,,1610612755,44,46,2023-05-14T20:39:23Z,2760000,False,,,0,,D. Melton REBOUND (Off:2 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,289.0,4.0,2.0,2.0,,,,,,,,,,,,,,
292,PT02M42.00S,2023-05-14T20:39:28.5Z,2,REGULAR,3pt,Jump Shot,[],1630178,20.45006570302234,89.95098039215686,1610612755,44,46,2023-05-14T20:39:34Z,2770000,False,-200.0,140.0,1,left,MISS T. Maxey 24' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,24.38,Missed,,,,,,,,,,,,,,,,,,
