actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT02M47.00S,2023-05-01T23:51:31.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,92.85479632063075,47.794117647058826,1610612738,31,25,2023-05-01T23:51:35Z,830000,False,-11.0,15.0,1,right,R. Williams III alley-oop DUNK (4 PTS) (M. Smart 3 AST),"[1629057, 203935]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,1.84,Made,4.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,
86,PT02M33.00S,2023-05-01T23:51:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,8.278580814717477,52.9373468137255,1610612755,31,25,2023-05-01T23:52:23Z,850000,False,-15.0,25.0,1,left,MISS D. Melton driving Layup,[1629001],1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,2.93,Missed,,,,,,,,,,,,,,,,,,
87,PT02M29.00S,2023-05-01T23:51:49.4Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,31,25,2023-05-01T23:51:56Z,860000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,
88,PT02M24.00S,2023-05-01T23:51:57.4Z,1,REGULAR,foul,personal,[],200782,,,1610612738,31,25,2023-05-01T23:52:11Z,870000,False,,,0,,P. Tucker personal FOUL (1 PF),"[200782, 1629684]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2004.0,,,,1.0,0.0,Williams,1629684.0
90,PT02M24.00S,2023-05-01T23:52:09.7Z,1,REGULAR,substitution,out,[],203935,,,1610612738,31,25,2023-05-01T23:52:19Z,890000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT02M24.00S,2023-05-01T23:52:09.7Z,1,REGULAR,substitution,out,[],200782,,,1610612738,31,25,2023-05-01T23:52:19Z,900000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT02M24.00S,2023-05-01T23:52:09.7Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,31,25,2023-05-01T23:52:19Z,910000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT02M24.00S,2023-05-01T23:52:09.7Z,1,REGULAR,substitution,in,[],1630194,,,1610612738,31,25,2023-05-01T23:52:19Z,920000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT02M13.00S,2023-05-01T23:52:38.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,67.49342969776609,33.57843137254902,1610612738,31,25,2023-05-01T23:52:45Z,930000,False,-82.0,253.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
95,PT02M11.00S,2023-05-01T23:52:40.5Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,31,25,2023-05-01T23:52:45Z,940000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Center,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,,
96,PT02M01.00S,2023-05-01T23:52:49.4Z,1,REGULAR,3pt,Jump Shot,[],201935,30.17411300919842,19.852941176470587,1610612755,31,25,2023-05-01T23:53:21Z,950000,False,151.0,231.0,1,left,MISS J. Harden 27' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.59,Missed,,,,,,,,,,,,,,,,,,
97,PT02M00.00S,2023-05-01T23:52:50.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,31,25,2023-05-01T23:52:55Z,960000,False,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Right Center,,,,,,,96.0,2.0,2.0,0.0,,,,,,,,,,
98,PT01M54.00S,2023-05-01T23:52:56.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627763,93.24901445466492,51.9607843137255,1610612738,33,25,2023-05-01T23:53:34Z,970000,False,10.0,11.0,1,right,M. Brogdon running reverse Layup (5 PTS) (D. White 1 AST),"[1627763, 1628401]",1610612738.0,BOS,running reverse,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,1.47,Made,5.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
100,PT01M31.00S,2023-05-01T23:53:19.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,12.697109067017081,95.83333333333334,1610612755,33,28,2023-05-01T23:53:24Z,990000,False,-229.0,67.0,1,left,D. Melton 3PT pullup (3 PTS) (G. Niang 1 AST),"[1629001, 1627777]",1610612755.0,PHI,pullup,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,23.88,Made,3.0,G. Niang,1627777.0,1.0,,,,,,,,,,,,,,
102,PT01M21.00S,2023-05-01T23:53:29.9Z,1,REGULAR,3pt,Jump Shot,[],1627763,73.40670170827858,81.86274509803921,1610612738,36,28,2023-05-01T23:53:34Z,1010000,False,159.0,197.0,1,right,M. Brogdon 25' 3PT  (8 PTS) (D. White 2 AST),"[1627763, 1628401]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,25.37,Made,8.0,D. White,1628401.0,2.0,,,,,,,,,,,,,,
104,PT01M01.00S,2023-05-01T23:53:49.1Z,1,REGULAR,3pt,Jump Shot,[],1627777,26.888961892247043,87.00980392156863,1610612755,36,31,2023-05-01T23:53:55Z,1030000,False,-185.0,200.0,1,left,G. Niang 27' 3PT  (3 PTS) (J. Harden 2 AST),"[1627777, 201935]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,27.27,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,
106,PT00M43.50S,2023-05-01T23:54:09.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.69842312746385,80.3921568627451,1610612738,36,31,2023-05-01T23:54:37Z,1050000,False,152.0,214.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.21,Missed,,,,,,,,,,,,,,,,,,
107,PT00M41.90S,2023-05-01T23:54:11.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,36,31,2023-05-01T23:54:18Z,1060000,False,,,0,,P. Reed REBOUND (Off:0 Def:2),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Right Center,,,,,,,106.0,2.0,2.0,0.0,,,,,,,,,,
108,PT00M32.30S,2023-05-01T23:54:21.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,9.543363994743759,46.568627450980394,1610612755,36,31,2023-05-01T23:54:34Z,1070000,False,17.0,37.0,1,left,MISS J. Harden driving Layup,[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
109,PT00M27.80S,2023-05-01T23:54:25.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,36,31,2023-05-02T00:00:20Z,1080000,False,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,,,108.0,3.0,3.0,0.0,,,,,,,,,,
110,PT00M22.90S,2023-05-01T23:54:31.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1627763,86.02168199737189,49.01960784313725,1610612738,38,31,2023-05-01T23:54:39Z,1090000,False,-5.0,79.0,1,right,M. Brogdon 7' driving floating Jump Shot (10 PTS),[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,10.0,,,,,,,,,,,,,,,,,
111,PT00M14.20S,2023-05-01T23:54:43.5Z,1,REGULAR,foul,personal,[],1628401,,,1610612755,38,31,2023-05-01T23:54:55Z,1100000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 201935]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2714.0,,,,1.0,0.0,Harden,201935.0
113,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,out,[],1629684,,,1610612755,38,31,2023-05-01T23:55:16Z,1120000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,out,[],1629667,,,1610612755,38,31,2023-05-01T23:55:16Z,1130000,False,,,0,,SUB out: J. McDaniels,[1629667],1610612755.0,PHI,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,out,[],1630194,,,1610612755,38,31,2023-05-01T23:55:16Z,1140000,False,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,in,[],203935,,,1610612755,38,31,2023-05-01T23:55:16Z,1150000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,38,31,2023-05-01T23:55:16Z,1160000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT00M14.20S,2023-05-01T23:54:53.6Z,1,REGULAR,substitution,in,[],202699,,,1610612755,38,31,2023-05-01T23:55:16Z,1170000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT00M05.30S,2023-05-01T23:55:28.1Z,1,REGULAR,3pt,Jump Shot,[],1627777,34.773324572930356,45.09803921568628,1610612755,38,31,2023-05-01T23:55:39Z,1180000,False,25.0,274.0,1,left,MISS G. Niang 27' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,27.55,Missed,,,,,,,,,,,,,,,,,,
120,PT00M02.50S,2023-05-01T23:55:30.9Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612755,38,31,2023-05-01T23:55:39Z,1190000,False,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,,,,,,,119.0,1.0,0.0,1.0,,,,,,,,,,
121,PT00M00.00S,2023-05-01T23:55:33.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,8.623521681997373,2.696078431372549,1610612755,38,31,2023-05-01T23:55:42Z,1200000,False,237.0,29.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,23.82,Missed,,,,,,,,,,,,,,,,,,
122,PT00M00.00S,2023-05-01T23:55:36.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,38,31,2023-05-01T23:55:36Z,1210000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,121.0,,,,,,,,,,,,,
123,PT00M00.00S,2023-05-01T23:55:37.5Z,1,REGULAR,period,end,[],0,,,1610612755,38,31,2023-05-01T23:55:37Z,1220000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,out,['startperiod'],1627759,,,1610612755,38,31,2023-05-01T23:58:49Z,1230000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,out,['startperiod'],203935,,,1610612755,38,31,2023-05-01T23:58:49Z,1240000,False,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,out,['startperiod'],201935,,,1610612755,38,31,2023-05-01T23:58:49Z,1250000,False,,,0,,SUB out: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612755,38,31,2023-05-01T23:58:49Z,1260000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612755,38,31,2023-05-01T23:58:49Z,1270000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT12M00.00S,2023-05-01T23:58:23.6Z,2,REGULAR,substitution,in,['startperiod'],1630194,,,1610612755,38,31,2023-05-01T23:58:49Z,1280000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT12M00.00S,2023-05-01T23:59:12.0Z,2,REGULAR,period,start,[],0,,,1610612738,38,31,2023-05-01T23:59:12Z,1290000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT11M40.00S,2023-05-01T23:59:32.9Z,2,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,38,31,2023-05-01T23:59:54Z,1300000,False,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2004.0,1.0,,,,,,
132,PT11M22.00S,2023-05-01T23:59:55.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,8.623521681997373,55.392156862745104,1610612755,38,31,2023-05-02T00:00:02Z,1310000,False,-27.0,29.0,1,left,MISS T. Maxey driving Layup - blocked,"[1630178, 1628369]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,,,,,Tatum,1628369.0,,,,,,,,
133,PT11M22.00S,2023-05-01T23:59:55.3Z,2,REGULAR,block,,[],1628369,,,1610612755,38,31,2023-05-01T23:59:57Z,1320000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
134,PT11M21.00S,2023-05-01T23:59:56.3Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,38,31,2023-05-02T00:00:02Z,1330000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,132.0,3.0,3.0,0.0,,,,,,,,,,
135,PT11M13.00S,2023-05-02T00:00:04.2Z,2,REGULAR,3pt,Jump Shot,[],1627763,78.79434954007884,6.372549019607843,1610612738,38,31,2023-05-02T00:00:10Z,1340000,False,-218.0,147.0,1,right,MISS M. Brogdon 26' 3PT,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,26.29,Missed,,,,,,,,,,,,,,,,,,
136,PT11M12.00S,2023-05-02T00:00:05.2Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,38,31,2023-05-02T00:00:10Z,1350000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,135.0,1.0,1.0,0.0,,,,,,,,,,
137,PT10M58.00S,2023-05-02T00:00:19.5Z,2,REGULAR,3pt,Jump Shot,[],1629001,21.895532194480946,4.6568627450980395,1610612755,38,34,2023-05-02T00:00:39Z,1360000,False,227.0,153.0,1,left,D. Melton 27' 3PT  (6 PTS) (T. Harris 1 AST),"[1629001, 202699]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,27.37,Made,6.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
140,PT10M32.00S,2023-05-02T00:00:57.5Z,2,REGULAR,3pt,Jump Shot,[],1628401,84.70762155059133,3.9215686274509802,1610612738,38,34,2023-05-02T00:01:07Z,1390000,False,-230.0,91.0,1,right,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left,24.78,Missed,,,,,,,,,,,,,,,,,,
141,PT10M30.00S,2023-05-02T00:00:59.5Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,38,34,2023-05-02T00:01:07Z,1400000,False,,,0,,A. Horford REBOUND (Off:2 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left,,,,,,,140.0,3.0,1.0,2.0,,,,,,,,,,
142,PT10M26.00S,2023-05-02T00:01:03.2Z,2,REGULAR,turnover,bad pass,[],201143,,,1610612738,38,34,2023-05-02T00:01:11Z,1410000,False,,,0,,A. Horford bad pass TURNOVER (2 TO),"[201143, 1630178]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,2.0,Maxey,1630178.0,,,,
143,PT10M26.00S,2023-05-02T00:01:03.2Z,2,REGULAR,steal,,[],1630178,,,1610612755,38,34,2023-05-02T00:01:05Z,1420000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
144,PT10M24.00S,2023-05-02T00:01:05.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,9.806176084099869,44.36274509803921,1610612755,38,36,2023-05-02T00:01:15Z,1430000,False,28.0,40.0,1,left,T. Maxey running Layup (5 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.87,Made,5.0,,,,,,,,,,,,,,,,,
146,PT10M11.00S,2023-05-02T00:01:25.6Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,38,36,2023-05-02T00:01:32Z,1450000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT10M11.00S,2023-05-02T00:01:25.6Z,2,REGULAR,substitution,in,[],1630573,,,1610612738,38,36,2023-05-02T00:01:32Z,1460000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT10M06.00S,2023-05-02T00:01:44.3Z,2,REGULAR,3pt,Jump Shot,[],1628401,69.33311432325887,76.47058823529412,1610612738,38,36,2023-05-02T00:08:09Z,1470000,False,132.0,236.0,1,right,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.04,Missed,,,,,,,,,,,,,,,,,,
149,PT10M05.00S,2023-05-02T00:01:45.3Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,38,36,2023-05-02T00:08:09Z,1480000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,,,148.0,2.0,2.0,0.0,,,,,,,,,,
150,PT09M55.00S,2023-05-02T00:01:52.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629001,9.806176084099869,43.872549019607845,1610612755,38,38,2023-05-02T00:04:03Z,1490000,False,31.0,40.0,1,left,D. Melton running Layup (8 PTS),[1629001],1610612755.0,PHI,running,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,5.01,Made,8.0,,,,,,,,,,,,,,,,,
151,PT09M42.00S,2023-05-02T00:02:06.2Z,2,REGULAR,3pt,Jump Shot,[],1628369,68.80749014454665,72.30392156862744,1610612738,41,38,2023-05-02T00:02:10Z,1500000,False,112.0,241.0,1,right,J. Tatum 26' 3PT  (9 PTS) (M. Brogdon 2 AST),"[1628369, 1627763]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,26.53,Made,9.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,,,,,
153,PT09M23.00S,2023-05-02T00:02:24.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.222733245729303,41.42156862745098,1610612755,41,40,2023-05-02T00:02:29Z,1520000,False,43.0,72.0,1,left,T. Harris 8' fadeaway Jump Shot (8 PTS),[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,8.36,Made,8.0,,,,,,,,,,,,,,,,,
154,PT09M14.00S,2023-05-02T00:02:35.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,88.64980289093299,38.48039215686275,1610612738,43,40,2023-05-02T00:02:39Z,1530000,False,-58.0,54.0,1,right,M. Brogdon 7' driving Layup (12 PTS),[1627763],1610612738.0,BOS,driving,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,12.0,,,,,,,,,,,,,,,,,
155,PT08M58.00S,2023-05-02T00:02:50.6Z,2,REGULAR,turnover,lost ball,[],1627777,,,1610612755,43,40,2023-05-02T00:02:56Z,1540000,False,,,0,,G. Niang lost ball TURNOVER (1 TO),"[1627777, 1628401]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1.0,White,1628401.0,,,,
156,PT08M58.00S,2023-05-02T00:02:50.6Z,2,REGULAR,steal,,[],1628401,,,1610612738,43,40,2023-05-02T00:02:54Z,1550000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
157,PT08M50.00S,2023-05-02T00:02:58.0Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",201143,91.5407358738502,41.42156862745098,1610612738,45,40,2023-05-02T00:03:02Z,1560000,False,-43.0,27.0,1,right,A. Horford turnaround Hook (4 PTS) (S. Hauser 1 AST),"[201143, 1630573]",1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,4.0,S. Hauser,1630573.0,1.0,,,,,,,,,,,,,,
159,PT08M33.00S,2023-05-02T00:03:15.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.565703022339028,35.78431372549019,1610612755,45,42,2023-05-02T00:03:19Z,1580000,False,71.0,66.0,1,left,T. Maxey 9' driving floating bank Jump Shot (7 PTS),[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,9.67,Made,7.0,,,,,,,,,,,,,,,,,
160,PT08M19.00S,2023-05-02T00:03:28.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,66.17936925098554,50.0,1610612738,48,42,2023-05-02T00:03:33Z,1590000,False,0.0,265.0,1,right,J. Tatum 26' 3PT step back (12 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,26.54,Made,12.0,,,,,,,,,,,,,,,,,
161,PT08M04.00S,2023-05-02T00:03:43.8Z,2,REGULAR,2pt,Jump Shot,[],1630178,14.14257555847569,32.1078431372549,1610612755,48,42,2023-05-02T00:03:48Z,1600000,False,89.0,80.0,1,left,MISS T. Maxey 12' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,12.03,Missed,,,,,,,,,,,,,,,,,,
162,PT08M02.00S,2023-05-02T00:03:46.1Z,2,REGULAR,rebound,offensive,[],1630194,,,1610612755,48,42,2023-05-02T00:03:46Z,1610000,False,,,0,,P. Reed REBOUND (Off:1 Def:2),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Mid-Range,8-16 Right,,,,,,,161.0,3.0,2.0,1.0,,,,,,,,,,
163,PT07M59.00S,2023-05-02T00:03:49.3Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629001,24.392247043363994,8.57843137254902,1610612755,48,45,2023-05-02T00:03:54Z,1620000,False,207.0,177.0,1,left,D. Melton 27' 3PT  (11 PTS) (T. Harris 2 AST),"[1629001, 202699]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,27.23,Made,11.0,T. Harris,202699.0,2.0,,,,,,,,,,,,,,
165,PT07M40.00S,2023-05-02T00:04:09.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.9862023653088,52.20588235294118,1610612738,50,45,2023-05-02T00:04:12Z,1640000,False,11.0,13.0,1,right,J. Tatum driving Layup (14 PTS) (A. Horford 2 AST),"[1628369, 201143]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.73,Made,14.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,
167,PT07M27.00S,2023-05-02T00:04:21.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,9.017739816031538,55.63725490196079,1610612755,50,45,2023-05-02T00:04:28Z,1660000,False,-28.0,32.0,1,left,MISS D. Melton driving Layup - blocked,"[1629001, 201143]",1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,Horford,201143.0,,,,,,,,
