actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
505,PT02M46.00S,2023-05-26T02:36:48.2Z,4,REGULAR,3pt,Jump Shot,[],1630573,6.1268068331143235,3.9215686274509802,1610612738,107,90,2023-05-26T02:37:43Z,4960000,False,230.0,5.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,23.05,Missed,,,,,,,,,,,,,,,
506,PT02M44.00S,2023-05-26T02:36:50.2Z,4,REGULAR,rebound,offensive,[],1629684,,,1610612738,107,90,2023-05-26T02:36:58Z,4970000,False,,,0,,G. Williams REBOUND (Off:2 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,505.0,4.0,2.0,2.0,,,,,,,
507,PT02M37.00S,2023-05-26T02:36:58.4Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630573,10.068988173455978,55.392156862745104,1610612738,107,90,2023-05-26T02:37:08Z,4980000,False,-27.0,42.0,1,left,MISS S. Hauser driving Layup - blocked,"[1630573, 1630209]",1610612738.0,BOS,driving,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,5.0,Missed,,,,,,,,,Yurtseven,1630209.0,,,,,
508,PT02M37.00S,2023-05-26T02:36:58.4Z,4,REGULAR,block,,[],1630209,,,1610612738,107,90,2023-05-26T02:37:01Z,4990000,False,,,0,,O. Yurtseven BLOCK (1 BLK),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
509,PT02M35.00S,2023-05-26T02:37:00.4Z,4,REGULAR,rebound,offensive,[],1630573,,,1610612738,107,90,2023-05-26T02:37:08Z,5000000,False,,,0,,S. Hauser REBOUND (Off:1 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,507.0,1.0,0.0,1.0,,,,,,,
510,PT02M32.00S,2023-05-26T02:37:02.8Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,9.017739816031538,95.34313725490196,1610612738,107,90,2023-05-26T02:37:13Z,5010000,False,-227.0,32.0,1,left,MISS P. Pritchard 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Left Corner 3,24+ Left,,,,22.9,Missed,,,,,,,,,,,,,,,
511,PT02M30.00S,2023-05-26T02:37:04.8Z,4,REGULAR,rebound,defensive,[],1630209,,,1610612748,107,90,2023-05-26T02:37:13Z,5020000,False,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,Left Corner 3,24+ Left,,,,,,,,,,510.0,1.0,1.0,0.0,,,,,,,
512,PT02M22.00S,2023-05-26T02:37:13.8Z,4,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612748,107,90,2023-05-26T02:38:10Z,5030000,False,,,0,,G. Williams shooting personal FOUL (3 PF) (Robinson 2 FT),"[1629684, 1629130]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1830.0,3.0,0.0,Robinson,1629130.0
514,PT02M22.00S,2023-05-26T02:37:46.9Z,4,REGULAR,freethrow,1 of 2,[],1629130,,,1610612748,107,91,2023-05-26T02:38:16Z,5050000,False,,,0,,D. Robinson Free Throw 1 of 2 (15 PTS),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,Made,15.0,,,,,,,,,,,,,,
515,PT02M22.00S,2023-05-26T02:37:47.6Z,4,REGULAR,substitution,out,[],1628401,,,1610612748,107,91,2023-05-26T02:37:52Z,5060000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
