actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
313,PT00M00.10S,2023-05-22T01:30:23.3Z,2,REGULAR,rebound,defensive,[],203935,,,1610612738,61,46,2023-05-22T01:43:20Z,2990000,False,,,0,,M. Smart REBOUND (Off:0 Def:4),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Right,,,312.0,4.0,4.0,0.0,,,,,,,,,,,,,,
314,PT00M00.00S,2023-05-22T01:30:31.6Z,2,REGULAR,period,end,[],0,,,1610612738,61,46,2023-05-22T01:43:20Z,3000000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT12M00.00S,2023-05-22T01:31:03.0Z,3,REGULAR,substitution,out,['startperiod'],1629684,,,1610612738,61,46,2023-05-22T01:47:05Z,3010000,False,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT12M00.00S,2023-05-22T01:31:03.0Z,3,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,61,46,2023-05-22T01:47:05Z,3020000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2023-05-22T01:47:24.1Z,3,REGULAR,period,start,[],0,,,1610612748,61,46,2023-05-22T01:47:24Z,3030000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT11M45.00S,2023-05-22T01:47:41.0Z,3,REGULAR,turnover,out-of-bounds,[],1629216,,,1610612748,61,46,2023-05-22T01:47:45Z,3040000,False,,,0,,G. Vincent bad pass out-of-bounds TURNOVER (2 TO),[1629216],1610612748.0,MIA,bad pass,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Right,,,,,,,,,,,2.0,,,,,200832.0,,,,
322,PT11M45.00S,2023-05-22T01:47:53.3Z,3,REGULAR,violation,delay-of-game,['team'],0,,,1610612738,61,46,2023-05-22T01:48:01Z,3050000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,202041.0,,,,
323,PT11M33.00S,2023-05-22T01:48:12.1Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,94.56307490144546,2.696078431372549,1610612738,61,46,2023-05-22T01:48:22Z,3060000,False,-237.0,-1.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,23.65,Missed,,,,,,,,,,,,,,,,,,
324,PT11M32.00S,2023-05-22T01:48:13.1Z,3,REGULAR,rebound,offensive,[],203935,,,1610612738,61,46,2023-05-22T01:48:22Z,3070000,False,,,0,,M. Smart REBOUND (Off:1 Def:4),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,323.0,5.0,4.0,1.0,,,,,,,,,,,,,,
325,PT11M30.00S,2023-05-22T01:48:19.1Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",203935,86.81011826544021,50.245098039215684,1610612738,61,48,2023-05-22T01:48:25Z,3080000,False,1.0,71.0,1,right,M. Smart 7' fadeaway Jump Shot (5 PTS),[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,7.15,Made,,,,,5.0,,,,,,,,,,,,,
326,PT11M30.00S,2023-05-22T01:48:23.2Z,3,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612738,61,48,2023-05-22T01:48:30Z,3090000,False,,,0,,B. Adebayo shooting personal FOUL (2 PF) (Smart 1 FT),"[1628389, 203935]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,200832.0,2.0,0.0,Smart,203935.0
328,PT11M30.00S,2023-05-22T01:48:39.2Z,3,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",203935,,,1610612738,61,49,2023-05-22T01:48:39Z,3110000,False,,,0,,M. Smart Free Throw 1 of 1 (6 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
