actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
86,PT04M49.00S,2022-10-07T23:51:46.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,26,17,2022-10-07T23:51:46Z,860000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:3),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,4.0,3.0,1.0,,,,,,,,,,,,,,
87,PT04M44.00S,2022-10-07T23:51:51.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626162,92.0335085413929,60.049019607843135,1610612766,26,17,2022-10-07T23:51:58Z,870000,50.0,22.0,1,right,MISS K. Oubre Jr. fadeaway Shot,[1626162],1610612766.0,CHA,fadeaway,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
88,PT04M42.00S,2022-10-07T23:51:52.9Z,1,REGULAR,rebound,defensive,[],203943,,,1610612738,26,17,2022-10-07T23:51:52Z,880000,,,0,,N. Vonleh REBOUND (Off:0 Def:3),[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,In The Paint (Non-RA),0-8 Center,,,87.0,3.0,3.0,0.0,,,,,,,,,,,,,,
89,PT04M36.00S,2022-10-07T23:51:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630573,25.673455978975028,12.25490196078431,1610612738,26,17,2022-10-07T23:52:03Z,890000,189.0,189.0,1,left,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
90,PT04M34.00S,2022-10-07T23:52:00.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,26,17,2022-10-07T23:52:00Z,900000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Right Center,,,89.0,3.0,2.0,1.0,,,,,,,,,,,,,,
91,PT04M30.00S,2022-10-07T23:52:08.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,26,17,2022-10-07T23:52:08Z,910000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,out,[],1626162,,,1610612766,26,17,2022-10-07T23:54:47Z,920000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,26,17,2022-10-07T23:54:47Z,930000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,out,[],203943,,,1610612766,26,17,2022-10-07T23:54:47Z,940000,,,0,,SUB out: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,26,17,2022-10-07T23:54:47Z,950000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,in,[],1630547,,,1610612766,26,17,2022-10-07T23:54:47Z,960000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M30.00S,2022-10-07T23:54:29.3Z,1,REGULAR,substitution,in,[],201933,,,1610612766,26,17,2022-10-07T23:54:47Z,970000,,,0,,SUB in: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M19.00S,2022-10-07T23:55:06.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,68.77463863337714,68.38235294117646,1610612766,29,17,2022-10-07T23:55:10Z,980000,92.0,241.0,1,right,P. Washington 25' 3PT  (8 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.79,Made,,,,,8.0,,,,,,,,,,,,,
99,PT04M02.00S,2022-10-07T23:55:23.5Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,29,17,2022-10-07T23:55:28Z,990000,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1629023]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Washington,1629023.0,,
100,PT04M02.00S,2022-10-07T23:55:23.5Z,1,REGULAR,steal,,[],1629023,,,1610612766,29,17,2022-10-07T23:55:26Z,1000000,,,0,,P. Washington STEAL (2 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
101,PT03M52.00S,2022-10-07T23:55:33.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,64.56964520367937,50.0,1610612766,29,17,2022-10-07T23:55:37Z,1010000,0.0,281.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,28.05,Missed,,,,,,,,,,,,,,,,,,
102,PT03M50.00S,2022-10-07T23:55:35.4Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,29,17,2022-10-07T23:55:35Z,1020000,,,0,,P. Washington REBOUND (Off:1 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,101.0,2.0,1.0,1.0,,,,,,,,,,,,,,
103,PT03M48.00S,2022-10-07T23:55:37.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629023,75.21353482260184,84.80392156862746,1610612766,29,17,2022-10-07T23:55:40Z,1030000,174.0,180.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.07,Missed,,,,,,,,,,,,,,,,,,
104,PT03M46.00S,2022-10-07T23:55:39.4Z,1,REGULAR,rebound,defensive,[],201933,,,1610612738,29,17,2022-10-07T23:55:39Z,1040000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Right Center,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,,,
105,PT03M38.00S,2022-10-07T23:55:47.0Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,29,17,2022-10-07T23:56:02Z,1050000,,,0,,J. Brown step out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,step,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,203592.0,,,,,2.0,,,,
106,PT03M37.00S,2022-10-07T23:55:53.0Z,1,REGULAR,substitution,out,[],203486,,,1610612766,29,17,2022-10-07T23:55:56Z,1060000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M37.00S,2022-10-07T23:55:53.0Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,29,17,2022-10-07T23:55:56Z,1070000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M25.00S,2022-10-07T23:56:19.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,66.80354796320631,62.745098039215684,1610612766,32,17,2022-10-07T23:56:24Z,1080000,64.0,260.0,1,right,L. Ball 26' 3PT step back (15 PTS),[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,26.72,Made,,,,,15.0,,,,,,,,,,,,,
109,PT03M05.00S,2022-10-07T23:56:39.5Z,1,REGULAR,3pt,Jump Shot,[],201933,33.03219448094612,59.068627450980394,1610612738,32,17,2022-10-07T23:56:46Z,1090000,-45.0,258.0,1,left,MISS B. Griffin 26' bank 3PT,[201933],1610612738.0,BOS,bank,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Center,26.19,Missed,,,,,,,,,,,,,,,,,,
110,PT03M01.00S,2022-10-07T23:56:43.7Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,32,17,2022-10-07T23:56:43Z,1100000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
111,PT02M54.00S,2022-10-07T23:56:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,82.04664914586071,57.59803921568628,1610612766,32,17,2022-10-07T23:56:56Z,1110000,38.0,116.0,1,right,MISS L. Ball 12' floating Shot,[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,12.24,Missed,,,,,,,,,,,,,,,,,,
112,PT02M52.00S,2022-10-07T23:56:52.4Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,32,17,2022-10-07T23:56:52Z,1120000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,,,111.0,1.0,0.0,1.0,,,,,,,,,,,,,,
113,PT02M50.00S,2022-10-07T23:56:54.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629023,71.27135348226018,77.69607843137254,1610612766,32,17,2022-10-07T23:56:58Z,1130000,138.0,218.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
114,PT02M50.00S,2022-10-07T23:56:54.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,32,17,2022-10-07T23:56:58Z,1140000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT02M46.00S,2022-10-07T23:56:58.7Z,1,REGULAR,turnover,bad pass,[],1629684,,,1610612738,32,17,2022-10-07T23:57:02Z,1150000,,,0,,G. Williams bad pass TURNOVER (1 TO),"[1629684, 1630163]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Ball,1630163.0,,
116,PT02M46.00S,2022-10-07T23:56:58.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,32,17,2022-10-07T23:57:00Z,1160000,,,0,,L. Ball STEAL (2 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
117,PT02M42.00S,2022-10-07T23:57:03.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,78.10446780551905,7.843137254901961,1610612766,32,17,2022-10-07T23:57:06Z,1170000,-211.0,153.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
118,PT02M40.00S,2022-10-07T23:57:04.5Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,32,17,2022-10-07T23:57:04Z,1180000,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Left Center,,,117.0,1.0,0.0,1.0,,,,,,,,,,,,,,
119,PT02M38.00S,2022-10-07T23:57:06.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629667,67.46057818659658,38.48039215686274,1610612766,32,17,2022-10-07T23:57:11Z,1190000,-58.0,253.0,1,right,MISS J. McDaniels 25' 3PT,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,25.99,Missed,,,,,,,,,,,,,,,,,,
120,PT02M37.00S,2022-10-07T23:57:07.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,32,17,2022-10-07T23:58:39Z,1200000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,119.0,2.0,2.0,0.0,,,,,,,,,,,,,,
121,PT02M37.00S,2022-10-07T23:57:13.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,32,17,2022-10-07T23:58:01Z,1210000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,out,[],1630163,,,1610612738,32,17,2022-10-07T23:59:46Z,1220000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,out,[],1629023,,,1610612738,32,17,2022-10-07T23:59:46Z,1230000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,32,17,2022-10-07T23:59:46Z,1240000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,out,[],1629684,,,1610612738,32,17,2022-10-07T23:59:46Z,1250000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,32,17,2022-10-07T23:59:46Z,1260000,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,in,[],1630550,,,1610612738,32,17,2022-10-07T23:59:46Z,1270000,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,in,[],1626179,,,1610612738,32,17,2022-10-07T23:59:46Z,1280000,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,in,[],1627774,,,1610612738,32,17,2022-10-07T23:59:46Z,1290000,,,0,,SUB in: J. Layman,[1627774],1610612738.0,BOS,,,,Layman,J. Layman,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,in,[],1630271,,,1610612738,32,17,2022-10-07T23:59:46Z,1300000,,,0,,SUB in: B. Thomas,[1630271],1610612738.0,BOS,,,,Thomas,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M34.00S,2022-10-07T23:57:44.9Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,32,17,2022-10-07T23:59:46Z,1310000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M26.00S,2022-10-08T00:00:04.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,14.109724047306173,49.26470588235294,1610612738,32,17,2022-10-08T00:09:19Z,1320000,4.0,80.0,1,left,MISS J. Brown 8' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,8.02,Missed,,,,,,,,,,,,,,,,,,
133,PT02M24.00S,2022-10-08T00:00:06.5Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,32,17,2022-10-08T00:00:06Z,1330000,,,0,,T. Rozier REBOUND (Off:2 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,132.0,3.0,1.0,2.0,,,,,,,,,,,,,,
134,PT02M04.00S,2022-10-08T00:00:26.6Z,1,REGULAR,foul,personal,['2freethrow'],1630271,,,1610612766,32,17,2022-10-08T00:00:38Z,1340000,,,0,,B. Thomas shooting personal FOUL (1 PF) (Richards 2 FT),"[1630271, 1630208]",1610612738.0,BOS,shooting,,,Thomas,B. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203592.0,1.0,0.0,Richards,1630208.0,,,,,
136,PT02M04.00S,2022-10-08T00:00:49.9Z,1,REGULAR,freethrow,1 of 2,[],1630208,,,1610612766,32,17,2022-10-08T00:00:49Z,1360000,,,0,,MISS N. Richards Free Throw 1 of 2,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
137,PT02M04.00S,2022-10-08T00:00:49.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,32,17,2022-10-08T00:00:49Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,
138,PT02M04.00S,2022-10-08T00:01:08.8Z,1,REGULAR,freethrow,2 of 2,[],1630208,,,1610612766,33,17,2022-10-08T00:01:08Z,1380000,,,0,,N. Richards Free Throw 2 of 2 (1 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
139,PT01M57.00S,2022-10-08T00:01:21.9Z,1,REGULAR,foul,personal,[],1630208,,,1610612738,33,17,2022-10-08T00:01:31Z,1390000,,,0,,N. Richards personal FOUL (1 PF),"[1630208, 201933]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,2534.0,1.0,0.0,Griffin,201933.0,,,,,
141,PT01M52.00S,2022-10-08T00:01:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,8.984888304862025,49.50980392156863,1610612738,33,17,2022-10-08T00:01:42Z,1410000,2.0,32.0,1,left,MISS J. Brown driving Layup - blocked,"[1627759, 1630208]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,Richards,1630208.0
142,PT01M52.00S,2022-10-08T00:01:37.8Z,1,REGULAR,block,,[],1630208,,,1610612738,33,17,2022-10-08T00:01:40Z,1420000,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
143,PT01M49.00S,2022-10-08T00:01:40.8Z,1,REGULAR,rebound,offensive,[],201933,,,1610612738,33,17,2022-10-08T00:01:42Z,1430000,,,0,,B. Griffin REBOUND (Off:1 Def:1),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Restricted Area,0-8 Center,,,141.0,2.0,1.0,1.0,,,,,,,,,,,,,,
144,PT01M48.00S,2022-10-08T00:01:41.5Z,1,REGULAR,turnover,bad pass,[],201933,,,1610612738,33,17,2022-10-08T00:01:44Z,1440000,,,0,,B. Griffin bad pass TURNOVER (1 TO),"[201933, 1626179]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,
145,PT01M48.00S,2022-10-08T00:01:41.5Z,1,REGULAR,steal,,[],1626179,,,1610612766,33,17,2022-10-08T00:01:43Z,1450000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
146,PT01M39.00S,2022-10-08T00:01:50.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630547,88.61695137976346,51.470588235294116,1610612766,33,17,2022-10-08T00:01:56Z,1460000,7.0,55.0,1,right,MISS J. Bouknight driving Layup,[1630547],1610612766.0,CHA,driving,,,Bouknight,J. Bouknight,,,,,In The Paint (Non-RA),0-8 Center,5.5,Missed,,,,,,,,,,,,,,,,,,
147,PT01M37.00S,2022-10-08T00:01:52.7Z,1,REGULAR,rebound,defensive,[],1630271,,,1610612738,33,17,2022-10-08T02:00:07Z,1470000,,,0,,B. Thomas REBOUND (Off:0 Def:1),[1630271],1610612738.0,BOS,,,,Thomas,B. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,146.0,1.0,1.0,0.0,,,,,,,,,,,,,,
668,PT01M36.00S,2022-10-08T00:01:55.6Z,1,REGULAR,turnover,bad pass,[],1630271,,,1610612738,33,17,2022-10-08T02:01:48Z,1475000,,,0,,B. Thomas bad pass TURNOVER (1 TO),"[1630271, 1630547]",1610612738.0,BOS,,,,Thomas,B. Thomas,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1.0,Bouknight,1630547.0,,
669,PT01M36.00S,2022-10-08T00:01:55.6Z,1,REGULAR,steal,,[],1630547,,,1610612766,33,17,2022-10-08T02:01:23Z,1477500,,,0,,J. Bouknight STEAL (1 STL),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
148,PT01M29.00S,2022-10-08T00:02:00.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630550,92.42772667542707,97.30392156862744,1610612766,33,17,2022-10-08T02:01:23Z,1480000,237.0,19.0,1,right,MISS J. Thor 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,Right Corner 3,24+ Right,23.72,Missed,,,,,,,,,,,,,,,,,,
149,PT01M27.00S,2022-10-08T00:02:02.7Z,1,REGULAR,rebound,defensive,[],201933,,,1610612738,33,17,2022-10-08T00:02:02Z,1490000,,,0,,B. Griffin REBOUND (Off:1 Def:2),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Right Corner 3,24+ Right,,,148.0,3.0,2.0,1.0,,,,,,,,,,,,,,
150,PT01M20.00S,2022-10-08T00:02:10.6Z,1,REGULAR,violation,kicked ball,[],1629667,,,1610612738,33,17,2022-10-08T00:02:16Z,1500000,,,0,,J. McDaniels kicked ball VIOLATION,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,203592.0,,,,,,,,,
151,PT01M20.00S,2022-10-08T00:02:14.6Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,33,17,2022-10-08T00:02:19Z,1510000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT01M20.00S,2022-10-08T00:02:14.6Z,1,REGULAR,substitution,in,[],1628382,,,1610612738,33,17,2022-10-08T00:02:19Z,1520000,,,0,,SUB in: J. Jackson,[1628382],1610612738.0,BOS,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M10.00S,2022-10-08T00:02:35.5Z,1,REGULAR,2pt,Jump Shot,[],1630202,29.61563731931669,47.30392156862745,1610612738,33,19,2022-10-08T00:14:16Z,1530000,13.0,226.0,1,left,P. Pritchard 22' pullup Jump Shot (2 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Center,22.63,Made,,,,,2.0,,,,,,,,,,,,,
154,PT00M53.10S,2022-10-08T00:02:53.3Z,1,REGULAR,turnover,lost ball,[],1629667,,,1610612766,33,19,2022-10-08T00:02:57Z,1540000,,,0,,J. McDaniels lost ball TURNOVER (1 TO),"[1629667, 1630202]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Pritchard,1630202.0,,
155,PT00M53.10S,2022-10-08T00:02:53.3Z,1,REGULAR,steal,,[],1630202,,,1610612738,33,19,2022-10-08T00:02:54Z,1550000,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
156,PT00M35.30S,2022-10-08T00:03:11.0Z,1,REGULAR,turnover,lost ball,[],1627774,,,1610612738,33,19,2022-10-08T00:03:15Z,1560000,,,0,,J. Layman lost ball TURNOVER (1 TO),"[1627774, 1630547]",1610612738.0,BOS,,,,Layman,J. Layman,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Bouknight,1630547.0,,
157,PT00M35.30S,2022-10-08T00:03:11.0Z,1,REGULAR,steal,,[],1630547,,,1610612766,33,19,2022-10-08T00:03:12Z,1570000,,,0,,J. Bouknight STEAL (2 STL),[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
158,PT00M30.40S,2022-10-08T00:03:15.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629667,91.77069645203679,48.0392156862745,1610612766,35,19,2022-10-08T00:15:46Z,1580000,-10.0,25.0,1,right,J. McDaniels running alley-oop DUNK (2 PTS) (T. Rozier 3 AST),"[1629667, 1626179]",1610612766.0,CHA,running alley-oop,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,2.0,T. Rozier,1626179.0,3.0,,,,,,,,,,
160,PT00M07.00S,2022-10-08T00:03:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630202,32.50657030223391,39.70588235294118,1610612738,35,22,2022-10-08T00:03:48Z,1600000,51.0,253.0,1,left,P. Pritchard 25' 3PT pullup (5 PTS),[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,5.0,,,,,,,,,,,,,
164,PT00M00.00S,2022-10-08T00:04:50.9Z,1,REGULAR,period,end,[],0,,,1610612766,35,22,2022-10-08T00:04:50Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
