actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
84,PT04M15.00S,2023-04-25T23:48:45.4Z,1,REGULAR,turnover,offensive foul,[],1628381,,,1610612737,22,21,2023-04-25T23:48:45Z,830000,False,,,0,,J. Collins offensive foul TURNOVER (1 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201639.0,1.0,,,,,,
85,PT04M15.00S,2023-04-25T23:48:53.7Z,1,REGULAR,substitution,out,[],203991,,,1610612738,22,21,2023-04-25T23:49:02Z,840000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M15.00S,2023-04-25T23:48:53.7Z,1,REGULAR,substitution,in,[],1630168,,,1610612738,22,21,2023-04-25T23:49:02Z,850000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M01.00S,2023-04-25T23:49:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,93.24901445466492,58.57843137254902,1610612738,22,21,2023-04-25T23:49:20Z,860000,False,43.0,11.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
88,PT03M59.00S,2023-04-25T23:49:17.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,22,21,2023-04-25T23:49:20Z,870000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,
89,PT03M55.00S,2023-04-25T23:49:21.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630180,18.134034165571617,88.99356617647058,1610612737,22,21,2023-04-25T23:55:51Z,880000,False,-195.0,118.0,1,left,MISS S. Bey 22' running Shot - blocked,"[1630180, 201143]",1610612737.0,ATL,running,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left,22.79,Missed,,,,,,Horford,201143.0,,,,,,,,,,,
90,PT03M55.00S,2023-04-25T23:49:21.6Z,1,REGULAR,block,,[],201143,,,1610612737,22,21,2023-04-25T23:49:25Z,890000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
91,PT03M54.00S,2023-04-25T23:49:22.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,22,21,2023-04-25T23:49:30Z,900000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,89.0,,,,,,,,,,,,,,,,
93,PT03M54.00S,2023-04-25T23:49:30.0Z,1,REGULAR,substitution,out,[],201143,,,1610612737,22,21,2023-04-25T23:49:42Z,920000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT03M54.00S,2023-04-25T23:49:30.0Z,1,REGULAR,substitution,out,[],1628381,,,1610612737,22,21,2023-04-25T23:49:42Z,930000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT03M54.00S,2023-04-25T23:49:30.0Z,1,REGULAR,substitution,in,[],1630573,,,1610612737,22,21,2023-04-25T23:49:42Z,940000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M54.00S,2023-04-25T23:49:30.0Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,22,21,2023-04-25T23:49:42Z,950000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M44.00S,2023-04-25T23:49:57.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630552,31.09395532194481,26.47058823529412,1610612737,22,24,2023-04-25T23:50:03Z,960000,False,118.0,240.0,1,left,J. Johnson 26' 3PT  (3 PTS) (O. Okongwu 1 AST),"[1630552, 1630168]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,26.71,Made,3.0,,,,,,,O. Okongwu,1630168.0,1.0,,,,,,,,
99,PT03M22.00S,2023-04-25T23:50:19.8Z,1,REGULAR,2pt,Jump Shot,[],1627763,77.21747700394218,51.470588235294116,1610612738,24,24,2023-04-25T23:50:25Z,980000,False,7.0,162.0,1,right,M. Brogdon 16' step back Jump Shot (2 PTS),[1627763],1610612738.0,BOS,step back,,,Brogdon,M. Brogdon,,,,,Mid-Range,16-24 Center,16.19,Made,2.0,,,,,,,,,,,,,,,,,
100,PT03M07.00S,2023-04-25T23:50:34.5Z,1,REGULAR,3pt,Jump Shot,[],1630552,32.013797634691194,32.35294117647059,1610612737,24,24,2023-04-25T23:50:49Z,990000,False,88.0,248.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
101,PT03M05.00S,2023-04-25T23:50:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,24,24,2023-04-26T00:00:34Z,1000000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,100.0,,,,,,,,,,,,,,,,
102,PT03M05.00S,2023-04-25T23:50:43.7Z,1,REGULAR,foul,personal,[],1627763,,,1610612737,24,24,2023-04-26T00:00:42Z,1010000,False,,,0,,M. Brogdon loose ball personal FOUL (1 PF),"[1627763, 1630168]",1610612738.0,BOS,loose ball,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,201639.0,,1.0,0.0,Okongwu,1630168.0,,
104,PT02M57.00S,2023-04-25T23:51:07.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,12.171484888304862,25.98039215686275,1610612737,24,24,2023-04-26T00:00:25Z,1030000,False,120.0,62.0,1,left,MISS D. Hunter 13' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,13.51,Missed,,,,,,,,,,,,,,,,,,
105,PT02M55.00S,2023-04-25T23:51:09.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,24,24,2023-04-25T23:51:30Z,1040000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Mid-Range,8-16 Right,,,,104.0,,,,,,,,,,,,,,,,
106,PT02M55.00S,2023-04-25T23:51:18.7Z,1,REGULAR,foul,personal,[],1629057,,,1610612737,24,24,2023-04-25T23:51:25Z,1050000,False,,,0,,R. Williams III loose ball personal FOUL (1 PF),"[1629057, 1630180]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,202027.0,,1.0,0.0,Bey,1630180.0,,
108,PT02M55.00S,2023-04-25T23:51:35.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,24,24,2023-04-25T23:51:35Z,1070000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M55.00S,2023-04-25T23:54:07.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612737,24,24,2023-04-25T23:54:41Z,1080000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M55.00S,2023-04-25T23:54:07.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612737,24,24,2023-04-25T23:54:41Z,1090000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M55.00S,2023-04-25T23:54:07.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612737,24,24,2023-04-25T23:54:41Z,1100000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M55.00S,2023-04-25T23:54:07.3Z,1,REGULAR,substitution,in,[],203935,,,1610612737,24,24,2023-04-25T23:54:41Z,1110000,False,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M47.00S,2023-04-25T23:55:04.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,32.40801576872536,59.31372549019608,1610612737,24,27,2023-04-25T23:55:10Z,1120000,False,-47.0,252.0,1,left,O. Okongwu 25' 3PT  (3 PTS) (T. Young 3 AST),"[1630168, 1629027]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,25.64,Made,3.0,,,,,,,T. Young,1629027.0,3.0,,,,,,,,
115,PT02M17.00S,2023-04-25T23:55:37.5Z,1,REGULAR,2pt,Jump Shot,[],1627763,78.53153745072274,50.245098039215684,1610612738,24,27,2023-04-26T00:19:16Z,1140000,False,1.0,149.0,1,right,MISS M. Brogdon 14' driving floating Shot,[1627763],1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Center,14.93,Missed,,,,,,,,,,,,,,,,,,
116,PT02M10.00S,2023-04-25T23:55:44.5Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612737,24,27,2023-04-26T00:19:16Z,1150000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Center,,,,115.0,1.0,1.0,0.0,,,,,,,,,,,,,
117,PT01M48.00S,2023-04-25T23:56:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,8.14717477003942,63.99356617647059,1610612737,24,27,2023-04-25T23:56:10Z,1160000,False,-70.0,24.0,1,left,MISS D. Hunter 7' driving Layup,[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,7.4,Missed,,,,,,,,,,,,,,,,,,
118,PT01M45.00S,2023-04-25T23:56:05.9Z,1,REGULAR,rebound,defensive,[],1627763,,,1610612738,24,27,2023-04-25T23:56:10Z,1170000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:1),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,
119,PT01M39.00S,2023-04-25T23:56:11.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.17279894875165,21.07843137254902,1610612738,24,27,2023-04-25T23:56:22Z,1180000,False,-145.0,218.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
120,PT01M37.00S,2023-04-25T23:56:19.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,24,27,2023-04-25T23:56:19Z,1190000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,119.0,,,,,,,,,,,,,,,,
122,PT01M37.00S,2023-04-25T23:56:22.9Z,1,REGULAR,foul,personal,[],1629057,,,1610612737,24,27,2023-04-25T23:56:33Z,1210000,False,,,0,,R. Williams III loose ball personal FOUL (2 PF),"[1629057, 1630168]",1610612738.0,BOS,loose ball,,,Williams III,R. Williams III,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,201639.0,,2.0,0.0,Okongwu,1630168.0,,
124,PT01M37.00S,2023-04-25T23:56:35.6Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,24,27,2023-04-25T23:56:38Z,1230000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M37.00S,2023-04-25T23:56:35.6Z,1,REGULAR,substitution,in,[],203992,,,1610612737,24,27,2023-04-25T23:56:38Z,1240000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M24.00S,2023-04-25T23:56:59.9Z,1,REGULAR,2pt,Jump Shot,[],1629027,22.946780551905388,46.81372549019608,1610612737,24,27,2023-04-25T23:57:05Z,1250000,False,16.0,163.0,1,left,MISS T. Young 16' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Mid-Range,16-24 Center,16.4,Missed,,,,,,,,,,,,,,,,,,
127,PT01M21.00S,2023-04-25T23:57:02.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,24,27,2023-04-25T23:57:05Z,1260000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Mid-Range,16-24 Center,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,
128,PT01M10.00S,2023-04-25T23:57:13.5Z,1,REGULAR,3pt,Jump Shot,[],203935,71.56701708278581,20.34313725490196,1610612738,24,27,2023-04-25T23:57:19Z,1270000,False,-148.0,215.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
129,PT01M08.00S,2023-04-25T23:57:15.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,24,27,2023-04-25T23:57:19Z,1280000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,128.0,2.0,2.0,0.0,,,,,,,,,,,,,
130,PT01M00.00S,2023-04-25T23:57:24.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,9.067017082785808,37.59574142156863,1610612737,24,27,2023-04-25T23:57:31Z,1290000,False,62.0,33.0,1,left,MISS T. Young 7' driving Layup,[1629027],1610612737.0,ATL,driving,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,,
131,PT00M57.90S,2023-04-25T23:57:26.8Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,24,27,2023-04-25T23:57:31Z,1300000,False,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),0-8 Center,,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,,
132,PT00M52.30S,2023-04-25T23:57:32.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,89.43823915900131,95.83333333333334,1610612738,27,27,2023-04-26T00:04:37Z,1310000,False,229.0,47.0,1,right,S. Hauser 3PT running (3 PTS) (M. Smart 1 AST),"[1630573, 203935]",1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,23.39,Made,3.0,,,,,,,M. Smart,203935.0,1.0,,,,,,,,
134,PT00M36.60S,2023-04-25T23:57:51.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,33.85348226018397,58.82352941176471,1610612737,27,30,2023-04-25T23:57:55Z,1330000,False,-44.0,266.0,1,left,S. Bey 26' 3PT  (3 PTS) (T. Young 4 AST),"[1630180, 1629027]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,26.93,Made,3.0,,,,,,,T. Young,1629027.0,4.0,,,,,,,,
136,PT00M28.70S,2023-04-25T23:58:04.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.28186596583443,55.88235294117647,1610612738,27,30,2023-04-26T00:05:32Z,1350000,False,29.0,246.0,1,right,MISS J. Tatum 24' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,24.75,Missed,,,,,,,,,,,,,,,,,,
137,PT00M25.20S,2023-04-25T23:58:08.1Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,27,30,2023-04-25T23:58:09Z,1360000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,
138,PT00M05.50S,2023-04-25T23:58:27.7Z,1,REGULAR,3pt,Jump Shot,[],1630552,32.14520367936925,70.09803921568627,1610612737,27,30,2023-04-25T23:58:52Z,1370000,False,-100.0,250.0,1,left,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,26.92,Missed,,,,,,,,,,,,,,,,,,
139,PT00M03.60S,2023-04-25T23:58:29.6Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,27,30,2023-04-25T23:58:52Z,1380000,False,,,0,,M. Smart REBOUND (Off:2 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,138.0,3.0,1.0,2.0,,,,,,,,,,,,,
140,PT00M02.60S,2023-04-25T23:58:34.2Z,1,REGULAR,foul,personal,[],1630180,,,1610612738,27,30,2023-04-25T23:58:41Z,1390000,False,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 203935]",1610612737.0,ATL,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2004.0,,1.0,0.0,Smart,203935.0,,
142,PT00M00.00S,2023-04-25T23:58:49.4Z,1,REGULAR,3pt,Jump Shot,[],1627763,45.94283837056505,46.568627450980394,1610612738,27,30,2023-04-26T00:06:47Z,1410000,False,-17.0,456.0,1,right,MISS M. Brogdon 45' pullup 3PT,[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Center,45.59,Missed,,,,,,,,,,,,,,,,,,
143,PT00M00.00S,2023-04-25T23:58:49.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,30,2023-04-25T23:59:19Z,1420000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,142.0,,,,,,,,,,,,,,,,
144,PT00M00.00S,2023-04-25T23:58:52.6Z,1,REGULAR,period,end,[],0,,,1610612738,27,30,2023-04-25T23:58:52Z,1430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2023-04-26T00:01:31.3Z,2,REGULAR,substitution,out,['startperiod'],1629027,,,1610612738,27,30,2023-04-26T00:02:22Z,1440000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2023-04-26T00:01:31.3Z,2,REGULAR,substitution,in,['startperiod'],1628988,,,1610612738,27,30,2023-04-26T00:02:22Z,1450000,False,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2023-04-26T00:02:33.6Z,2,REGULAR,period,start,[],0,,,1610612738,27,30,2023-04-26T00:02:33Z,1460000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT11M45.00S,2023-04-26T00:02:48.6Z,2,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612738,27,30,2023-04-26T00:02:58Z,1470000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (Smart 2 FT),"[1630552, 203935]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,201639.0,,1.0,0.0,Smart,203935.0,,
150,PT11M45.00S,2023-04-26T00:03:18.1Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,28,30,2023-04-26T00:03:33Z,1490000,False,,,0,,M. Smart Free Throw 1 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
151,PT11M45.00S,2023-04-26T00:03:18.1Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,28,30,2023-04-26T00:03:33Z,1500000,False,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
152,PT11M45.00S,2023-04-26T00:03:18.1Z,2,REGULAR,rebound,defensive,[],1630552,,,1610612737,28,30,2023-04-26T00:03:39Z,1510000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,151.0,2.0,2.0,0.0,,,,,,,,,,,,,
153,PT11M32.00S,2023-04-26T00:03:42.5Z,2,REGULAR,3pt,Jump Shot,[],203992,11.251642575558476,97.54901960784314,1610612737,28,33,2023-04-26T00:03:47Z,1520000,False,-238.0,53.0,1,left,B. Bogdanovic 24' 3PT  (3 PTS) (A. Holiday 1 AST),"[203992, 1628988]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,24.36,Made,3.0,,,,,,,A. Holiday,1628988.0,1.0,,,,,,,,
155,PT11M20.00S,2023-04-26T00:03:55.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629057,94.43166885676742,48.03921568627451,1610612738,30,33,2023-04-26T00:03:59Z,1540000,False,-10.0,0.0,1,right,R. Williams III alley-oop DUNK (4 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,0.98,Made,4.0,,,,,,,J. Tatum,1628369.0,2.0,,,,,,,,
157,PT11M10.00S,2023-04-26T00:04:06.8Z,2,REGULAR,turnover,out-of-bounds,[],1628988,,,1610612737,30,33,2023-04-26T00:04:14Z,1560000,False,,,0,,A. Holiday bad pass out-of-bounds TURNOVER (1 TO),[1628988],1610612737.0,ATL,bad pass,,,Holiday,A. Holiday,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2004.0,1.0,,,,,,
158,PT10M58.00S,2023-04-26T00:04:21.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,93.38042049934296,46.07843137254902,1610612738,32,33,2023-04-26T00:04:34Z,1570000,False,-20.0,10.0,1,right,J. Tatum driving Layup (6 PTS) (R. Williams III 1 AST),"[1628369, 1629057]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.19,Made,6.0,,,,,,,R. Williams III,1629057.0,1.0,,,,,,,,
159,PT10M38.00S,2023-04-26T00:04:41.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,18.478975032851512,41.911764705882355,1610612737,32,33,2023-04-26T00:08:23Z,1580000,False,40.0,121.0,1,left,MISS O. Okongwu 12' floating Shot,[1630168],1610612737.0,ATL,floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,12.78,Missed,,,,,,,,,,,,,,,,,,
161,PT10M37.00S,2023-04-26T00:04:42.5Z,2,REGULAR,rebound,defensive,[],1627763,,,1610612738,32,33,2023-04-26T00:04:55Z,1590000,False,,,0,,M. Brogdon REBOUND (Off:0 Def:2),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,,,,159.0,2.0,2.0,0.0,,,,,,,,,,,,,
162,PT10M28.00S,2023-04-26T00:05:00.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,32,33,2023-04-26T00:05:00Z,1600000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT10M28.00S,2023-04-26T00:07:49.8Z,2,REGULAR,substitution,out,[],1629057,,,1610612738,32,33,2023-04-26T00:08:30Z,1610000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT10M28.00S,2023-04-26T00:07:49.8Z,2,REGULAR,substitution,in,[],201143,,,1610612738,32,33,2023-04-26T00:08:30Z,1620000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT10M21.00S,2023-04-26T00:08:48.8Z,2,REGULAR,3pt,Jump Shot,[],1630573,94.43166885676742,95.83333333333334,1610612738,32,33,2023-04-26T00:08:57Z,1630000,False,229.0,0.0,1,right,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
166,PT10M18.00S,2023-04-26T00:08:51.8Z,2,REGULAR,rebound,defensive,[],1630180,,,1610612737,32,33,2023-04-26T00:09:42Z,1640000,False,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,,,,165.0,2.0,2.0,0.0,,,,,,,,,,,,,
167,PT10M03.00S,2023-04-26T00:09:06.3Z,2,REGULAR,3pt,Jump Shot,[],1630180,29.122864651773984,81.61764705882352,1610612737,32,36,2023-04-26T00:12:01Z,1650000,False,-158.0,221.0,1,left,S. Bey 27' 3PT pullup (6 PTS) (O. Okongwu 2 AST),"[1630180, 1630168]",1610612737.0,ATL,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,27.2,Made,6.0,,,,,,,O. Okongwu,1630168.0,2.0,,,,,,,,
168,PT09M44.00S,2023-04-26T00:09:24.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,88.12417871222075,43.627450980392155,1610612738,34,36,2023-04-26T00:09:31Z,1660000,False,-32.0,59.0,1,right,M. Smart 6' driving Layup (6 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,6.72,Made,6.0,,,,,,,J. Tatum,1628369.0,3.0,,,,,,,,
