actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
198,PT08M21.00S,2022-10-15T00:13:55.4Z,2,REGULAR,substitution,out,[],1630173,,,1610612738,41,49,2022-10-15T00:14:05Z,1950000,,,0,,SUB out: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT08M21.00S,2022-10-15T00:13:55.4Z,2,REGULAR,substitution,out,[],1630573,,,1610612738,41,49,2022-10-15T00:14:05Z,1960000,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M21.00S,2022-10-15T00:13:55.4Z,2,REGULAR,substitution,in,[],1630567,,,1610612738,41,49,2022-10-15T00:14:05Z,1970000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT08M21.00S,2022-10-15T00:13:55.4Z,2,REGULAR,substitution,in,[],1628401,,,1610612738,41,49,2022-10-15T00:14:05Z,1980000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT08M09.00S,2022-10-15T00:14:24.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,67.7562417871222,66.17647058823529,1610612738,41,52,2022-10-15T00:14:29Z,1990000,81.0,251.0,1,right,J. Tatum 26' 3PT  (15 PTS) (M. Brogdon 1 AST),"[1628369, 1627763]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,26.33,Made,,,,,15.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,
204,PT07M49.00S,2022-10-15T00:14:44.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,9.149145860709593,53.431372549019606,1610612761,41,52,2022-10-15T00:14:49Z,2010000,-17.0,34.0,1,left,MISS S. Barnes turnaround Shot - blocked,"[1630567, 1629684]",1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,Williams,1629684.0,,,
205,PT07M49.00S,2022-10-15T00:14:44.4Z,2,REGULAR,block,,[],1629684,,,1610612761,41,52,2022-10-15T00:14:47Z,2020000,,,0,,G. Williams BLOCK (2 BLK),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
206,PT07M46.00S,2022-10-15T00:14:47.4Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,41,52,2022-10-15T00:14:49Z,2030000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,204.0,1.0,1.0,0.0,,,,,,,,,,,,,,
207,PT07M43.00S,2022-10-15T00:14:52.8Z,2,REGULAR,foul,offensive,[],1629684,,,1610612738,41,52,2022-10-15T00:19:39Z,2040000,,,0,,G. Williams charge offensive FOUL (1 PF),"[1629684, 201152]",1610612738.0,BOS,charge,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,1.0,0.0,Young,201152.0,,,,,
211,PT07M43.00S,2022-10-15T00:14:52.8Z,2,REGULAR,turnover,offensive foul,[],1629684,,,1610612738,41,52,2022-10-15T00:14:52Z,2055000,,,0,,G. Williams offensive foul TURNOVER (2 TO),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,,,,,,,2.0,,
209,PT07M43.00S,2022-10-15T00:15:25.5Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,41,52,2022-10-15T00:14:52Z,2060000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,out,[],1627823,,,1610612761,41,52,2022-10-15T00:19:06Z,2080000,,,0,,SUB out: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,out,[],1630625,,,1610612761,41,52,2022-10-15T00:19:06Z,2090000,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,out,[],201933,,,1610612761,41,52,2022-10-15T00:19:06Z,2100000,,,0,,SUB out: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,41,52,2022-10-15T00:19:06Z,2110000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,in,[],1630551,,,1610612761,41,52,2022-10-15T00:19:06Z,2120000,,,0,,SUB in: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M43.00S,2022-10-15T00:18:43.0Z,2,REGULAR,substitution,in,[],201143,,,1610612761,41,52,2022-10-15T00:19:06Z,2130000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M23.00S,2022-10-15T00:19:43.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630567,8.360709592641262,43.627450980392155,1610612761,43,52,2022-10-15T00:19:51Z,2140000,32.0,26.0,1,left,S. Barnes driving Layup (7 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,4.12,Made,,,,,7.0,,,,,,,,,,,,,
219,PT07M02.00S,2022-10-15T00:20:03.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.19776609724047,54.41176470588235,1610612738,43,52,2022-10-15T00:20:08Z,2150000,22.0,21.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
220,PT07M00.00S,2022-10-15T00:20:05.5Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,43,52,2022-10-15T00:20:08Z,2160000,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,219.0,2.0,1.0,1.0,,,,,,,,,,,,,,
221,PT06M57.00S,2022-10-15T00:20:09.7Z,2,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,43,52,2022-10-15T00:20:19Z,2170000,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,,,,,,,1.0,,
222,PT06M41.00S,2022-10-15T00:20:36.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629684,94.95729303547962,3.6764705882352944,1610612738,43,55,2022-10-15T00:20:40Z,2180000,-232.0,-5.0,1,right,G. Williams 3PT  (8 PTS) (M. Brogdon 2 AST),"[1629684, 1627763]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,23.17,Made,,,,,8.0,M. Brogdon,1627763.0,2.0,,,,,,,,,,
224,PT06M32.00S,2022-10-15T00:20:47.3Z,2,REGULAR,foul,offensive,[],201152,,,1610612761,43,55,2022-10-15T00:21:00Z,2200000,,,0,,T. Young off-the-ball offensive FOUL (2 PF),"[201152, 1627763]",1610612761.0,TOR,off-the-ball,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627524.0,2.0,0.0,Brogdon,1627763.0,,,,,
226,PT06M32.00S,2022-10-15T00:20:47.3Z,2,REGULAR,turnover,offensive foul,[],201152,,,1610612761,43,55,2022-10-15T00:20:47Z,2220000,,,0,,T. Young offensive foul TURNOVER (1 TO),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627524.0,,,,,,,1.0,,
227,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,out,[],201152,,,1610612738,43,55,2022-10-15T00:21:09Z,2230000,,,0,,SUB out: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,43,55,2022-10-15T00:21:09Z,2240000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,43,55,2022-10-15T00:21:09Z,2250000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,in,[],1631132,,,1610612738,43,55,2022-10-15T00:21:09Z,2260000,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,in,[],203935,,,1610612738,43,55,2022-10-15T00:21:09Z,2270000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT06M32.00S,2022-10-15T00:20:57.0Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,43,55,2022-10-15T00:21:09Z,2280000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M22.00S,2022-10-15T00:21:17.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627763,94.43166885676742,54.90196078431373,1610612738,43,55,2022-10-15T00:21:21Z,2290000,25.0,0.0,1,right,MISS M. Brogdon cutting Layup,[1627763],1610612738.0,BOS,cutting,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
234,PT06M20.00S,2022-10-15T00:21:19.0Z,2,REGULAR,rebound,defensive,[],1630551,,,1610612761,43,55,2022-10-15T00:21:21Z,2300000,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,233.0,1.0,1.0,0.0,,,,,,,,,,,,,,
235,PT06M14.00S,2022-10-15T00:21:27.2Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612761,43,55,2022-10-15T00:21:36Z,2310000,,,0,,D. White shooting personal FOUL (2 PF) (VanVleet 2 FT),"[1628401, 1627832]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1151.0,2.0,0.0,VanVleet,1627832.0,,,,,
237,PT06M14.00S,2022-10-15T00:21:54.3Z,2,REGULAR,freethrow,1 of 2,[],1627832,,,1610612761,44,55,2022-10-15T00:21:54Z,2330000,,,0,,F. VanVleet Free Throw 1 of 2 (3 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
238,PT06M14.00S,2022-10-15T00:22:08.2Z,2,REGULAR,freethrow,2 of 2,[],1627832,,,1610612761,45,55,2022-10-15T00:22:08Z,2340000,,,0,,F. VanVleet Free Throw 2 of 2 (4 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
240,PT06M02.00S,2022-10-15T00:22:40.2Z,2,REGULAR,3pt,Jump Shot,[],203935,64.86530880420499,18.38235294117647,1610612738,45,55,2022-10-15T00:22:45Z,2360000,-158.0,278.0,1,right,MISS M. Smart 31' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,31.96,Missed,,,,,,,,,,,,,,,,,,
241,PT06M01.00S,2022-10-15T00:22:41.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612761,45,55,2022-10-15T00:22:48Z,2370000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Left Center,,,240.0,,,,,,,,,,,,,,,,,
243,PT05M49.00S,2022-10-15T00:23:08.3Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,45,55,2022-10-15T00:23:17Z,2390000,,,0,,J. Brown shooting personal FOUL (2 PF) (VanVleet 2 FT),"[1627759, 1627832]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,204058.0,2.0,0.0,VanVleet,1627832.0,,,,,
245,PT05M49.00S,2022-10-15T00:23:32.9Z,2,REGULAR,freethrow,1 of 2,[],1627832,,,1610612761,46,55,2022-10-15T00:23:32Z,2410000,,,0,,F. VanVleet Free Throw 1 of 2 (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
246,PT05M49.00S,2022-10-15T00:23:49.1Z,2,REGULAR,freethrow,2 of 2,[],1627832,,,1610612761,47,55,2022-10-15T00:23:49Z,2420000,,,0,,F. VanVleet Free Throw 2 of 2 (6 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
247,PT05M36.00S,2022-10-15T00:24:08.0Z,2,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612738,47,55,2022-10-15T00:24:31Z,2430000,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Brogdon 2 FT),"[1628384, 1627763]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627524.0,1.0,0.0,Brogdon,1627763.0,,,,,
249,PT05M36.00S,2022-10-15T00:24:33.4Z,2,REGULAR,freethrow,1 of 2,[],1627763,,,1610612738,47,56,2022-10-15T00:24:33Z,2450000,,,0,,M. Brogdon Free Throw 1 of 2 (5 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
250,PT05M36.00S,2022-10-15T00:24:43.7Z,2,REGULAR,freethrow,2 of 2,[],1627763,,,1610612738,47,57,2022-10-15T00:24:43Z,2460000,,,0,,M. Brogdon Free Throw 2 of 2 (6 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
252,PT05M19.00S,2022-10-15T00:25:20.6Z,2,REGULAR,3pt,Jump Shot,[],1627832,17.0335085413929,95.58823529411765,1610612761,47,57,2022-10-15T00:25:24Z,2480000,-228.0,108.0,1,left,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,
253,PT05M15.00S,2022-10-15T00:25:24.6Z,2,REGULAR,rebound,offensive,[],1630567,,,1610612761,47,57,2022-10-15T00:25:24Z,2490000,,,0,,S. Barnes REBOUND (Off:2 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,252.0,3.0,1.0,2.0,,,,,,,,,,,,,,
254,PT05M13.00S,2022-10-15T00:25:25.5Z,2,REGULAR,2pt,Hook,['2ndchance'],1630567,7.966491458607096,68.38235294117648,1610612761,47,57,2022-10-15T00:25:31Z,2500000,-92.0,22.0,1,left,MISS S. Barnes 9' turnaround Hook,[1630567],1610612761.0,TOR,turnaround,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,9.46,Missed,,,,,,,,,,,,,,,,,,
255,PT05M13.00S,2022-10-15T00:25:25.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612738,47,57,2022-10-15T00:25:31Z,2510000,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Left,,,254.0,,,,,,,,,,,,,,,,,
257,PT05M05.00S,2022-10-15T00:25:47.8Z,2,REGULAR,foul,personal,[],1631132,,,1610612738,47,57,2022-10-15T00:25:53Z,2530000,,,0,,C. Koloko personal FOUL (1 PF),"[1631132, 201143]",1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627524.0,1.0,0.0,Horford,201143.0,,,,,
259,PT05M05.00S,2022-10-15T00:26:10.6Z,2,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612738,47,57,2022-10-15T00:27:53Z,2550000,,,0,,S. Barnes away-from-play personal FOUL (1 PF) (White 1 FT),"[1630567, 1628401]",1610612761.0,TOR,away-from-play,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627524.0,1.0,0.0,White,1628401.0,,,,,
262,PT05M05.00S,2022-10-15T00:28:03.4Z,2,REGULAR,freethrow,1 of 1,[],1628401,,,1610612738,47,57,2022-10-15T00:28:03Z,2580000,,,0,,MISS D. White away-from-play Free Throw 1 of 1,[1628401],1610612738.0,BOS,away-from-play,,,White,D. White,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
263,PT05M05.00S,2022-10-15T00:28:03.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,47,57,2022-10-15T00:28:11Z,2590000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,
264,PT04M54.00S,2022-10-15T00:28:26.8Z,2,REGULAR,foul,offensive,[],1627759,,,1610612738,47,57,2022-10-15T00:28:40Z,2600000,,,0,,J. Brown off-the-ball offensive FOUL (3 PF),"[1627759, 1628384]",1610612738.0,BOS,off-the-ball,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,204058.0,3.0,0.0,Anunoby,1628384.0,,,,,
266,PT04M54.00S,2022-10-15T00:28:26.8Z,2,REGULAR,turnover,offensive foul,[],1627759,,,1610612738,47,57,2022-10-15T00:28:26Z,2620000,,,0,,J. Brown offensive foul TURNOVER (2 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,204058.0,,,,,,,2.0,,
267,PT04M40.00S,2022-10-15T00:28:58.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628384,20.18725361366623,46.81372549019608,1610612761,47,57,2022-10-15T00:29:02Z,2630000,16.0,137.0,1,left,MISS O. Anunoby 13' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,13.82,Missed,,,,,,,,,,,,,,,,,,
268,PT04M37.00S,2022-10-15T00:29:01.3Z,2,REGULAR,rebound,offensive,[],1631132,,,1610612761,47,57,2022-10-15T00:29:02Z,2640000,,,0,,C. Koloko REBOUND (Off:1 Def:1),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),8-16 Center,,,267.0,2.0,1.0,1.0,,,,,,,,,,,,,,
269,PT04M36.00S,2022-10-15T00:29:02.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628384,34.37910643889619,50.245098039215684,1610612761,50,57,2022-10-15T00:29:07Z,2650000,-1.0,271.0,1,left,O. Anunoby 27' 3PT  (23 PTS) (S. Barnes 2 AST),"[1628384, 1630567]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,27.07,Made,,,,,23.0,S. Barnes,1630567.0,2.0,,,,,,,,,,
271,PT04M16.00S,2022-10-15T00:29:22.2Z,2,REGULAR,3pt,Jump Shot,[],203935,93.51182654402102,3.431372549019608,1610612738,50,57,2022-10-15T00:29:25Z,2670000,-233.0,8.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
272,PT04M13.00S,2022-10-15T00:29:25.2Z,2,REGULAR,rebound,defensive,[],1628384,,,1610612761,50,57,2022-10-15T00:29:25Z,2680000,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,271.0,2.0,1.0,1.0,,,,,,,,,,,,,,
273,PT04M08.00S,2022-10-15T00:29:29.4Z,2,REGULAR,3pt,Jump Shot,[],1630567,13.748357424441524,96.56862745098039,1610612761,50,57,2022-10-15T00:29:37Z,2690000,-233.0,77.0,1,left,MISS S. Barnes 24' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Left Corner 3,24+ Left,24.51,Missed,,,,,,,,,,,,,,,,,,
274,PT04M07.00S,2022-10-15T00:29:31.6Z,2,REGULAR,rebound,offensive,[],1630551,,,1610612761,50,57,2022-10-15T00:29:31Z,2700000,,,0,,J. Champagnie REBOUND (Off:1 Def:1),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,273.0,2.0,1.0,1.0,,,,,,,,,,,,,,
277,PT04M07.00S,2022-10-15T00:29:41.3Z,2,REGULAR,foul,personal,['2freethrow'],1627763,,,1610612761,50,57,2022-10-15T00:30:13Z,2730000,,,0,,M. Brogdon shooting personal FOUL (1 PF) (Champagnie 2 FT),"[1627763, 1630551]",1610612738.0,BOS,shooting,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204058.0,1.0,0.0,Champagnie,1630551.0,,,,,
279,PT04M07.00S,2022-10-15T00:30:02.9Z,2,REGULAR,substitution,out,[],1628401,,,1610612761,50,57,2022-10-15T00:30:08Z,2750000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
280,PT04M07.00S,2022-10-15T00:30:02.9Z,2,REGULAR,substitution,in,[],1628369,,,1610612761,50,57,2022-10-15T00:30:08Z,2760000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
281,PT04M07.00S,2022-10-15T00:30:19.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630551,,,1610612761,50,57,2022-10-15T00:30:19Z,2770000,,,0,,MISS J. Champagnie Free Throw 1 of 2,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
282,PT04M07.00S,2022-10-15T00:30:19.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,50,57,2022-10-15T00:30:19Z,2780000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,281.0,,,,,,,,,,,,,,,,,
283,PT04M07.00S,2022-10-15T00:30:19.8Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630551,,,1610612761,51,57,2022-10-15T00:30:19Z,2790000,,,0,,J. Champagnie Free Throw 2 of 2 (1 PTS),[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
284,PT03M48.00S,2022-10-15T00:30:34.7Z,2,REGULAR,turnover,out-of-bounds,[],1627763,,,1610612738,51,57,2022-10-15T00:30:47Z,2800000,,,0,,M. Brogdon bad pass out-of-bounds TURNOVER (1 TO),[1627763],1610612738.0,BOS,bad pass,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1151.0,,,,,,,1.0,,
285,PT03M48.00S,2022-10-15T00:30:38.6Z,2,REGULAR,substitution,out,[],1630551,,,1610612761,51,57,2022-10-15T00:30:44Z,2810000,,,0,,SUB out: J. Champagnie,[1630551],1610612761.0,TOR,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT03M48.00S,2022-10-15T00:30:38.6Z,2,REGULAR,substitution,in,[],1630173,,,1610612761,51,57,2022-10-15T00:30:44Z,2820000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT03M32.00S,2022-10-15T00:31:07.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627832,8.886333771353483,51.9607843137255,1610612761,53,57,2022-10-15T00:31:12Z,2830000,-10.0,31.0,1,left,F. VanVleet driving finger roll Layup (8 PTS),[1627832],1610612761.0,TOR,driving finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,3.25,Made,,,,,8.0,,,,,,,,,,,,,
288,PT03M25.00S,2022-10-15T00:31:15.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203935,89.43823915900131,55.14705882352941,1610612738,53,57,2022-10-15T00:31:40Z,2840000,26.0,47.0,1,right,MISS M. Smart driving reverse Layup - blocked,"[203935, 1631132]",1610612738.0,BOS,driving reverse,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,5.34,Missed,,,,,,,,,,,,,,Koloko,1631132.0,,,
289,PT03M25.00S,2022-10-15T00:31:15.5Z,2,REGULAR,block,,[],1631132,,,1610612738,53,57,2022-10-15T00:31:19Z,2850000,,,0,,C. Koloko BLOCK (1 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
290,PT03M24.00S,2022-10-15T00:31:16.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,53,57,2022-10-15T00:31:47Z,2860000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,288.0,,,,,,,,,,,,,,,,,
292,PT03M24.00S,2022-10-15T00:31:32.0Z,2,REGULAR,foul,technical,['1freethrow'],203935,,,1610612738,53,57,2022-10-15T00:31:42Z,2880000,,,0,,M. Smart technical FOUL (1 Tech),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1627524.0,0.0,1.0,,,,,,,
